Date,Original,Predicted
2016-01-04,105.35,
2016-01-05,102.71,
2016-01-06,100.7,
2016-01-07,96.45,
2016-01-08,96.96,
2016-01-11,98.53,
2016-01-12,99.96,
2016-01-13,97.39,
2016-01-14,99.52,
2016-01-15,97.13,
2016-01-19,96.66,
2016-01-20,96.79,
2016-01-21,96.3,
2016-01-22,101.42,
2016-01-25,99.44,
2016-01-26,99.99,
2016-01-27,93.42,
2016-01-28,94.09,
2016-01-29,97.34,
2016-02-01,96.43,
2016-02-02,94.48,
2016-02-03,96.35,
2016-02-04,96.6,
2016-02-05,94.02,
2016-02-08,95.01,
2016-02-09,94.99,
2016-02-10,94.27,
2016-02-11,93.7,
2016-02-12,93.99,
2016-02-16,96.64,
2016-02-17,98.12,
2016-02-18,96.26,
2016-02-19,96.04,
2016-02-22,96.88,
2016-02-23,94.69,
2016-02-24,96.1,
2016-02-25,96.76,
2016-02-26,96.91,
2016-02-29,96.69,
2016-03-01,100.53,
2016-03-02,100.75,
2016-03-03,101.5,
2016-03-04,103.01,
2016-03-07,101.87,
2016-03-08,101.03,
2016-03-09,101.12,
2016-03-10,101.17,
2016-03-11,102.26,
2016-03-14,102.52,
2016-03-15,104.57999999999998,
2016-03-16,105.96999999999998,
2016-03-17,105.80000000000001,
2016-03-18,105.92,
2016-03-21,105.90999999999998,
2016-03-22,106.72,
2016-03-23,106.13,
2016-03-24,105.67000000000002,
2016-03-28,105.19000000000001,
2016-03-29,107.68,
2016-03-30,109.56,
2016-03-31,108.99,
2016-04-01,109.99000000000001,
2016-04-04,111.12000000000002,
2016-04-05,109.81,
2016-04-06,110.96000000000001,
2016-04-07,108.54,
2016-04-08,108.66,
2016-04-11,109.02000000000001,
2016-04-12,110.44,
2016-04-13,112.04,
2016-04-14,112.09999999999998,
2016-04-15,109.85,
2016-04-18,107.48000000000002,
2016-04-19,106.91,
2016-04-20,107.12999999999998,
2016-04-21,105.96999999999998,
2016-04-22,105.68,
2016-04-25,105.08,
2016-04-26,104.35000000000001,
2016-04-27,97.82,
2016-04-28,94.83,
2016-04-29,93.74,
2016-05-02,93.64,
2016-05-03,95.18,
2016-05-04,94.19,
2016-05-05,93.24,
2016-05-06,92.72,
2016-05-09,92.79,
2016-05-10,93.42,
2016-05-11,92.51,
2016-05-12,90.34,
2016-05-13,90.52,
2016-05-16,93.88,
2016-05-17,93.49,
2016-05-18,94.56,
2016-05-19,94.2,
2016-05-20,95.22,
2016-05-23,96.43,
2016-05-24,97.9,
2016-05-25,99.62,
2016-05-26,100.41,94.96310424804688
2016-05-27,100.35,95.92427825927734
2016-05-31,99.86,96.8236312866211
2016-06-01,98.46,97.50650024414062
2016-06-02,97.72,97.82188415527344
2016-06-03,97.92,97.78590393066406
2016-06-06,98.63,97.57414245605469
2016-06-07,99.03,97.39232635498047
2016-06-08,98.94,97.33509063720703
