Date,Original,Predicted
2016-01-04,57.61,
2016-01-05,57.37,
2016-01-06,57.38,
2016-01-07,57.21,
2016-01-08,55.65,
2016-01-11,53.88,
2016-01-12,54.84,
2016-01-13,51.18000000000001,
2016-01-14,54.56,
2016-01-15,57.34,
2016-01-19,54.99,
2016-01-20,57.15,
2016-01-21,58.36,
2016-01-22,58.83,
2016-01-25,58.65,
2016-01-26,58.26,
2016-01-27,57.11,
2016-01-28,55.85,
2016-01-29,54.9,
2016-02-01,54.39,
2016-02-02,53.95000000000001,
2016-02-03,56.84,
2016-02-04,56.76,
2016-02-05,53.12,
2016-02-08,52.89,
2016-02-09,53.48,
2016-02-10,52.72,
2016-02-11,52.18,
2016-02-12,52.58,
2016-02-16,53.51,
2016-02-17,55.01,
2016-02-18,54.55,
2016-02-19,54.28999999999999,
2016-02-22,55.28,
2016-02-23,55.07,
2016-02-24,54.89,
2016-02-25,56.2,
2016-02-26,56.0,
2016-02-29,54.61,
2016-03-01,56.34,
2016-03-02,55.7,
2016-03-03,55.93,
2016-03-04,56.15,
2016-03-07,56.4,
2016-03-08,55.32,
2016-03-09,56.39,
2016-03-10,56.23,
2016-03-11,57.73,
2016-03-14,57.21,
2016-03-15,55.62,
2016-03-16,56.31,
2016-03-17,55.32,
2016-03-18,56.57,
2016-03-21,56.01,
2016-03-22,57.5,
2016-03-23,56.36,
2016-03-24,56.12,
2016-03-28,56.11,
2016-03-29,57.05,
2016-03-30,57.0,
2016-03-31,57.12,
2016-04-01,57.42,
2016-04-04,59.21,
2016-04-05,58.54,
2016-04-06,59.89,
2016-04-07,59.3,
2016-04-08,58.47,
2016-04-11,58.5,
2016-04-12,59.89,
2016-04-13,59.06,
2016-04-14,59.28,
2016-04-15,59.51,
2016-04-18,59.88,
2016-04-19,60.17,
2016-04-20,60.48,
2016-04-21,61.37,
2016-04-22,61.42,
2016-04-25,60.97,
2016-04-26,60.93,
2016-04-27,60.7,
2016-04-28,61.2,
2016-04-29,61.0,
2016-05-02,61.44,
2016-05-03,61.77,
2016-05-04,61.46,
2016-05-05,62.34,
2016-05-06,62.51,
2016-05-09,63.7,
2016-05-10,63.74,
2016-05-11,62.7,
2016-05-12,62.49,
2016-05-13,62.0,
2016-05-16,62.45,
2016-05-17,60.25,
2016-05-18,60.46,
2016-05-19,59.28,
2016-05-20,59.69,
2016-05-23,59.3,
2016-05-24,60.7,
2016-05-25,61.22,
2016-05-26,61.9,60.13180160522461
2016-05-27,62.71,60.88204574584961
2016-05-31,62.93,61.65318298339844
2016-06-01,62.83,62.17775344848633
2016-06-02,65.09,62.335723876953125
2016-06-03,65.0,63.30508041381836
2016-06-06,62.82,64.02954864501953
2016-06-07,63.1,63.3221435546875
2016-06-08,61.73,62.68132781982422
2016-06-09,60.75,61.76402282714844
2016-06-10,61.0,60.76443862915039
2016-06-13,59.93,60.32466125488281
2016-06-14,59.9,59.79132843017578
2016-06-15,60.4,59.46491622924805
2016-06-16,60.9,59.57058334350586
2016-06-17,60.01,59.974876403808594
2016-06-20,60.11,59.91509246826172
2016-06-21,59.98,59.780303955078125
2016-06-22,60.39,59.634559631347656
2016-06-23,61.31,59.7116813659668
2016-06-24,59.86,60.198726654052734
2016-06-27,58.68,59.98691940307617
2016-06-28,59.99,59.153995513916016
2016-06-29,61.81,59.034515380859375
2016-06-30,61.91,59.94134521484375
2016-07-01,62.71,60.812931060791016
2016-07-05,61.92,61.61069869995117
2016-07-06,63.37,61.699745178222656
2016-07-07,63.43,62.154205322265625
2016-07-08,64.16,62.55171203613281
2016-07-11,64.35,63.05901336669922
2016-07-12,65.5,63.44977569580078
2016-07-13,64.77,64.14781951904297
2016-07-14,63.62,64.2685546875
2016-07-15,63.32,63.63383865356445
2016-07-18,63.56,62.97768783569336
2016-07-19,63.32,62.753028869628906
2016-07-20,63.41,62.64413070678711
2016-07-21,63.89,62.66480255126953
2016-07-22,63.81,62.94464874267578
2016-07-25,64.32,63.13437271118164
2016-07-26,64.45,63.4509162902832
2016-07-27,64.9,63.716487884521484
2016-07-28,64.72,64.05025482177734
2016-07-29,66.23,64.15394592285156
2016-08-01,66.94,64.86200714111328
2016-08-02,66.78,65.72691345214844
2016-08-03,66.57,66.11209869384766
2016-08-04,66.1,66.07324981689453
2016-08-05,66.54,65.71704864501953
2016-08-08,66.34,65.68324279785156
2016-08-09,66.76,65.64414978027344
2016-08-10,66.43000000000002,65.83514404296875
2016-08-11,66.95,65.82581329345703
2016-08-12,67.19,66.04419708251953
2016-08-15,67.39,66.33521270751953
2016-08-16,66.74,66.5979995727539
2016-08-17,66.83,66.38793182373047
2016-08-18,66.77,66.22874450683594
2016-08-19,67.1,66.1366195678711
2016-08-22,67.01,66.27564239501953
2016-08-23,66.17,66.3501968383789
2016-08-24,65.06,65.94291687011719
2016-08-25,64.72,65.08308410644531
2016-08-26,64.61,64.40513610839844
2016-08-29,64.51,64.0649642944336
2016-08-30,64.16,63.928466796875
2016-08-31,64.1,63.74378967285156
2016-09-01,64.03,63.61811447143555
2016-09-02,64.12,63.540958404541016
2016-09-06,64.61,63.55714797973633
2016-09-07,64.97,63.82075119018555
2016-09-08,64.06,64.1856918334961
2016-09-09,63.36,63.95341491699219
2016-09-12,64.08,63.346946716308594
2016-09-13,63.34,63.282493591308594
2016-09-14,63.34,63.03474807739258
2016-09-15,63.35,62.850120544433594
2016-09-16,63.27,62.7791862487793
2016-09-19,62.91,62.73486328125
2016-09-20,63.28,62.55255889892578
2016-09-21,64.1,62.591251373291016
2016-09-22,65.08,63.04981231689453
2016-09-23,64.98,63.85649490356445
2016-09-26,64.07,64.3182373046875
2016-09-27,64.57,64.02696990966797
2016-09-28,64.22,63.915184020996094
2016-09-29,62.82,63.73947525024414
2016-09-30,63.07,62.96626663208008
2016-10-03,63.23,62.53101348876953
2016-10-04,63.0,62.47406768798828
2016-10-05,63.39,62.43680191040039
2016-10-06,62.83,62.60482406616211
2016-10-07,62.93,62.498722076416016
2016-10-10,63.31,62.41636276245117
2016-10-11,62.39,62.557395935058594
2016-10-12,61.21,62.27050018310547
2016-10-13,61.15,61.46762466430664
2016-10-14,60.17,60.87973403930664
2016-10-17,60.14,60.196632385253906
2016-10-18,61.55,59.77997589111328
2016-10-19,61.43,60.2314567565918
2016-10-20,61.76,60.683929443359375
2016-10-21,60.98,61.06406784057617
2016-10-24,61.12,60.91903305053711
2016-10-25,61.55,60.74082946777344
2016-10-26,61.02,60.81745910644531
2016-10-27,61.46,60.699424743652344
2016-10-28,57.6,60.75179672241211
2016-10-31,55.78,59.20872116088867
2016-11-01,56.45,57.156673431396484
2016-11-02,56.79,56.12574768066406
