Date,Original,Predicted
2016-01-04,636.99,
2016-01-05,633.79,
2016-01-06,632.65,
2016-01-07,607.94,
2016-01-08,607.05,
2016-01-11,617.74,
2016-01-12,617.89,
2016-01-13,581.81,
2016-01-14,593.0,
2016-01-15,570.18,
2016-01-19,574.48,
2016-01-20,571.77,
2016-01-21,575.02,
2016-01-22,596.38,
2016-01-25,596.53,
2016-01-26,601.25,
2016-01-27,583.35,
2016-01-28,635.35,
2016-01-29,587.0,
2016-02-01,574.81,
2016-02-02,552.1,
2016-02-03,531.07,
2016-02-04,536.26,
2016-02-05,502.13,
2016-02-08,488.1000000000001,
2016-02-09,482.07,
2016-02-10,490.48,
2016-02-11,503.81999999999994,
2016-02-12,507.0799999999999,
2016-02-16,521.1,
2016-02-17,534.1,
2016-02-18,525.0,
2016-02-19,534.9,
2016-02-22,559.5,
2016-02-23,552.94,
2016-02-24,554.04,
2016-02-25,555.15,
2016-02-26,555.23,
2016-02-29,552.52,
2016-03-01,579.04,
2016-03-02,580.21,
2016-03-03,577.49,
2016-03-04,575.14,
2016-03-07,562.8,
2016-03-08,560.26,
2016-03-09,559.47,
2016-03-10,558.93,
2016-03-11,569.61,
2016-03-14,573.37,
2016-03-15,577.02,
2016-03-16,574.27,
2016-03-17,559.44,
2016-03-18,552.08,
2016-03-21,553.98,
2016-03-22,560.48,
2016-03-23,569.63,
2016-03-24,582.95,
2016-03-28,579.87,
2016-03-29,593.86,
2016-03-30,598.69,
2016-03-31,593.64,
2016-04-01,598.5,
2016-04-04,593.19,
2016-04-05,586.14,
2016-04-06,602.08,
2016-04-07,591.43,
2016-04-08,594.6,
2016-04-11,595.93,
2016-04-12,603.17,
2016-04-13,614.82,
2016-04-14,620.75,
2016-04-15,625.89,
2016-04-18,635.35,
2016-04-19,627.9,
2016-04-20,632.99,
2016-04-21,631.0,
2016-04-22,620.5,
2016-04-25,626.2,
2016-04-26,616.88,
2016-04-27,606.57,
2016-04-28,602.0,
2016-04-29,659.59,
2016-05-02,683.85,
2016-05-03,671.32,
2016-05-04,670.9,
2016-05-05,659.09,
2016-05-06,673.95,
2016-05-09,679.75,
2016-05-10,703.07,
2016-05-11,713.23,
2016-05-12,717.93,
2016-05-13,709.92,
2016-05-16,710.66,
2016-05-17,695.27,
2016-05-18,697.45,
2016-05-19,698.52,
2016-05-20,702.8,
2016-05-23,696.75,
2016-05-24,704.2,
2016-05-25,708.35,
2016-05-26,714.91,703.5109252929688
2016-05-27,712.24,704.9832153320312
2016-05-31,722.79,707.0250244140625
2016-06-01,719.44,709.9886474609375
2016-06-02,728.24,713.1109008789062
2016-06-03,725.54,716.6312255859375
2016-06-06,726.73,719.9359130859375
2016-06-07,723.74,722.7919921875
2016-06-08,726.64,724.8107299804688
2016-06-09,727.65,726.2597045898438
2016-06-10,717.91,727.343505859375
2016-06-13,715.24,727.3607788085938
2016-06-14,719.3,726.3356323242188
2016-06-15,714.26,725.0477905273438
2016-06-16,717.51,723.4647827148438
2016-06-17,706.39,722.1084594726562
2016-06-20,714.01,720.2457885742188
2016-06-21,715.82,718.6975708007812
2016-06-22,710.6,717.798095703125
2016-06-23,722.08,717.0765380859375
2016-06-24,698.96,717.3696899414062
2016-06-27,691.36,716.6239624023438
2016-06-28,707.95,714.2623901367188
2016-06-29,715.6,712.2162475585938
2016-06-30,715.62,711.5443725585938
2016-07-01,725.68,712.0882568359375
2016-07-05,728.1,714.1730346679688
2016-07-06,737.61,717.3450317382812
2016-07-07,736.57,721.6263427734375
2016-07-08,745.81,726.169189453125
2016-07-11,753.78,731.0513305664062
2016-07-12,748.21,736.3668212890625
2016-07-13,742.63,741.0535278320312
2016-07-14,741.2,744.2326049804688
2016-07-15,735.44,745.8209228515625
2016-07-18,736.07,745.7208862304688
2016-07-19,739.95,744.5607299804688
2016-07-20,745.72,743.2598266601562
2016-07-21,744.43,742.6581420898438
2016-07-22,744.86,742.6563720703125
2016-07-25,739.61,743.08837890625
2016-07-26,735.59,743.3114624023438
2016-07-27,736.67,742.9282836914062
2016-07-28,752.61,742.1913452148438
2016-07-29,758.81,742.6439819335938
2016-08-01,767.74,744.6639404296875
2016-08-02,760.58,748.3763427734375
2016-08-03,754.64,752.311279296875
2016-08-04,760.77,755.2556762695312
2016-08-05,765.98,757.5264892578125
2016-08-08,766.56,759.6251220703125
2016-08-09,768.31,761.575927734375
2016-08-10,768.56,763.4161376953125
2016-08-11,771.24,765.0481567382812
2016-08-12,772.56,766.6044921875
2016-08-15,768.49,768.1082763671875
2016-08-16,764.04,769.111328125
2016-08-17,764.63,769.2430419921875
2016-08-18,764.46,768.7718505859375
2016-08-19,757.31,767.9910888671875
2016-08-22,759.48,766.5551147460938
2016-08-23,762.45,764.9537353515625
2016-08-24,757.25,763.73779296875
2016-08-25,759.22,762.5763549804688
2016-08-26,769.0,761.6749877929688
2016-08-29,771.29,761.8796997070312
2016-08-30,767.58,763.1533203125
2016-08-31,769.16,764.7119750976562
2016-09-01,770.62,766.2940673828125
2016-09-02,772.44,767.8037719726562
2016-09-06,788.87,769.2565307617188
2016-09-07,784.48,771.9182739257812
2016-09-08,784.06,775.0043334960938
2016-09-09,760.14,777.9158325195312
2016-09-12,771.49,778.293212890625
2016-09-13,761.01,777.4750366210938
2016-09-14,761.09,775.2920532226562
2016-09-15,769.69,772.4268798828125
2016-09-16,778.52,770.2383422851562
2016-09-19,775.1,769.7109375
2016-09-20,780.22,770.2496948242188
2016-09-21,789.74,771.770751953125
2016-09-22,804.7,774.5703735351562
2016-09-23,805.75,779.2706909179688
2016-09-26,799.16,784.99951171875
2016-09-27,816.11,790.1474609375
2016-09-28,828.72,795.55908203125
2016-09-29,829.05,801.8597412109375
2016-09-30,837.31,808.314208984375
2016-10-03,836.74,814.852294921875
2016-10-04,834.03,820.7484130859375
2016-10-05,844.36,825.2882080078125
2016-10-06,841.66,829.2821044921875
2016-10-07,839.43,832.447265625
2016-10-10,841.71,834.5452270507812
2016-10-11,831.0,835.9185180664062
2016-10-12,834.09,835.8141479492188
2016-10-13,829.28,834.9281616210938
2016-10-14,822.96,833.3348388671875
2016-10-17,812.95,830.9301147460938
2016-10-18,817.65,827.3605346679688
2016-10-19,817.69,823.75732421875
2016-10-20,810.32,820.7075805664062
2016-10-21,818.99,817.8131103515625
2016-10-24,838.09,816.0087890625
2016-10-25,835.18,816.9315185546875
2016-10-26,822.59,819.614501953125
2016-10-27,818.36,821.9335327148438
2016-10-28,776.32,823.0118408203125
2016-10-31,789.82,819.3097534179688
2016-11-01,785.41,813.3956298828125
2016-11-02,765.56,806.6591796875
2016-11-03,767.03,798.6414184570312
2016-11-04,755.05,790.6316528320312
2016-11-07,784.93,782.6045532226562
2016-11-08,787.75,777.8453979492188
2016-11-09,771.88,776.50830078125
2016-11-10,742.38,776.27099609375
2016-11-11,739.01,773.8457641601562
2016-11-14,719.07,769.2632446289062
2016-11-15,743.24,761.9920043945312
2016-11-16,746.49,755.5210571289062
2016-11-17,756.4,751.0778198242188
2016-11-18,760.16,749.4594116210938
2016-11-21,780.0,750.3081665039062
2016-11-22,785.33,754.2578125
2016-11-23,780.12,760.4307250976562
2016-11-25,780.37,766.8828735351562
2016-11-28,766.77,772.523193359375
2016-11-29,762.52,775.6951904296875
2016-11-30,750.57,776.2402954101562
2016-12-01,743.65,773.946533203125
2016-12-02,740.34,769.3892822265625
2016-12-05,759.36,763.6112670898438
2016-12-06,764.72,759.3530883789062
2016-12-07,770.42,757.4667358398438
2016-12-08,767.33,757.989501953125
2016-12-09,768.66,759.8070678710938
2016-12-12,760.12,762.1964111328125
2016-12-13,774.34,763.8650512695312
2016-12-14,768.82,765.826904296875
2016-12-15,761.0,767.5138549804688
2016-12-16,757.77,768.1176147460938
2016-12-19,766.0,767.5213623046875
2016-12-20,771.22,766.84521484375
2016-12-21,770.6,766.8300170898438
2016-12-22,766.34,767.3601684570312
2016-12-23,760.59,767.8328247070312
2016-12-27,771.4,767.62451171875
2016-12-28,772.13,767.7620849609375
2016-12-29,765.15,768.3634643554688
2016-12-30,749.87,768.6714477539062
2017-01-03,753.67,767.3406982421875
2017-01-04,757.18,765.1107788085938
2017-01-05,780.45,762.9138793945312
2017-01-06,795.99,763.071533203125
2017-01-09,796.92,766.5287475585938
2017-01-10,795.9,772.1417846679688
2017-01-11,799.02,778.3578491210938
2017-01-12,813.64,784.3298950195312
2017-01-13,817.14,790.6387329101562
2017-01-17,809.72,796.9776000976562
2017-01-18,807.48,802.051513671875
2017-01-19,809.04,805.3745727539062
2017-01-20,808.33,807.2652587890625
2017-01-23,817.88,808.0416870117188
2017-01-24,822.44,808.9246215820312
2017-01-25,836.52,810.4374389648438
2017-01-26,839.15,813.5770263671875
2017-01-27,835.77,817.91845703125
2017-01-30,830.38,822.2796630859375
2017-01-31,823.48,825.5427856445312
2017-02-01,832.35,826.9541625976562
2017-02-02,839.95,827.66943359375
2017-02-03,810.2,828.755859375
2017-02-06,807.64,827.5882568359375
2017-02-07,812.5,824.4089965820312
2017-02-08,819.71,820.683349609375
2017-02-09,821.36,817.8851318359375
2017-02-10,827.46,816.415771484375
2017-02-13,836.53,816.5968627929688
2017-02-14,836.39,818.704345703125
2017-02-15,842.7,821.9150390625
2017-02-16,844.14,825.9478759765625
2017-02-17,845.07,830.1920776367188
2017-02-21,856.44,834.1303100585938
2017-02-22,855.61,838.3964233398438
2017-02-23,852.19,842.498779296875
2017-02-24,845.24,845.7105102539062
2017-02-27,848.64,847.2680053710938
2017-02-28,845.04,847.7593383789062
2017-03-01,853.08,847.2913208007812
2017-03-02,848.91,847.008544921875
2017-03-03,849.88,846.7189331054688
2017-03-06,846.61,846.5345458984375
2017-03-07,846.02,846.1697387695312
2017-03-08,850.5,845.631103515625
2017-03-09,853.0,845.44091796875
2017-03-10,852.46,845.82373046875
2017-03-13,854.59,846.5505981445312
2017-03-14,852.53,847.5902709960938
2017-03-15,852.97,848.54248046875
2017-03-16,853.42,849.3164672851562
2017-03-17,852.31,849.92236328125
