Date,Original,Predicted
2016-01-04,142.28,
2016-01-05,137.52,
2016-01-06,133.29,
2016-01-07,129.05,
2016-01-08,128.2,
2016-01-11,128.04,
2016-01-12,129.92,
2016-01-13,123.31,
2016-01-14,125.19,
2016-01-15,119.97,
2016-01-19,120.06999999999998,
2016-01-20,123.83000000000001,
2016-01-21,124.53,
2016-01-22,124.51,
2016-01-25,124.49000000000001,
2016-01-26,124.39,
2016-01-27,122.35,
2016-01-28,126.37000000000002,
2016-01-29,133.71,
2016-02-01,137.68,
2016-02-02,133.24,
2016-02-03,131.36,
2016-02-04,136.12,
2016-02-05,128.36,
2016-02-08,121.86,
2016-02-09,119.71,
2016-02-10,119.19999999999999,
2016-02-11,116.31,
2016-02-12,121.66,
2016-02-16,126.23999999999998,
2016-02-17,130.68,
2016-02-18,127.07000000000001,
2016-02-19,128.67,
2016-02-22,130.64,
2016-02-23,128.16,
2016-02-24,130.34,
2016-02-25,132.47,
2016-02-26,133.11,
2016-02-29,133.97,
2016-03-01,138.43,
2016-03-02,136.97,
2016-03-03,137.33,
2016-03-04,146.06,
2016-03-07,143.51,
2016-03-08,139.63,
2016-03-09,141.96,
2016-03-10,144.42,
2016-03-11,148.82,
2016-03-14,148.14,
2016-03-15,148.47,
2016-03-16,148.63,
2016-03-17,151.55,
2016-03-18,152.49,
2016-03-21,152.89,
2016-03-22,154.76,
2016-03-23,152.99,
2016-03-24,153.0,
2016-03-28,153.1,
2016-03-29,154.13,
2016-03-30,156.93,
2016-03-31,154.5,
2016-04-01,157.8,
2016-04-04,156.01,
2016-04-05,155.03,
2016-04-06,157.54,
2016-04-07,154.97,
2016-04-08,156.15,
2016-04-11,155.61,
2016-04-12,155.43,
2016-04-13,159.48,
2016-04-14,158.82,
2016-04-15,155.49,
2016-04-18,155.9,
2016-04-19,151.07,
2016-04-20,153.23,
2016-04-21,151.35,
2016-04-22,150.33,
2016-04-25,149.1,
2016-04-26,150.76,
2016-04-27,151.53,
2016-04-28,147.99,
2016-04-29,145.75,
2016-05-02,146.08,
2016-05-03,143.2,
2016-05-04,142.07,
2016-05-05,142.58,
2016-05-06,141.89,
2016-05-09,142.4,
2016-05-10,144.61,
2016-05-11,143.85,
2016-05-12,141.04,
2016-05-13,140.05,
2016-05-16,142.65,
2016-05-17,141.17,
2016-05-18,143.88,
2016-05-19,142.74,
2016-05-20,146.73,
2016-05-23,148.1,
2016-05-24,151.42,
2016-05-25,153.57,
2016-05-26,153.02,152.4192657470703
