Date,Original,Predicted
2016-01-04,16.43,
2016-01-05,16.43,
2016-01-06,16.08,
2016-01-07,15.5,
2016-01-08,15.199999999999998,
2016-01-11,15.31,
2016-01-12,15.31,
2016-01-13,14.9,
2016-01-14,14.990000000000002,
2016-01-15,14.46,
2016-01-19,14.24,
2016-01-20,13.69,
2016-01-21,13.36,
2016-01-22,13.559999999999999,
2016-01-25,12.959999999999999,
2016-01-26,13.31,
2016-01-27,13.36,
2016-01-28,13.53,
2016-01-29,14.14,
2016-02-01,13.96,
2016-02-02,13.23,
2016-02-03,13.03,
2016-02-04,13.25,
2016-02-05,12.95,
2016-02-08,12.27,
2016-02-09,12.2,
2016-02-10,11.98,
2016-02-11,11.16,
2016-02-12,11.95,
2016-02-16,12.250000000000002,
2016-02-17,12.56,
2016-02-18,12.24,
2016-02-19,12.13,
2016-02-22,12.54,
2016-02-23,12.16,
2016-02-24,12.13,
2016-02-25,12.32,
2016-02-26,12.7,
2016-02-29,12.520000000000001,
2016-03-01,13.19,
2016-03-02,13.41,
2016-03-03,13.5,
2016-03-04,13.54,
2016-03-07,13.53,
2016-03-08,13.06,
2016-03-09,13.14,
2016-03-10,13.27,
2016-03-11,13.79,
2016-03-14,13.64,
2016-03-15,13.57,
2016-03-16,13.31,
2016-03-17,13.400000000000002,
2016-03-18,13.79,
2016-03-21,13.84,
2016-03-22,13.76,
2016-03-23,13.62,
2016-03-24,13.68,
2016-03-28,13.62,
2016-03-29,13.42,
2016-03-30,13.48,
2016-03-31,13.52,
2016-04-01,13.559999999999999,
2016-04-04,13.510000000000002,
2016-04-05,13.19,
2016-04-06,13.27,
2016-04-07,12.850000000000001,
2016-04-08,12.88,
2016-04-11,12.97,
2016-04-12,13.27,
2016-04-13,13.79,
2016-04-14,14.14,
2016-04-15,14.000000000000002,
2016-04-18,14.17,
2016-04-19,14.45,
2016-04-20,14.929999999999998,
2016-04-21,14.9,
2016-04-22,15.11,
2016-04-25,14.96,
2016-04-26,15.09,
2016-04-27,15.02,
2016-04-28,14.79,
2016-04-29,14.56,
2016-05-02,14.77,
2016-05-03,14.36,
2016-05-04,14.13,
2016-05-05,14.05,
2016-05-06,14.110000000000001,
2016-05-09,13.99,
2016-05-10,14.3,
2016-05-11,14.2,
2016-05-12,14.14,
2016-05-13,13.88,
2016-05-16,13.93,
2016-05-17,14.01,
2016-05-18,14.69,
2016-05-19,14.53,
2016-05-20,14.52,
2016-05-23,14.47,
2016-05-24,14.68,
2016-05-25,14.92,
2016-05-26,14.7,14.727449417114258
2016-05-27,14.879999999999999,14.789628982543945
2016-05-31,14.79,14.84712028503418
2016-06-01,14.86,14.883941650390625
2016-06-02,14.94,14.912694931030273
2016-06-03,14.42,14.946224212646484
2016-06-06,14.52,14.907655715942383
2016-06-07,14.35,14.84335708618164
2016-06-08,14.43,14.759515762329102
2016-06-09,14.19,14.69174575805664
2016-06-10,13.83,14.615872383117676
2016-06-13,13.6,14.49765682220459
2016-06-14,13.26,14.342212677001953
2016-06-15,13.339999999999998,14.14926528930664
2016-06-16,13.31,13.97612476348877
2016-06-17,13.400000000000002,13.842040061950684
2016-06-20,13.54,13.760422706604004
2016-06-21,13.62,13.735275268554688
2016-06-22,13.609999999999998,13.752059936523438
2016-06-23,14.04,13.783592224121094
2016-06-24,13.0,13.864679336547852
2016-06-27,12.18,13.838245391845703
2016-06-28,12.7,13.63940715789795
2016-06-29,13.19,13.427631378173828
2016-06-30,13.27,13.314948081970215
2016-07-01,13.1,13.296360969543457
2016-07-05,12.739999999999998,13.310397148132324
2016-07-06,12.86,13.288179397583008
2016-07-07,13.009999999999998,13.250104904174805
2016-07-08,13.17,13.226480484008789
2016-07-11,13.21,13.235251426696777
2016-07-12,13.54,13.266782760620117
2016-07-13,13.44,13.341471672058105
2016-07-14,13.65,13.420624732971191
2016-07-15,13.66,13.509117126464844
2016-07-18,14.110000000000001,13.591967582702637
2016-07-19,14.26,13.711496353149414
2016-07-20,14.4,13.859631538391113
2016-07-21,14.269999999999998,14.019452095031738
2016-07-22,14.38,14.144550323486328
2016-07-25,14.37,14.240840911865234
2016-07-26,14.53,14.308399200439453
2016-07-27,14.63,14.373183250427246
2016-07-28,14.68,14.445452690124512
2016-07-29,14.489999999999998,14.520834922790527
2016-08-01,14.330000000000002,14.562339782714844
2016-08-02,14.13,14.55523681640625
2016-08-03,14.48,14.497352600097656
2016-08-04,14.48,14.469804763793945
2016-08-05,15.05,14.474783897399902
2016-08-08,15.13,14.57420825958252
2016-08-09,15.19,14.728616714477539
2016-08-10,14.81,14.892126083374023
2016-08-11,14.879999999999999,14.975993156433105
2016-08-12,14.91,15.004419326782227
2016-08-15,15.02,15.008445739746094
2016-08-16,15.17,15.020852088928223
2016-08-17,15.149999999999999,15.062929153442383
2016-08-18,15.16,15.115123748779297
2016-08-19,15.22,15.164459228515625
2016-08-22,15.18,15.212422370910645
2016-08-23,15.35,15.247493743896484
2016-08-24,15.4,15.29467487335205
2016-08-25,15.529999999999998,15.35186767578125
2016-08-26,15.79,15.42483139038086
2016-08-29,15.84,15.534102439880371
2016-08-30,16.19,15.654814720153809
2016-08-31,16.14,15.812516212463379
2016-09-01,15.98,15.958547592163086
2016-09-02,16.0,16.043806076049805
2016-09-06,15.78,16.082426071166992
2016-09-07,15.7,16.059921264648438
2016-09-08,15.859999999999998,15.999584197998047
2016-09-09,15.74,15.961301803588867
2016-09-12,15.9,15.930870056152344
2016-09-13,15.72,15.935018539428711
2016-09-14,15.63,15.931554794311523
2016-09-15,15.67,15.907301902770996
2016-09-16,15.49,15.882505416870117
2016-09-19,15.590000000000002,15.83708381652832
2016-09-20,15.6,15.803459167480469
2016-09-21,15.650000000000002,15.787198066711426
2016-09-22,15.6,15.791187286376953
2016-09-23,15.52,15.79733657836914
2016-09-26,15.09,15.78918743133545
2016-09-27,15.29,15.70820426940918
2016-09-28,15.38,15.628972053527832
2016-09-29,15.16,15.586135864257812
2016-09-30,15.650000000000002,15.540384292602539
2016-10-03,15.63,15.569098472595215
2016-10-04,15.8,15.635763168334961
2016-10-05,16.11,15.731205940246582
2016-10-06,16.22,15.87023639678955
2016-10-07,16.13,16.025676727294922
2016-10-10,16.3,16.144515991210938
2016-10-11,16.11,16.244565963745117
2016-10-12,16.03,16.289207458496094
2016-10-13,15.83,16.28237533569336
2016-10-14,16.0,16.22101402282715
2016-10-17,16.05,16.172304153442383
2016-10-18,16.26,16.15528106689453
2016-10-19,16.47,16.19392967224121
2016-10-20,16.56,16.290409088134766
2016-10-21,16.67,16.413471221923828
2016-10-24,16.77,16.5421085357666
2016-10-25,16.72,16.664371490478516
2016-10-26,16.87,16.751480102539062
2016-10-27,16.91,16.828357696533203
2016-10-28,16.68,16.89641761779785
2016-10-31,16.5,16.909242630004883
2016-11-01,16.61,16.8588809967041
2016-11-02,16.48,16.807798385620117
2016-11-03,16.48,16.752355575561523
2016-11-04,16.55,16.707109451293945
2016-11-07,17.01,16.690126419067383
2016-11-08,17.0,16.77150535583496
2016-11-09,17.97,16.8914794921875
2016-11-10,18.76,17.17278480529785
2016-11-11,19.02,17.638755798339844
2016-11-14,20.08,18.15871238708496
2016-11-15,20.16,18.800090789794922
2016-11-16,19.75,19.39103126525879
2016-11-17,20.08,19.720394134521484
2016-11-18,19.999999999999996,19.90828514099121
2016-11-21,20.33,19.98409080505371
2016-11-22,20.3,20.07666778564453
2016-11-23,20.56,20.16351318359375
2016-11-25,20.86,20.292505264282227
2016-11-28,20.3,20.49001121520996
2016-11-29,20.29,20.534879684448242
2016-11-30,21.12,20.487613677978516
2016-12-01,21.5,20.630664825439453
2016-12-02,21.23,20.942628860473633
2016-12-05,21.84,21.176776885986328
2016-12-06,22.16,21.461029052734375
2016-12-07,22.569999999999997,21.78874397277832
2016-12-08,22.95,22.161361694335938
2016-12-09,23.09,22.559389114379883
2016-12-12,22.61,22.89503288269043
2016-12-13,22.61,22.957326889038086
2016-12-14,22.67,22.87932014465332
2016-12-15,23.16,22.800689697265625
2016-12-16,22.66,22.909778594970703
2016-12-19,22.48,22.923309326171875
