Date,Original,Predicted
2016-01-04,333.1,
2016-01-05,333.96,
2016-01-06,330.16,
2016-01-07,315.73,
2016-01-08,307.78,
2016-01-11,308.32,
2016-01-12,313.59,
2016-01-13,304.61,
2016-01-14,310.0,
2016-01-15,296.58,
2016-01-19,294.0,
2016-01-20,292.0,
2016-01-21,289.9,
2016-01-22,300.56,
2016-01-25,289.72,
2016-01-26,299.26,
2016-01-27,302.12,
2016-01-28,299.17,
2016-01-29,314.26,
2016-02-01,312.25,
2016-02-02,301.21,
2016-02-03,304.06,
2016-02-04,313.7,
2016-02-05,307.75,
2016-02-08,293.46,
2016-02-09,294.53,
2016-02-10,298.56,
2016-02-11,294.21,
2016-02-12,306.8,
2016-02-16,314.47,
2016-02-17,319.88,
2016-02-18,315.97,
2016-02-19,314.29,
2016-02-22,316.45,
2016-02-23,309.86,
2016-02-24,307.98,
2016-02-25,313.62,
2016-02-26,313.92,
2016-02-29,311.96,
2016-03-01,322.57,
2016-03-02,326.73,
2016-03-03,323.14,
2016-03-04,323.76,
2016-03-07,326.73,
2016-03-08,320.4,
2016-03-09,328.31,
2016-03-10,324.99,
2016-03-11,339.65,
2016-03-14,337.82,
2016-03-15,334.13,
2016-03-16,334.07,
2016-03-17,341.93999999999994,
2016-03-18,342.56,
2016-03-21,341.97999999999996,
2016-03-22,340.22,
2016-03-23,339.23,
2016-03-24,334.28,
2016-03-28,336.91,
2016-03-29,339.91,
2016-03-30,341.36999999999995,
2016-03-31,340.57,
2016-04-01,342.53,
2016-04-04,338.52,
2016-04-05,334.8,
2016-04-06,337.2,
2016-04-07,328.37,
2016-04-08,331.6,
2016-04-11,332.96,
2016-04-12,339.31,
2016-04-13,348.2900000000001,
2016-04-14,354.91,
2016-04-15,357.74,
2016-04-18,358.00000000000006,
2016-04-19,364.66,
2016-04-20,366.92,
2016-04-21,364.09,
2016-04-22,365.47,
2016-04-25,363.6600000000001,
2016-04-26,365.96,
2016-04-27,367.47,
2016-04-28,358.83,
2016-04-29,356.33000000000004,
2016-05-02,361.5,
2016-05-03,355.69,
2016-05-04,352.16999999999996,
2016-05-05,352.08,
2016-05-06,356.01,
2016-05-09,355.01,
2016-05-10,360.18,
2016-05-11,353.82,
2016-05-12,355.6,
2016-05-13,347.29,
2016-05-16,351.83,
2016-05-17,348.82,
2016-05-18,353.49,
2016-05-19,350.57,
2016-05-20,354.00999999999993,
2016-05-23,353.9,
2016-05-24,361.17999999999995,
2016-05-25,364.09,
2016-05-26,363.1,359.6363830566406
2016-05-27,365.09,362.7165832519531
2016-05-31,363.85,365.5480041503906
2016-06-01,364.59,367.55804443359375
2016-06-02,361.11,368.73468017578125
2016-06-03,359.37,368.7005615234375
2016-06-06,362.06,367.566162109375
2016-06-07,359.06000000000006,366.29522705078125
2016-06-08,360.35,364.8863525390625
2016-06-09,357.96000000000004,363.7724304199219
2016-06-10,346.97,362.7417907714844
2016-06-13,344.59000000000003,360.3193664550781
2016-06-14,339.79,356.7302551269531
2016-06-15,339.55,352.3004150390625
2016-06-16,339.46,347.9996337890625
2016-06-17,341.88,344.5540466308594
2016-06-20,348.43,342.5754089355469
2016-06-21,348.0,342.7669982910156
