Date,Original,Predicted
2016-01-04,159.54,
2016-01-05,159.93,
2016-01-06,158.45,
2016-01-07,154.82,
2016-01-08,152.11,
2016-01-11,154.72,
2016-01-12,156.055,
2016-01-13,152.12,
2016-01-14,153.18,
2016-01-15,150.39,
2016-01-19,150.47,
2016-01-20,148.82,
2016-01-21,150.38,
2016-01-22,153.69,
2016-01-25,150.78,
2016-01-26,148.5,
2016-01-27,147.73,
2016-01-28,149.59,
2016-01-29,151.12,
2016-02-01,151.25,
2016-02-02,148.5,
2016-02-03,146.7,
2016-02-04,143.28,
2016-02-05,143.99,
2016-02-08,147.02,
2016-02-09,147.94,
2016-02-10,148.05,
2016-02-11,146.65,
2016-02-12,148.65,
2016-02-16,149.11,
2016-02-17,150.91,
2016-02-18,148.65,
2016-02-19,148.7,
2016-02-22,150.06,
2016-02-23,150.36,
2016-02-24,153.87,
2016-02-25,154.72,
2016-02-26,149.68,
2016-02-29,150.03,
2016-03-01,150.52,
2016-03-02,152.79,
2016-03-03,151.6,
2016-03-04,150.9,
2016-03-07,148.17,
2016-03-08,150.95,
2016-03-09,153.05,
2016-03-10,152.87,
2016-03-11,152.71,
2016-03-14,152.67,
2016-03-15,154.18,
2016-03-16,154.06,
2016-03-17,153.84,
2016-03-18,153.15,
2016-03-21,153.94,
2016-03-22,152.23,
2016-03-23,153.51,
2016-03-24,151.43,
2016-03-28,152.67,
2016-03-29,155.26,
2016-03-30,157.6,
2016-03-31,157.58,
2016-04-01,158.25,
2016-04-04,157.73,
2016-04-05,155.99,
2016-04-06,156.77,
2016-04-07,152.03,
2016-04-08,151.65,
2016-04-11,149.05,
2016-04-12,150.52,
2016-04-13,151.88,
2016-04-14,151.4,
2016-04-15,153.17,
2016-04-18,153.3,
2016-04-19,153.68,
2016-04-20,152.74,
2016-04-21,151.42,
2016-04-22,149.92,
2016-04-25,151.51,
2016-04-26,152.6,
2016-04-27,151.77,
2016-04-28,151.44,
2016-04-29,148.13,
2016-05-02,150.93,
2016-05-03,151.41,
2016-05-04,151.51,
2016-05-05,147.84,
2016-05-06,146.44,
2016-05-09,148.59,
2016-05-10,149.56,
2016-05-11,147.12,
2016-05-12,146.72,
2016-05-13,144.5,
2016-05-16,145.79,
2016-05-17,143.6,
2016-05-18,141.29,
2016-05-19,142.7,
2016-05-20,142.69,
2016-05-23,142.01,
