Date,Original,Predicted
2016-01-04,26.41,
2016-01-05,26.29,
2016-01-06,26.010000000000005,
2016-01-07,25.41,
2016-01-08,24.779999999999998,
2016-01-11,25.27,
2016-01-12,25.35,
2016-01-13,24.6,
2016-01-14,24.66,
2016-01-15,23.62,
2016-01-19,23.85,
2016-01-20,22.899999999999995,
2016-01-21,22.899999999999995,
2016-01-22,23.370000000000005,
2016-01-25,23.17,
2016-01-26,23.720000000000002,
2016-01-27,23.43,
2016-01-28,23.105,
2016-01-29,23.79,
2016-02-01,23.479999999999997,
2016-02-02,22.83,
2016-02-03,23.1,
2016-02-04,23.54,
2016-02-05,22.89,
2016-02-08,22.93,
2016-02-09,22.65,
2016-02-10,22.51,
2016-02-11,24.68,
2016-02-12,25.11,
2016-02-16,25.840000000000003,
2016-02-17,26.46,
2016-02-18,26.43,
2016-02-19,26.55,
2016-02-22,26.63,
2016-02-23,26.120000000000005,
2016-02-24,26.32,
2016-02-25,26.6,
2016-02-26,26.41,
2016-02-29,26.18,
2016-03-01,26.83,
2016-03-02,26.9,
2016-03-03,26.87,
2016-03-04,26.8,
2016-03-07,27.139999999999997,
2016-03-08,27.050000000000004,
2016-03-09,27.61,
2016-03-10,27.379999999999995,
2016-03-11,27.86,
2016-03-14,27.7,
2016-03-15,27.659999999999997,
2016-03-16,27.88,
2016-03-17,28.19,
2016-03-18,28.33,
2016-03-21,28.19,
2016-03-22,28.28,
2016-03-23,27.83,
2016-03-24,27.960000000000004,
2016-03-28,27.899999999999995,
2016-03-29,28.1,
2016-03-30,28.459999999999997,
2016-03-31,28.47,
2016-04-01,28.69,
2016-04-04,28.14,
2016-04-05,27.58,
2016-04-06,28.0,
2016-04-07,27.6,
2016-04-08,27.69,
2016-04-11,27.62,
2016-04-12,27.64,
2016-04-13,28.23,
2016-04-14,28.25,
2016-04-15,27.899999999999995,
2016-04-18,28.19,
2016-04-19,28.33,
2016-04-20,28.44,
2016-04-21,28.24,
2016-04-22,28.15,
2016-04-25,28.23,
2016-04-26,28.45,
2016-04-27,28.64,
2016-04-28,27.960000000000004,
2016-04-29,27.489999999999995,
2016-05-02,27.37,
2016-05-03,26.859999999999996,
2016-05-04,26.44,
2016-05-05,26.21,
2016-05-06,26.530000000000005,
2016-05-09,26.509999999999998,
2016-05-10,27.029999999999998,
2016-05-11,26.7,
2016-05-12,26.67,
2016-05-13,26.530000000000005,
2016-05-16,26.969999999999995,
2016-05-17,26.65,
2016-05-18,26.72,
2016-05-19,27.570000000000004,
2016-05-20,27.97,
2016-05-23,27.939999999999998,
2016-05-24,28.47,
2016-05-25,28.92,
2016-05-26,28.9,28.356199264526367
2016-05-27,28.92,28.653690338134766
2016-05-31,29.05,28.833782196044922
2016-06-01,28.9,28.941118240356445
2016-06-02,29.08,28.949737548828125
2016-06-03,29.13,28.9549617767334
2016-06-06,29.1,28.974504470825195
2016-06-07,29.07,28.987131118774414
2016-06-08,29.14,28.984390258789062
2016-06-09,29.14,28.99509620666504
2016-06-10,29.03,29.012210845947266
2016-06-13,28.84,29.00010108947754
2016-06-14,28.96,28.929624557495117
2016-06-15,28.65,28.886627197265625
2016-06-16,28.870000000000005,28.793994903564453
2016-06-17,28.95,28.76067543029785
2016-06-20,28.8,28.790990829467773
2016-06-21,28.77,28.80402374267578
2016-06-22,28.720000000000002,28.795917510986328
2016-06-23,29.219999999999995,28.77022361755371
2016-06-24,27.75,28.8743896484375
2016-06-27,27.31,28.64092445373535
2016-06-28,27.790000000000003,28.199386596679688
2016-06-29,28.26,27.911865234375
2016-06-30,28.69,27.895374298095703
2016-07-01,28.8,28.11308479309082
2016-07-05,28.33,28.40791130065918
2016-07-06,28.720000000000002,28.537649154663086
2016-07-07,28.74,28.641529083251953
2016-07-08,29.259999999999998,28.722196578979492
2016-07-11,29.43,28.9017333984375
2016-07-12,29.609999999999996,29.128158569335938
2016-07-13,29.75,29.356393814086914
2016-07-14,29.76,29.555782318115234
2016-07-15,29.82,29.685827255249023
2016-07-18,29.910000000000004,29.761428833007812
2016-07-19,29.92,29.816192626953125
2016-07-20,30.63,29.848804473876953
2016-07-21,30.58,30.06504249572754
2016-07-22,30.710000000000004,30.28960418701172
2016-07-25,30.79,30.479063034057617
2016-07-26,30.88,30.61871910095215
2016-07-27,30.76,30.722139358520508
2016-07-28,30.52,30.741575241088867
2016-07-29,30.53,30.644792556762695
2016-08-01,30.73,30.535778045654297
2016-08-02,30.62,30.523195266723633
2016-08-03,30.72,30.52342987060547
2016-08-04,30.8,30.55794906616211
2016-08-05,31.039999999999996,30.623620986938477
2016-08-08,31.01,30.758649826049805
2016-08-09,30.94,30.872655868530273
2016-08-10,30.85,30.918066024780273
2016-08-11,30.950000000000003,30.893728256225586
2016-08-12,30.87,30.883474349975586
2016-08-15,31.19,30.86042594909668
2016-08-16,31.120000000000005,30.9411563873291
2016-08-17,30.72,31.018760681152344
2016-08-18,30.48,30.938417434692383
2016-08-19,30.52,30.7445068359375
2016-08-22,30.63,30.586671829223633
2016-08-23,30.98,30.533681869506836
2016-08-24,31.059999999999995,30.650178909301758
2016-08-25,31.29,30.82546615600586
2016-08-26,31.35,31.038658142089844
2016-08-29,31.580000000000002,31.218759536743164
2016-08-30,31.54,31.400508880615234
2016-08-31,31.44,31.510887145996094
2016-09-01,31.580000000000002,31.519479751586914
2016-09-02,31.83,31.530323028564453
2016-09-06,31.87,31.623804092407227
2016-09-07,31.79,31.730833053588867
2016-09-08,31.470000000000002,31.77495002746582
2016-09-09,30.85,31.66814422607422
2016-09-12,31.44,31.332128524780273
2016-09-13,31.059999999999995,31.222509384155273
2016-09-14,31.0,31.12215232849121
2016-09-15,31.31,31.032623291015625
2016-09-16,30.840000000000003,31.0810546875
2016-09-19,31.02,31.019948959350586
2016-09-20,31.099999999999998,30.9903564453125
2016-09-21,31.360000000000003,31.016170501708984
2016-09-22,31.66,31.141124725341797
2016-09-23,31.339999999999996,31.364234924316406
2016-09-26,31.07,31.446104049682617
2016-09-27,31.48,31.349451065063477
2016-09-28,31.5,31.351869583129883
2016-09-29,31.39,31.405797958374023
2016-09-30,31.72,31.420499801635742
2016-10-03,31.5,31.521228790283203
2016-10-04,31.35,31.550647735595703
2016-10-05,31.59,31.486989974975586
2016-10-06,31.48,31.489837646484375
2016-10-07,31.470000000000002,31.484445571899414
2016-10-10,31.470000000000002,31.471084594726562
2016-10-11,31.039999999999996,31.459388732910156
2016-10-12,30.34,31.309738159179688
2016-10-13,30.169999999999998,30.92867660522461
2016-10-14,30.18,30.537090301513672
2016-10-17,30.22,30.281402587890625
2016-10-18,30.44,30.17632484436035
2016-10-19,30.35,30.23098373413086
2016-10-20,30.16,30.307836532592773
2016-10-21,30.150000000000002,30.31028175354004
2016-10-24,30.46,30.278688430786133
2016-10-25,30.34,30.339065551757812
2016-10-26,30.55,30.38701057434082
2016-10-27,30.38,30.472532272338867
2016-10-28,30.59,30.496540069580078
2016-10-31,30.68,30.546117782592773
2016-11-01,30.48,30.620019912719727
2016-11-02,30.39,30.617063522338867
2016-11-03,30.320000000000004,30.55084800720215
2016-11-04,30.190000000000005,30.45828628540039
2016-11-07,30.94,30.34499740600586
2016-11-08,31.0,30.483957290649414
2016-11-09,31.360000000000003,30.710664749145508
2016-11-10,31.0,31.0065975189209
2016-11-11,31.360000000000003,31.120853424072266
2016-11-14,31.37,31.231380462646484
2016-11-15,31.7,31.31390380859375
2016-11-16,31.57,31.46286964416504
2016-11-17,30.05,31.54552459716797
2016-11-18,30.18,31.068952560424805
2016-11-21,30.05,30.576045989990234
2016-11-22,29.889999999999997,30.217283248901367
2016-11-23,29.71,29.979063034057617
2016-11-25,30.09,29.80906105041504
2016-11-28,29.92,29.830209732055664
2016-11-29,29.83,29.881223678588867
2016-11-30,29.82,29.899906158447266
2016-12-01,29.45,29.898250579833984
2016-12-02,29.25,29.78636932373047
2016-12-05,29.53,29.60466957092285
2016-12-06,29.329999999999995,29.527999877929688
2016-12-07,29.95,29.46882438659668
2016-12-08,29.95,29.59958267211914
2016-12-09,30.06,29.781192779541016
2016-12-12,30.169999999999998,29.954845428466797
2016-12-13,30.59,30.102500915527344
2016-12-14,30.46,30.316179275512695
2016-12-15,30.63,30.457504272460938
2016-12-16,30.59,30.567161560058594
2016-12-19,30.75,30.617088317871094
2016-12-20,30.560000000000002,30.671602249145508
2016-12-21,30.42,30.6522159576416
2016-12-22,30.46,30.56068229675293
2016-12-23,30.53,30.480321884155273
2016-12-27,30.68,30.453195571899414
2016-12-28,30.42,30.50247573852539
2016-12-29,30.46,30.488000869750977
2016-12-30,30.22,30.460512161254883
2017-01-03,30.539999999999996,30.367372512817383
2017-01-04,30.1,30.37354278564453
2017-01-05,30.169999999999998,30.291831970214844
2017-01-06,30.23,30.215150833129883
2017-01-09,30.18,30.187458038330078
2017-01-10,30.38,30.175670623779297
2017-01-11,30.150000000000002,30.232831954956055
2017-01-12,30.040000000000003,30.235002517700195
2017-01-13,30.07,30.177518844604492
2017-01-17,29.99,30.123626708984375
2017-01-18,30.03,30.067272186279297
2017-01-19,29.98,30.038381576538086
2017-01-20,30.1,30.01605796813965
2017-01-23,30.27,30.037240982055664
2017-01-24,30.600000000000005,30.121328353881836
2017-01-25,30.7,30.304338455200195
2017-01-26,30.74,30.504194259643555
2017-01-27,30.98,30.65755844116211
2017-01-30,30.83,30.815004348754883
2017-01-31,30.72,30.878803253173828
2017-02-01,30.5,30.844511032104492
2017-02-02,31.18,30.712270736694336
2017-02-03,31.319999999999997,30.794113159179688
2017-02-06,31.3,30.989608764648438
2017-02-07,31.449999999999996,31.15494728088379
2017-02-08,31.27,31.297788619995117
2017-02-09,31.5,31.326793670654297
2017-02-10,31.510000000000005,31.374637603759766
2017-02-13,31.969999999999995,31.421207427978516
2017-02-14,32.31,31.603742599487305
2017-02-15,32.82,31.897268295288086
2017-02-16,33.6,32.31049346923828
2017-02-17,33.74,32.90958023071289
2017-02-21,34.13,33.41835403442383
2017-02-22,34.09,33.844627380371094
2017-02-23,34.04,34.05706024169922
2017-02-24,34.32,34.08054733276367
2017-02-27,34.26,34.13931655883789
2017-02-28,34.18,34.15784454345703
2017-03-01,34.44,34.1151237487793
2017-03-02,34.39,34.17780303955078
2017-03-03,34.29,34.2301025390625
2017-03-06,34.19,34.21455764770508
2017-03-07,34.2,34.14459228515625
2017-03-08,34.02,34.09537887573242
2017-03-09,34.07,34.00199508666992
