Date,Original,Predicted
2016-01-04,96.46,
2016-01-05,96.74,
2016-01-06,95.56,
2016-01-07,94.18,
2016-01-08,93.56,
2016-01-11,94.92,
2016-01-12,95.69,
2016-01-13,94.11,
2016-01-14,95.51,
2016-01-15,93.9,
2016-01-19,95.06,
2016-01-20,94.12,
2016-01-21,94.48,
2016-01-22,95.64,
2016-01-25,94.07,
2016-01-26,94.04,
2016-01-27,94.34,
2016-01-28,93.49,
2016-01-29,96.59,
2016-02-01,97.32,
2016-02-02,94.94,
2016-02-03,95.37,
2016-02-04,94.63,
2016-02-05,93.1,
2016-02-08,89.65,
2016-02-09,90.51,
2016-02-10,93.11,
2016-02-11,93.87,
2016-02-12,95.86,
2016-02-16,96.94,
2016-02-17,97.69,
2016-02-18,96.89,
2016-02-19,97.59,
2016-02-22,97.46,
2016-02-23,96.75,
2016-02-24,96.88,
2016-02-25,98.4,
2016-02-26,97.66,
2016-02-29,97.17,
2016-03-01,98.3,
2016-03-02,98.63,
2016-03-03,99.38,
2016-03-04,99.28,
2016-03-07,98.42,
2016-03-08,99.04,
2016-03-09,100.52,
2016-03-10,99.34,
2016-03-11,100.36,
2016-03-14,101.02,
2016-03-15,101.18,
2016-03-16,100.98,
2016-03-17,101.11,
2016-03-18,101.58,
2016-03-21,101.74,
2016-03-22,101.94,
2016-03-23,100.74,
2016-03-24,101.43,
2016-03-28,101.84,
2016-03-29,102.47,
2016-03-30,104.05,
2016-03-31,103.73,
2016-04-01,104.82,
2016-04-04,104.48,
2016-04-05,103.18,
2016-04-06,103.39,
2016-04-07,100.94,
2016-04-08,101.47,
2016-04-11,100.77,
2016-04-12,101.23,
2016-04-13,101.13,
2016-04-14,101.11,
2016-04-15,102.24,
2016-04-18,102.5,
2016-04-19,103.46,
2016-04-20,102.51,
2016-04-21,101.22,
2016-04-22,101.44,
2016-04-25,101.95,
2016-04-26,102.85,
2016-04-27,102.7,
2016-04-28,101.21,
2016-04-29,100.5,
2016-05-02,101.45,
2016-05-03,103.92,
2016-05-04,103.9,
2016-05-05,105.15,
2016-05-06,104.85,
2016-05-09,105.74,
2016-05-10,106.1,
2016-05-11,104.16,
2016-05-12,104.85,
2016-05-13,103.67,
2016-05-16,104.55,
2016-05-17,102.11,
2016-05-18,101.52,
2016-05-19,100.95,
2016-05-20,99.46,
2016-05-23,98.07,
2016-05-24,97.38,
2016-05-25,97.55,
2016-05-26,96.95,95.47592163085938
2016-05-27,96.94,94.71326446533203
2016-05-31,96.45,94.86781311035156
2016-06-01,96.58,94.28190612792969
2016-06-02,96.4,94.57744598388672
2016-06-03,96.24,94.33895111083984
2016-06-06,96.31,94.27642822265625
2016-06-07,96.62,94.40470123291016
2016-06-08,98.31,94.7596664428711
2016-06-09,96.99,96.5525131225586
2016-06-10,96.67,94.84027862548828
2016-06-13,95.78,94.98446655273438
2016-06-14,96.39,93.93470001220703
2016-06-15,96.02,94.8243408203125
2016-06-16,95.53,94.2007064819336
2016-06-17,94.84,93.82805633544922
2016-06-20,93.23,93.10753631591797
2016-06-21,93.21,91.44117736816406
2016-06-22,93.73,91.6882553100586
2016-06-23,94.02,92.12516784667969
2016-06-24,93.54,92.35191345214844
2016-06-27,93.24,91.78331756591797
2016-06-28,93.7,91.55181884765625
2016-06-29,94.41,92.07172393798828
2016-06-30,95.74,92.75249481201172
2016-07-01,95.0,94.10449981689453
2016-07-05,94.98,93.08248901367188
2016-07-06,96.06,93.32467651367188
2016-07-07,95.5,94.43128967285156
2016-07-08,96.74,93.62745666503906
2016-07-11,96.84,95.19940948486328
2016-07-12,96.46,94.96389770507812
2016-07-13,97.63,94.66656494140625
2016-07-14,97.46,95.99140930175781
2016-07-15,97.09,95.49897003173828
2016-07-18,96.87,95.25694274902344
2016-07-19,96.9,95.03570556640625
2016-07-20,97.0,95.08247375488281
2016-07-21,96.95,95.1455078125
2016-07-22,96.55,95.05049896240234
2016-07-25,94.04,94.60796356201172
2016-07-26,93.85,91.8896484375
2016-07-27,92.73,92.22589874267578
2016-07-28,93.39,90.76908111572266
2016-07-29,92.72,91.76879119873047
2016-08-01,93.49,90.76166534423828
2016-08-02,98.06,91.81339263916016
2016-08-03,97.43,96.5090560913086
2016-08-04,96.97,94.99897003173828
2016-08-05,97.37,95.0411376953125
2016-08-08,97.18,95.44139862060547
2016-08-09,97.45,95.1963882446289
2016-08-10,97.11,95.6167984008789
2016-08-11,97.0,95.18028259277344
2016-08-12,97.43,95.19304656982422
2016-08-15,97.58,95.63873291015625
2016-08-16,97.56,95.68766784667969
2016-08-17,97.55,95.65621185302734
2016-08-18,97.18,95.63343048095703
2016-08-19,97.0,95.20952606201172
2016-08-22,98.0,95.08566284179688
2016-08-23,97.27,96.16131591796875
2016-08-24,97.17,95.09880828857422
