Date,Original,Predicted
2019-03-20,49.800000000000004,
2019-03-21,48.98,
2019-03-22,48.6,
2019-03-25,49.15,
2019-03-26,48.85,
2019-03-27,50.1,
2019-03-28,50.849999999999994,
2019-03-29,51.63,
2019-04-01,53.5,
2019-04-02,56.25,
2019-04-03,56.88,
2019-04-04,59.71,
2019-04-05,57.24000000000001,
2019-04-08,57.15,
2019-04-09,56.27000000000001,
2019-04-10,55.71000000000001,
2019-04-11,54.89,
2019-04-12,58.3,
2019-04-15,57.78,
2019-04-16,58.49999999999999,
2019-04-17,58.31999999999999,
2019-04-18,57.77,
2019-04-22,57.89,
2019-04-23,57.63999999999999,
2019-04-24,55.98,
2019-04-25,55.33,
2019-04-26,55.24999999999999,
2019-04-29,55.5,
2019-04-30,56.73,
2019-05-01,56.13,
2019-05-02,52.7,
2019-05-03,53.3,
2019-05-06,53.46,
2019-05-07,52.949999999999996,
2019-05-08,52.480000000000004,
2019-05-09,52.93,
2019-05-10,53.07,
2019-05-13,50.95,
2019-05-14,52.480000000000004,
2019-05-15,52.949999999999996,
2019-05-16,52.97999999999999,
2019-05-17,50.8,
2019-05-20,50.080000000000005,
2019-05-21,50.63000000000001,
2019-05-22,50.21,
2019-05-23,48.71,
2019-05-24,49.20000000000001,
2019-05-28,48.56,
2019-05-29,48.71,
2019-05-30,48.47,
2019-05-31,46.76,
2019-06-03,47.96,
2019-06-04,49.93,
2019-06-05,50.34000000000001,
2019-06-06,51.06,
2019-06-07,51.3,
2019-06-10,51.620000000000005,
2019-06-11,52.04,
2019-06-12,52.49,
2019-06-13,52.88,
2019-06-14,51.14999999999999,
2019-06-17,49.35,
2019-06-18,49.60999999999999,
2019-06-19,48.5,
2019-06-20,48.93000000000001,
2019-06-21,48.36,
2019-06-24,49.58,
2019-06-25,49.69,
2019-06-26,50.45000000000001,
2019-06-27,50.91,
2019-06-28,49.309999999999995,
2019-07-01,50.16,
2019-07-02,49.4,
2019-07-03,49.32999999999999,
2019-07-05,49.309999999999995,
2019-07-08,48.52,
2019-07-09,47.87,
2019-07-10,47.55,
2019-07-11,47.78,
2019-07-12,49.709999999999994,
2019-07-15,50.93000000000001,
2019-07-16,52.32,
2019-07-17,51.60000000000001,
2019-07-18,51.75,
2019-07-19,51.52,
2019-07-22,50.88,
2019-07-23,52.62,
2019-07-24,52.79,
2019-07-25,50.77,
2019-07-26,49.11,
2019-07-29,48.05,
2019-07-30,48.4,
2019-07-31,48.44,
2019-08-01,46.85,
2019-08-02,45.6,
