Date,Original,Predicted
2016-01-04,131.07,
2016-01-05,130.43,
2016-01-06,129.08,
2016-01-07,125.4,
2016-01-08,123.9,
2016-01-11,125.78,
2016-01-12,127.49,
2016-01-13,121.4,
2016-01-14,119.62,
2016-01-15,119.23,
2016-01-19,119.76,
2016-01-20,116.46,
2016-01-21,120.22,
2016-01-22,122.76000000000002,
2016-01-25,121.70999999999998,
2016-01-26,122.2,
2016-01-27,121.57,
2016-01-28,122.28,
2016-01-29,125.76,
2016-02-01,126.51,
2016-02-02,125.27,
2016-02-03,123.79,
2016-02-04,121.11,
2016-02-05,116.43,
2016-02-08,111.85,
2016-02-09,113.86000000000001,
2016-02-10,114.33,
2016-02-11,113.27,
2016-02-12,116.32,
2016-02-16,119.43,
2016-02-17,121.21,
2016-02-18,119.97,
2016-02-19,121.69,
2016-02-22,122.85,
2016-02-23,124.53,
2016-02-24,125.61000000000001,
2016-02-25,126.86,
2016-02-26,126.26,
2016-02-29,124.12,
2016-03-01,125.7,
2016-03-02,125.59,
2016-03-03,126.8,
2016-03-04,125.56,
2016-03-07,126.17,
2016-03-08,126.72,
2016-03-09,126.03,
2016-03-10,125.89,
2016-03-11,128.46,
2016-03-14,128.84,
2016-03-15,129.71,
2016-03-16,130.45,
2016-03-17,130.88,
2016-03-18,131.35,
2016-03-21,131.01,
2016-03-22,130.59,
2016-03-23,130.22,
2016-03-24,130.46,
2016-03-28,131.08,
2016-03-29,132.47,
2016-03-30,133.42,
2016-03-31,133.43,
2016-04-01,134.85,
2016-04-04,134.85,
2016-04-05,134.58,
2016-04-06,135.44,
2016-04-07,133.87,
2016-04-08,133.62,
2016-04-11,133.01,
2016-04-12,134.38,
2016-04-13,133.84,
2016-04-14,134.37,
2016-04-15,135.01,
2016-04-18,136.8,
2016-04-19,135.44,
2016-04-20,135.19,
2016-04-21,134.6,
2016-04-22,135.66,
2016-04-25,135.65,
2016-04-26,135.34,
2016-04-27,135.75,
2016-04-28,132.73,
2016-04-29,133.89,
2016-05-02,136.05,
2016-05-03,134.54,
2016-05-04,135.16,
2016-05-05,134.67,
2016-05-06,135.7,
2016-05-09,136.24,
2016-05-10,137.51,
2016-05-11,134.3,
2016-05-12,134.19,
2016-05-13,133.13,
2016-05-16,135.34,
2016-05-17,132.0,
2016-05-18,131.77,
2016-05-19,131.73,
2016-05-20,131.85,
2016-05-23,131.42,
2016-05-24,133.36,
2016-05-25,133.2,
2016-05-26,134.05,133.15545654296875
2016-05-27,133.94,133.67955017089844
2016-05-31,132.12,134.0811004638672
2016-06-01,131.83,133.90565490722656
2016-06-02,132.41,133.39341735839844
2016-06-03,131.74,133.0003204345703
2016-06-06,129.19,132.6671905517578
2016-06-07,129.92,131.90667724609375
2016-06-08,129.59,131.23460388183594
2016-06-09,129.3,130.75498962402344
2016-06-10,128.83,130.42906188964844
2016-06-13,127.83,130.14686584472656
2016-06-14,125.24,129.73138427734375
2016-06-15,126.53,128.81219482421875
2016-06-16,127.36000000000001,128.07208251953125
2016-06-17,127.14000000000001,127.81108093261719
2016-06-20,127.62,127.81207275390625
2016-06-21,127.74,127.98595428466797
2016-06-22,127.6,128.1986846923828
2016-06-23,128.29,128.32406616210938
