Date,Original,Predicted
2016-01-04,63.62,
2016-01-05,63.73,
2016-01-06,62.81,
2016-01-07,60.269999999999996,
2016-01-08,58.92,
2016-01-11,58.830000000000005,
2016-01-12,58.96,
2016-01-13,57.34,
2016-01-14,58.20000000000001,
2016-01-15,57.04,
2016-01-19,57.01,
2016-01-20,55.51,
2016-01-21,55.25,
2016-01-22,56.95,
2016-01-25,55.66,
2016-01-26,57.08,
2016-01-27,57.04,
2016-01-28,57.28,
2016-01-29,59.5,
2016-02-01,58.86,
2016-02-02,57.03,
2016-02-03,57.41,
2016-02-04,58.4,
2016-02-05,57.75,
2016-02-08,56.54,
2016-02-09,56.2,
2016-02-10,55.52,
2016-02-11,53.07,
2016-02-12,57.49,
2016-02-16,58.35000000000001,
2016-02-17,58.77,
2016-02-18,57.81,
2016-02-19,57.82,
2016-02-22,58.57,
2016-02-23,56.12,
2016-02-24,56.14,
2016-02-25,57.01,
2016-02-26,57.53999999999999,
2016-02-29,56.3,
2016-03-01,59.2,
2016-03-02,59.76,
2016-03-03,59.96,
2016-03-04,60.05,
2016-03-07,59.93999999999999,
2016-03-08,58.78,
2016-03-09,59.12,
2016-03-10,58.61,
2016-03-11,59.34,
2016-03-14,59.12,
2016-03-15,59.2,
2016-03-16,58.92,
2016-03-17,58.75000000000001,
2016-03-18,60.48,
2016-03-21,60.46,
2016-03-22,60.24,
2016-03-23,59.93999999999999,
2016-03-24,59.48,
2016-03-28,59.4,
2016-03-29,59.03,
2016-03-30,59.709999999999994,
2016-03-31,59.21999999999999,
2016-04-01,59.870000000000005,
2016-04-04,59.2,
2016-04-05,58.36,
2016-04-06,58.81,
2016-04-07,57.32,
2016-04-08,57.74,
2016-04-11,58.20000000000001,
2016-04-12,59.28,
2016-04-13,61.78999999999999,
2016-04-14,62.59,
2016-04-15,61.870000000000005,
2016-04-18,62.27,
2016-04-19,63.32000000000001,
2016-04-20,64.24,
2016-04-21,63.6,
2016-04-22,63.97,
2016-04-25,63.6,
2016-04-26,63.93,
2016-04-27,64.11,
2016-04-28,63.6,
2016-04-29,63.2,
2016-05-02,63.78999999999999,
2016-05-03,62.56,
2016-05-04,61.57,
2016-05-05,61.24000000000001,
2016-05-06,61.6,
2016-05-09,61.21,
2016-05-10,62.040000000000006,
2016-05-11,61.81,
2016-05-12,61.77,
2016-05-13,61.2,
2016-05-16,61.66,
2016-05-17,61.66,
2016-05-18,64.04,
2016-05-19,63.39,
2016-05-20,63.51,
2016-05-23,63.46,
2016-05-24,64.54,
2016-05-25,65.52,
2016-05-26,65.03,65.35901641845703
2016-05-27,65.43,65.75811004638672
2016-05-31,65.27,66.104736328125
2016-06-01,65.69,66.35070037841797
2016-06-02,65.81,66.54736328125
2016-06-03,64.64,66.71383666992188
2016-06-06,65.28,66.70149230957031
2016-06-07,65.06,66.64156341552734
2016-06-08,65.25,66.56087493896484
2016-06-09,64.75,66.5110092163086
2016-06-10,63.84,66.43634796142578
2016-06-13,63.27,66.23995971679688
2016-06-14,62.08,65.9178695678711
2016-06-15,61.97,65.42974090576172
2016-06-16,62.22,64.89715576171875
2016-06-17,62.28000000000001,64.46282958984375
2016-06-20,62.37,64.17664337158203
2016-06-21,62.95,64.03386688232422
2016-06-22,62.71,64.05756378173828
2016-06-23,64.05,64.15345764160156
2016-06-24,59.6,64.4129638671875
2016-06-27,57.61,64.25150299072266
2016-06-28,59.52,63.540584564208984
2016-06-29,61.2,62.781314849853516
2016-06-30,62.14,62.35772705078125
2016-07-01,61.26,62.35784912109375
2016-07-05,59.550000000000004,62.53426742553711
2016-07-06,60.190000000000005,62.56090545654297
2016-07-07,60.57999999999999,62.4927978515625
2016-07-08,61.83,62.423553466796875
