Date,Original,Predicted
2016-01-04,42.4,
2016-01-05,42.55,
2016-01-06,42.32,
2016-01-07,41.62,
2016-01-08,41.51,
2016-01-11,41.58,
2016-01-12,42.12,
2016-01-13,41.85,
2016-01-14,41.88,
2016-01-15,41.5,
2016-01-19,41.92,
2016-01-20,41.38,
2016-01-21,41.39,
2016-01-22,42.06,
2016-01-25,42.16,
2016-01-26,42.08,
2016-01-27,42.09,
2016-01-28,42.57,
2016-01-29,42.92,
2016-02-01,43.0,
2016-02-02,42.44,
2016-02-03,42.72,
2016-02-04,42.53,
2016-02-05,42.44,
2016-02-08,42.65,
2016-02-09,43.3,
2016-02-10,42.55,
2016-02-11,42.41,
2016-02-12,43.11,
2016-02-16,43.36,
2016-02-17,43.49,
2016-02-18,43.61,
2016-02-19,43.77,
2016-02-22,43.94,
2016-02-23,43.69,
2016-02-24,43.91,
2016-02-25,44.16,
2016-02-26,43.14,
2016-02-29,43.13,
2016-03-01,43.69,
2016-03-02,43.77,
2016-03-03,43.96,
2016-03-04,44.11,
2016-03-07,44.01,
2016-03-08,44.32,
2016-03-09,44.81,
2016-03-10,45.23,
2016-03-11,45.2,
2016-03-14,45.29,
2016-03-15,45.24,
2016-03-16,45.05,
2016-03-17,45.77,
2016-03-18,45.6,
2016-03-21,45.67,
2016-03-22,45.5,
2016-03-23,45.46,
2016-03-24,45.58,
2016-03-28,45.8,
2016-03-29,46.48,
2016-03-30,46.58,
2016-03-31,46.39,
2016-04-01,46.83,
2016-04-04,46.89,
2016-04-05,46.53,
2016-04-06,46.71,
2016-04-07,46.36,
2016-04-08,46.87,
2016-04-11,46.44,
2016-04-12,46.65,
2016-04-13,46.04,
2016-04-14,45.83,
2016-04-15,46.1,
2016-04-18,46.22,
2016-04-19,46.6,
2016-04-20,44.37,
2016-04-21,43.66,
2016-04-22,44.54,
2016-04-25,44.71,
2016-04-26,44.53,
2016-04-27,44.68,
2016-04-28,44.63,
2016-04-29,44.8,
2016-05-02,44.98,
2016-05-03,44.84,
2016-05-04,44.98,
2016-05-05,45.06,
2016-05-06,45.32,
2016-05-09,45.24,
2016-05-10,45.75,
2016-05-11,45.46,
2016-05-12,45.83,
2016-05-13,45.35,
2016-05-16,45.62,
2016-05-17,44.75,
2016-05-18,44.48,
2016-05-19,44.32,
2016-05-20,43.95,
2016-05-23,43.97,
2016-05-24,44.37,
2016-05-25,44.38,
2016-05-26,44.69,44.27853775024414
2016-05-27,44.78,44.48497772216797
2016-05-31,44.6,44.63642120361328
2016-06-01,44.7,44.59734344482422
2016-06-02,44.72,44.59127426147461
2016-06-03,45.04,44.607147216796875
2016-06-06,45.37,44.7830810546875
2016-06-07,45.32,45.06724166870117
2016-06-08,45.55,45.18498992919922
2016-06-09,45.76,45.32167053222656
2016-06-10,45.99,45.49738693237305
2016-06-13,45.12,45.702049255371094
2016-06-14,45.04,45.29913330078125
2016-06-15,45.01,44.97751235961914
2016-06-16,45.31,44.8548469543457
2016-06-17,44.79,45.00562286376953
2016-06-20,44.98,44.832515716552734
2016-06-21,45.13,44.80416488647461
2016-06-22,44.86,44.904850006103516
2016-06-23,45.08,44.82124328613281
2016-06-24,43.93,44.87029266357422
2016-06-27,43.78,44.305484771728516
2016-06-28,44.18,43.88553237915039
2016-06-29,44.44,43.94621276855469
2016-06-30,45.33,44.19611358642578
2016-07-01,45.12,44.799110412597656
2016-07-05,45.43,45.03617858886719
2016-07-06,45.27,45.221431732177734
2016-07-07,45.09,45.20686721801758
2016-07-08,45.38,45.058982849121094
2016-07-11,45.57,45.12718200683594
2016-07-12,45.58,45.3037109375
2016-07-13,45.74,45.402069091796875
2016-07-14,45.69,45.51530075073242
2016-07-15,45.63,45.53546142578125
2016-07-18,45.63,45.4888916015625
2016-07-19,45.63,45.45695877075195
2016-07-20,45.51,45.446353912353516
2016-07-21,45.45,45.37704849243164
2016-07-22,45.83,45.30554962158203
2016-07-25,45.57,45.49530792236328
2016-07-26,44.88,45.46817398071289
2016-07-27,43.4,45.025325775146484
2016-07-28,43.65,43.9803352355957
2016-07-29,43.63,43.61678695678711
2016-08-01,43.45,43.58070755004883
2016-08-02,43.53,43.531002044677734
2016-08-03,43.64,43.546756744384766
2016-08-04,43.51,43.621238708496094
2016-08-05,43.48,43.60578536987305
2016-08-08,43.44,43.564537048339844
2016-08-09,43.47,43.5211181640625
2016-08-10,43.61,43.51206970214844
2016-08-11,43.75,43.57706069946289
2016-08-12,44.03,43.68696594238281
2016-08-15,44.24,43.87594223022461
2016-08-16,43.83,44.08119201660156
2016-08-17,44.06,43.98752975463867
2016-08-18,44.1,43.972652435302734
2016-08-19,43.92,44.000648498535156
2016-08-22,43.74,43.931129455566406
2016-08-23,43.85,43.78510284423828
2016-08-24,43.85,43.74623107910156
2016-08-25,43.67,43.74867248535156
2016-08-26,43.32,43.66989517211914
2016-08-29,43.54,43.448486328125
2016-08-30,43.24,43.40839767456055
2016-08-31,43.43,43.293800354003906
2016-09-01,43.35,43.301063537597656
2016-09-02,43.66,43.297752380371094
2016-09-06,43.79,43.42903137207031
2016-09-07,43.64,43.58549118041992
2016-09-08,43.63,43.59880447387695
2016-09-09,42.27,43.564701080322266
2016-09-12,43.19,42.933902740478516
2016-09-13,42.28,42.88260269165039
2016-09-14,42.11,42.61391067504883
2016-09-15,42.36,42.34669876098633
2016-09-16,42.14,42.313148498535156
2016-09-19,42.1,42.264808654785156
2016-09-20,42.34,42.21405792236328
2016-09-21,42.53,42.2765998840332
2016-09-22,42.96,42.41239547729492
2016-09-23,42.74,42.67076110839844
2016-09-26,42.05,42.7591667175293
2016-09-27,42.59,42.4834098815918
2016-09-28,42.15,42.43993377685547
2016-09-29,42.03,42.31364059448242
2016-09-30,42.32,42.166038513183594
2016-10-03,42.03,42.18621826171875
2016-10-04,41.84,42.13384246826172
2016-10-05,41.81,42.007049560546875
2016-10-06,41.71,41.90237808227539
2016-10-07,41.73,41.81129837036133
2016-10-10,41.73,41.766170501708984
2016-10-11,41.54,41.75025177001953
2016-10-12,41.78,41.679195404052734
2016-10-13,41.76,41.701107025146484
2016-10-14,41.67,41.73418045043945
2016-10-17,41.6,41.72077178955078
2016-10-18,41.97,41.67145538330078
2016-10-19,42.05,41.7572021484375
2016-10-20,41.93,41.877479553222656
2016-10-21,42.13,41.9117431640625
2016-10-24,42.56,41.97243118286133
2016-10-25,42.54,42.17144775390625
2016-10-26,42.44,42.32304763793945
2016-10-27,42.12,42.35330581665039
2016-10-28,42.23,42.21376419067383
2016-10-31,42.4,42.12535858154297
2016-11-01,42.12,42.1562614440918
2016-11-02,42.05,42.103515625
2016-11-03,42.03,42.0206413269043
2016-11-04,41.69,41.960453033447266
2016-11-07,42.46,41.81034851074219
2016-11-08,42.88,41.97761154174805
2016-11-09,42.27,42.330875396728516
2016-11-10,40.94,42.35519027709961
2016-11-11,41.03,41.77729415893555
2016-11-14,41.17,41.32685470581055
2016-11-15,41.44,41.163761138916016
2016-11-16,41.26,41.237396240234375
2016-11-17,41.12,41.28725814819336
2016-11-18,40.91,41.25912857055664
2016-11-21,41.36,41.15080642700195
2016-11-22,41.37,41.20494079589844
2016-11-23,41.12,41.294776916503906
2016-11-25,41.53,41.27450942993164
2016-11-28,41.75,41.354217529296875
2016-11-29,41.15,41.510440826416016
2016-11-30,40.35,41.43070602416992
2016-12-01,40.17,41.04437255859375
2016-12-02,40.36,40.66216278076172
2016-12-05,40.62,40.48872756958008
2016-12-06,40.57,40.51982498168945
2016-12-07,41.29,40.58635711669922
2016-12-08,40.98,40.84440612792969
2016-12-09,42.0,40.98743438720703
2016-12-12,41.9,41.33986282348633
2016-12-13,41.76,41.61787414550781
2016-12-14,41.21,41.7089729309082
2016-12-15,41.55,41.51811218261719
2016-12-16,41.74,41.41842269897461
2016-12-19,41.67,41.45718765258789
2016-12-20,41.66,41.50038146972656
2016-12-21,41.57,41.52069091796875
2016-12-22,41.55,41.496280670166016
2016-12-23,41.6,41.46176528930664
2016-12-27,41.61,41.45658493041992
2016-12-28,41.39,41.46769332885742
2016-12-29,41.6,41.40638732910156
2016-12-30,41.46,41.416866302490234
2017-01-03,41.8,41.403446197509766
2017-01-04,41.65,41.50046157836914
2017-01-05,41.75,41.54751968383789
2017-01-06,41.74,41.59150314331055
2017-01-09,41.32,41.616668701171875
2017-01-10,41.04,41.48447799682617
2017-01-11,41.05,41.263912200927734
2017-01-12,40.95,41.1124267578125
2017-01-13,40.88,41.013206481933594
2017-01-17,41.22,40.94569778442383
2017-01-18,41.29,41.02033615112305
2017-01-19,41.14,41.13629150390625
2017-01-20,41.32,41.17103958129883
2017-01-23,41.43,41.220619201660156
2017-01-24,41.9,41.293701171875
2017-01-25,42.12,41.49785232543945
2017-01-26,41.81,41.74275207519531
2017-01-27,41.45,41.79770278930664
2017-01-30,41.38,41.64229202270508
2017-01-31,41.57,41.46150207519531
2017-02-01,41.26,41.41272735595703
2017-02-02,41.4,41.3230094909668
2017-02-03,41.54,41.29808044433594
2017-02-06,41.56,41.35239791870117
2017-02-07,41.9,41.417144775390625
2017-02-08,42.02,41.57219696044922
2017-02-09,41.25,41.7385368347168
2017-02-10,40.58,41.578033447265625
2017-02-13,40.62,41.15660858154297
2017-02-14,40.53,40.846920013427734
2017-02-15,40.44,40.67159652709961
2017-02-16,41.2,40.574947357177734
2017-02-17,41.23,40.7645378112793
2017-02-21,41.46,40.99232864379883
2017-02-22,41.6,41.2132682800293
2017-02-23,41.66,41.39434814453125
2017-02-24,41.78,41.512794494628906
2017-02-27,41.67,41.60328674316406
2017-02-28,41.96,41.6131591796875
2017-03-01,42.16,41.687294006347656
2017-03-02,42.47,41.82426834106445
2017-03-03,42.48,42.034423828125
2017-03-06,42.18,42.187538146972656
2017-03-07,41.99,42.14844512939453
2017-03-08,41.99,41.99752426147461
2017-03-09,42.03,41.88141632080078
2017-03-10,42.29,41.84303665161133
2017-03-13,42.03,41.93952941894531
2017-03-14,41.97,41.943443298339844
2017-03-15,42.12,41.89529800415039
2017-03-16,42.25,41.91145324707031
2017-03-17,42.03,41.99125671386719
2017-03-20,42.18,41.977108001708984
2017-03-21,42.5,41.99603271484375
2017-03-22,42.38,42.13947296142578
2017-03-23,42.17,42.21702194213867
2017-03-24,42.12,42.162025451660156
2017-03-27,42.32,42.076385498046875
2017-03-28,42.43,42.09732437133789
2017-03-29,42.42,42.184120178222656
2017-03-30,42.6,42.24885940551758
2017-03-31,42.44,42.34771728515625
2017-04-03,42.41,42.355308532714844
2017-04-04,42.68,42.321502685546875
2017-04-05,42.57,42.39690017700195
2017-04-06,42.67,42.43063735961914
2017-04-07,42.61,42.474571228027344
2017-04-10,42.69,42.48110580444336
2017-04-11,42.66,42.50608825683594
2017-04-12,42.94,42.51544952392578
2017-04-13,42.79,42.62742233276367
2017-04-17,43.07,42.660499572753906
2017-04-18,43.48,42.76754379272461
2017-04-19,43.23,43.018028259277344
2017-04-20,43.09,43.090511322021484
2017-04-21,43.07,43.018882751464844
2017-04-24,43.28,42.93839645385742
2017-04-25,43.11,42.98518753051758
2017-04-26,43.24,42.973812103271484
2017-04-27,43.01,43.007293701171875
2017-04-28,43.15,42.943450927734375
2017-05-01,43.22,42.94533157348633
2017-05-02,43.39,42.997344970703125
2017-05-03,43.32,43.110939025878906
2017-05-04,43.66,43.15788650512695
2017-05-05,43.69,43.3128547668457
2017-05-08,43.89,43.4378662109375
2017-05-09,43.51,43.58230972290039
2017-05-10,43.57,43.49271011352539
2017-05-11,43.67,43.41648483276367
2017-05-12,43.59,43.432132720947266
2017-05-15,43.73,43.4280891418457
2017-05-16,43.85,43.485469818115234
2017-05-17,43.93,43.58695983886719
2017-05-18,43.8,43.6861457824707
2017-05-19,43.9,43.676025390625
2017-05-22,44.18,43.692359924316406
2017-05-23,44.39,43.8400764465332
2017-05-24,45.03,44.04396057128906
2017-05-25,45.41,44.465023040771484
2017-05-26,45.39,44.91067886352539
2017-05-30,45.43,45.11079025268555
2017-05-31,45.47,45.16289520263672
2017-06-01,45.79,45.17594528198242
2017-06-02,45.89,45.347923278808594
2017-06-05,45.99,45.51224899291992
2017-06-06,45.98,45.63606643676758
2017-06-07,45.51,45.676422119140625
2017-06-08,45.13,45.41114044189453
2017-06-09,45.32,45.04172897338867
2017-06-12,45.33,44.99717712402344
2017-06-13,45.03,45.051700592041016
2017-06-14,45.3,44.926719665527344
2017-06-15,45.25,45.001434326171875
2017-06-16,45.31,45.0468635559082
2017-06-19,45.38,45.095184326171875
2017-06-20,45.61,45.15993881225586
2017-06-21,45.22,45.32262420654297
2017-06-22,45.07,45.19263458251953
2017-06-23,45.25,45.00912094116211
2017-06-26,45.43,45.035377502441406
2017-06-27,45.05,45.18959426879883
2017-06-28,45.32,45.0676383972168
2017-06-29,44.83,45.12017059326172
2017-06-30,44.85,44.90948486328125
2017-07-03,44.76,44.78683090209961
2017-07-05,44.82,44.70914077758789
2017-07-06,44.4,44.71718978881836
2017-07-07,44.39,44.51405334472656
2017-07-10,44.38,44.38428497314453
2017-07-11,44.33,44.3399543762207
2017-07-12,44.51,44.30965805053711
2017-07-13,44.43,44.38962173461914
2017-07-14,44.68,44.404972076416016
