Date,Original,Predicted
2018-10-01,168.87,
2018-10-02,169.03,
2018-10-03,167.57,
2018-10-04,165.82999999999998,
2018-10-05,164.24000000000004,
2018-10-08,164.31,
2018-10-09,161.18,
2018-10-10,158.01,
2018-10-11,154.26,
2018-10-12,156.24,
2018-10-15,156.79,
2018-10-16,160.67,
2018-10-17,159.79,
2018-10-18,161.36,
2018-10-19,159.85,
2018-10-22,166.88,
2018-10-23,164.17000000000002,
2018-10-24,161.23,
2018-10-25,165.0,
2018-10-26,164.94,
2018-10-29,165.49,
2018-10-30,164.50000000000003,
2018-10-31,165.46999999999997,
2018-11-01,162.0,
2018-11-02,159.84,
2018-11-05,161.99,
2018-11-06,165.53,
2018-11-07,166.85,
2018-11-08,165.3,
2018-11-09,161.52,
2018-11-12,159.22,
2018-11-13,156.93,
2018-11-14,153.36,
2018-11-15,155.18,
2018-11-16,158.08,
2018-11-19,159.5,
2018-11-20,157.87,
2018-11-21,159.06,
2018-11-23,156.19,
2018-11-26,157.32,
2018-11-27,152.55,
2018-11-28,156.29,
2018-11-29,159.31,
2018-11-30,159.05,
2018-12-03,164.35,
2018-12-04,160.83,
2018-12-06,155.98,
2018-12-07,152.72,
2018-12-10,156.91,
2018-12-11,157.46,
2018-12-12,160.55,
2018-12-13,158.09,
2018-12-14,156.93,
2018-12-17,157.33,
2018-12-18,157.61,
2018-12-19,155.83,
2018-12-20,154.05,
2018-12-21,153.11,
2018-12-24,148.13,
2018-12-26,152.74,
2018-12-27,156.41,
2018-12-28,156.31,
2018-12-31,156.04,
2019-01-02,157.2,
2019-01-03,152.29,
2019-01-04,156.63,
2019-01-07,156.49,
2019-01-08,158.15,
2019-01-09,158.46,
2019-01-10,161.85,
2019-01-11,160.21,
2019-01-14,158.02,
2019-01-15,157.23,
2019-01-16,157.24,
2019-01-17,157.26,
2019-01-18,160.79,
2019-01-22,160.84,
2019-01-23,158.93,
2019-01-24,157.37,
2019-01-25,158.84,
2019-01-28,158.21,
2019-01-29,161.22,
2019-01-30,162.92,
2019-01-31,163.01,
2019-02-01,165.75999999999996,
2019-02-04,163.5,
2019-02-05,164.99,
2019-02-06,163.42,
2019-02-07,160.69,
2019-02-08,161.22,
2019-02-11,161.35,
2019-02-12,167.53,
2019-02-13,167.37999999999997,
2019-02-14,166.5,
2019-02-15,168.54,
2019-02-19,167.86,
2019-02-20,170.3,
2019-02-21,171.4,
2019-02-22,173.5,
2019-02-25,174.61999999999998,
2019-02-26,173.91,172.5152587890625
2019-02-27,174.5,173.72567749023438
2019-02-28,173.24,174.68392944335938
2019-03-01,168.38,175.1981658935547
2019-03-04,168.7,174.75469970703125
2019-03-05,168.44,173.68276977539062
2019-03-06,169.13,172.3665313720703
2019-03-07,167.47,171.20211791992188
2019-03-08,169.45999999999998,170.16143798828125
2019-03-11,171.28000000000003,169.5386962890625
2019-03-12,172.32,169.52108764648438
2019-03-13,174.39000000000001,170.05953979492188
2019-03-14,174.21,171.1312255859375
2019-03-15,176.43,172.41041564941406
2019-03-18,174.55,173.87522888183594
2019-03-19,173.58,175.0697784423828
2019-03-20,176.63000000000002,175.74456787109375
2019-03-21,175.1,176.31517028808594
2019-03-22,169.86,176.64962768554688
2019-03-25,170.0,176.14219665527344
2019-03-26,170.97999999999996,175.0562286376953
2019-03-27,169.48,173.8921661376953
2019-03-28,173.7,172.73919677734375
2019-03-29,175.93,172.2329864501953
2019-04-01,176.58,172.5845489501953
2019-04-02,178.02,173.57374572753906
2019-04-03,182.74,174.99057006835938
2019-04-04,183.90000000000003,177.04876708984375
2019-04-05,184.62,179.47271728515625
2019-04-08,184.84000000000003,181.88107299804688
2019-04-09,182.9,183.9320831298828
2019-04-10,181.02,185.1706085205078
2019-04-11,179.85,185.3948211669922
2019-04-12,180.35,184.75253295898438
2019-04-15,180.14,183.73419189453125
2019-04-16,180.61999999999998,182.66505432128906
2019-04-17,179.91,181.81573486328125
2019-04-18,180.4,181.16502380371094
2019-04-22,178.89999999999998,180.77926635742188
2019-04-23,179.33,180.43011474609375
2019-04-24,177.62,180.1668243408203
2019-04-25,176.28,179.7886505126953
2019-04-26,178.26,179.19053649902344
2019-04-29,177.1,178.76519775390625
2019-04-30,180.25999999999996,178.43585205078125
2019-05-01,178.29,178.5960235595703
2019-05-02,180.48999999999998,178.87850952148438
2019-05-03,180.96,179.41714477539062
2019-05-06,178.63,180.1376953125
2019-05-07,174.57,180.58047485351562
2019-05-08,176.54,180.19911193847656
2019-05-09,173.34999999999997,179.49319458007812
2019-05-10,181.59,178.36849975585938
2019-05-13,180.68,178.11903381347656
2019-05-14,180.92,178.5830535888672
2019-05-15,180.86,179.45016479492188
2019-05-16,187.65,180.39675903320312
2019-05-17,189.0,182.07907104492188
2019-05-20,185.26000000000002,184.32614135742188
2019-05-21,187.27,186.12411499023438
2019-05-22,188.24,187.4769744873047
2019-05-23,185.08,188.4918975830078
2019-05-24,187.86000000000004,188.74276733398438
2019-05-28,184.31,188.77890014648438
2019-05-29,183.01,188.27415466308594
2019-05-30,183.40999999999997,187.2655792236328
2019-05-31,180.55,186.13330078125
2019-06-03,187.28,184.7551727294922
2019-06-04,191.35,184.28314208984375
2019-06-05,192.75,185.1823272705078
2019-06-06,197.35,187.1101531982422
2019-06-07,200.05,190.02023315429688
2019-06-10,200.42,193.54486083984375
2019-06-11,200.79,196.967041015625
2019-06-12,201.69,199.76980590820312
2019-06-13,202.74,201.82342529296875
