Date,Original,Predicted
2016-01-04,61.52,
2016-01-05,62.38,
2016-01-06,61.49,
2016-01-07,59.85,
2016-01-08,58.87,
2016-01-11,59.55,
2016-01-12,59.94,
2016-01-13,58.78,
2016-01-14,58.51,
2016-01-15,57.56,
2016-01-19,58.32,
2016-01-20,59.04,
2016-01-21,60.56,
2016-01-22,60.88,
2016-01-25,60.7,
2016-01-26,61.11,
2016-01-27,59.58,
2016-01-28,61.2,
2016-01-29,62.01,
2016-02-01,63.16,
2016-02-02,62.55,
2016-02-03,62.49,
2016-02-04,60.17,
2016-02-05,57.17,
2016-02-08,55.04,
2016-02-09,55.68,
2016-02-10,57.41,
2016-02-11,56.0,
2016-02-12,56.42,
2016-02-16,57.79,
2016-02-17,58.17,
2016-02-18,58.6,
2016-02-19,59.31,
2016-02-22,60.17,
2016-02-23,60.21,
2016-02-24,60.4,
2016-02-25,62.38,
2016-02-26,62.6,
2016-02-29,61.59,
2016-03-01,62.92,
2016-03-02,62.22,
2016-03-03,61.47,
2016-03-04,61.26,
2016-03-07,59.25,
2016-03-08,59.81,
2016-03-09,58.33,
2016-03-10,58.88,
2016-03-11,60.08,
2016-03-14,60.81,
2016-03-15,61.4,
2016-03-16,61.86,
2016-03-17,63.18,
2016-03-18,62.99,
2016-03-21,64.72,
2016-03-22,64.9,
2016-03-23,62.44,
2016-03-24,61.65,
2016-03-28,61.34,
2016-03-29,61.49,
2016-03-30,62.04,
2016-03-31,61.47,
2016-04-01,61.59,
2016-04-04,59.97,
2016-04-05,59.67,
2016-04-06,60.31,
2016-04-07,60.3,
2016-04-08,59.42,
2016-04-11,57.92,
2016-04-12,58.55,
2016-04-13,59.58,
2016-04-14,59.49,
2016-04-15,59.5,
2016-04-18,59.57,
2016-04-19,59.56,
2016-04-20,59.62,
2016-04-21,60.08,
2016-04-22,59.43,
2016-04-25,59.21,
2016-04-26,59.54,
2016-04-27,59.27,
2016-04-28,58.54,
2016-04-29,58.94,
2016-05-02,59.59,
2016-05-03,59.52,
2016-05-04,59.11,
2016-05-05,58.19,
2016-05-06,58.43,
2016-05-09,58.72,
2016-05-10,59.2,
2016-05-11,57.01,
2016-05-12,57.99,
2016-05-13,57.31,
2016-05-16,57.14,
2016-05-17,57.1,
2016-05-18,56.12,
2016-05-19,57.04,
2016-05-20,56.48,
2016-05-23,55.99,
2016-05-24,56.59,
2016-05-25,55.99,
2016-05-26,55.84,56.49045181274414
2016-05-27,56.19,56.33721160888672
2016-05-31,55.22,56.2706184387207
2016-06-01,54.93,56.06316375732422
2016-06-02,54.53,55.751583099365234
2016-06-03,53.45,55.38132095336914
2016-06-06,54.3,54.84959030151367
2016-06-07,53.55,54.52652359008789
2016-06-08,54.12,54.26142501831055
2016-06-09,54.94,54.18193054199219
2016-06-10,55.11,54.3865966796875
2016-06-13,54.91,54.72846984863281
2016-06-14,54.12,55.00018310546875
2016-06-15,54.31,54.98618698120117
2016-06-16,53.47,54.847312927246094
2016-06-17,53.71,54.52458190917969
2016-06-20,54.36,54.22738265991211
2016-06-21,54.77,54.16183090209961
2016-06-22,54.57,54.33106994628906
2016-06-23,54.12,54.53944396972656
2016-06-24,52.59,54.607025146484375
2016-06-27,51.89,54.26240539550781
2016-06-28,53.09,53.62836837768555
2016-06-29,55.13,53.24152755737305
2016-06-30,55.2,53.519317626953125
2016-07-01,55.61,54.135650634765625
2016-07-05,55.2,54.83197784423828
2016-07-06,55.8,55.29570770263672
2016-07-07,55.92,55.62452697753906
2016-07-08,56.72,55.84712600708008
2016-07-11,56.83,56.13924026489258
2016-07-12,58.06,56.442726135253906
2016-07-13,57.99,56.94351577758789
2016-07-14,58.49,57.431549072265625
2016-07-15,57.87,57.88993453979492
2016-07-18,57.74,58.08547592163086
2016-07-19,57.76,58.059959411621094
2016-07-20,57.76,57.95127868652344
2016-07-21,56.99,57.851318359375
2016-07-22,56.73,57.622520446777344
2016-07-25,57.14,57.32483673095703
2016-07-26,56.37,57.170074462890625
2016-07-27,55.79,56.973724365234375
2016-07-28,55.45,56.662750244140625
2016-07-29,55.5,56.29243469238281
2016-08-01,55.41,55.998531341552734
2016-08-02,54.92,55.80281448364258
2016-08-03,54.75,55.59504699707031
2016-08-04,54.79,55.37907409667969
2016-08-05,55.85,55.213294982910156
2016-08-08,55.98,55.33256149291992
2016-08-09,55.77,55.610687255859375
2016-08-10,55.13,55.83966064453125
2016-08-11,56.73,55.82865905761719
2016-08-12,56.45,56.01865005493164
2016-08-15,56.77,56.24772262573242
2016-08-16,56.88,56.49357986450195
2016-08-17,56.86,56.710018157958984
2016-08-18,57.21,56.85251998901367
2016-08-19,58.9,56.99922561645508
2016-08-22,58.66,57.497901916503906
2016-08-23,59.62,58.03334426879883
2016-08-24,60.22,58.645694732666016
2016-08-25,59.24,59.289485931396484
2016-08-26,59.0,59.55327606201172
2016-08-29,58.63,59.477359771728516
