Date,Original,Predicted
2016-01-04,32.37,
2016-01-05,32.89,
2016-01-06,31.53,
2016-01-07,30.28,
2016-01-08,29.63,
2016-01-11,29.68,
2016-01-12,30.18,
2016-01-13,29.26,
2016-01-14,28.67,
2016-01-15,27.11,
2016-01-19,27.33,
2016-01-20,27.48,
2016-01-21,27.800000000000004,
2016-01-22,28.45,
2016-01-25,28.42,
2016-01-26,28.7,
2016-01-27,28.36,
2016-01-28,28.05,
2016-01-29,29.29,
2016-02-01,29.3,
2016-02-02,28.06,
2016-02-03,28.2,
2016-02-04,28.21,
2016-02-05,26.430000000000003,
2016-02-08,25.220000000000002,
2016-02-09,25.49,
2016-02-10,25.43,
2016-02-11,25.3,
2016-02-12,25.73,
2016-02-16,26.99,
2016-02-17,27.659999999999997,
2016-02-18,30.04,
2016-02-19,30.44,
2016-02-22,31.52,
2016-02-23,31.600000000000005,
2016-02-24,31.82,
2016-02-25,31.89,
2016-02-26,31.68,
2016-02-29,31.36,
2016-03-01,32.75,
2016-03-02,32.94,
2016-03-03,32.65,
2016-03-04,32.55,
2016-03-07,32.34,
2016-03-08,31.75,
2016-03-09,31.73,
2016-03-10,31.68,
2016-03-11,32.22,
2016-03-14,32.3,
2016-03-15,32.14,
2016-03-16,33.1,
2016-03-17,32.82,
2016-03-18,33.81,
2016-03-21,33.91,
2016-03-22,33.85,
2016-03-23,34.43,
2016-03-24,34.48,
2016-03-28,34.83,
2016-03-29,35.39,
2016-03-30,35.76,
2016-03-31,35.63,
2016-04-01,36.15,
2016-04-04,35.8,
2016-04-05,35.75,
2016-04-06,35.8,
2016-04-07,35.43,
2016-04-08,35.66,
2016-04-11,35.88,
2016-04-12,35.84,
2016-04-13,36.74,
2016-04-14,36.84,
2016-04-15,37.13,
2016-04-18,36.97,
2016-04-19,36.31,
2016-04-20,36.45,
2016-04-21,36.41,
2016-04-22,36.27,
2016-04-25,36.45,
2016-04-26,36.48,
2016-04-27,37.31,
2016-04-28,36.2,
2016-04-29,35.53,
2016-05-02,36.0,
2016-05-03,35.57,
2016-05-04,34.76,
2016-05-05,34.97,
2016-05-06,35.33,
2016-05-09,35.28,
2016-05-10,35.96,
2016-05-11,36.06,
2016-05-12,35.57,
2016-05-13,40.98,
2016-05-16,42.19,
2016-05-17,42.28,
2016-05-18,43.36,
2016-05-19,43.55,
2016-05-20,44.33,
2016-05-23,44.4,
2016-05-24,45.36,
2016-05-25,45.17,
2016-05-26,45.65,44.86724090576172
2016-05-27,45.9,45.29834747314453
2016-05-31,46.72,45.64621353149414
2016-06-01,46.81,45.984344482421875
2016-06-02,47.14,46.31940460205078
2016-06-03,46.480000000000004,46.65489959716797
2016-06-06,46.24,46.916107177734375
2016-06-07,46.33,47.067718505859375
2016-06-08,46.17999999999999,47.132694244384766
2016-06-09,47.379999999999995,47.132240295410156
2016-06-10,46.2,47.1898193359375
2016-06-13,46.78999999999999,47.22999572753906
2016-06-14,46.88,47.28024673461914
2016-06-15,47.36,47.3509407043457
2016-06-16,47.55,47.47175216674805
2016-06-17,46.72,47.6416015625
2016-06-20,47.56,47.766845703125
2016-06-21,47.27,47.88962173461914
2016-06-22,47.23,47.991634368896484
2016-06-23,48.49,48.0627555847168
2016-06-24,45.73,48.2022819519043
2016-06-27,45.24000000000001,48.191925048828125
2016-06-28,45.9,47.97759246826172
2016-06-29,46.65,47.67949295043945
2016-06-30,47.01,47.44404220581055
2016-07-01,46.66,47.34200668334961
2016-07-05,47.35,47.33256149291992
2016-07-06,47.65,47.428104400634766
2016-07-07,48.89000000000001,47.6143798828125
2016-07-08,50.85,47.93882369995117
2016-07-11,52.02,48.49660873413086
2016-07-12,52.8,49.28541564941406
2016-07-13,52.78,50.22441864013672
2016-07-14,53.32,51.160240173339844
2016-07-15,52.7,52.011539459228516
2016-07-18,52.97,52.66081619262695
2016-07-19,53.52,53.10462188720703
2016-07-20,54.22,53.41452407836914
2016-07-21,53.22,53.68436813354492
2016-07-22,54.67,53.853858947753906
2016-07-25,55.68,54.0389404296875
2016-07-26,56.63,54.33533477783203
2016-07-27,56.06,54.78739929199219
2016-07-28,56.18,55.27665710449219
2016-07-29,57.1,55.7264404296875
2016-08-01,56.73,56.16462326049805
2016-08-02,56.04,56.539024353027344
2016-08-03,56.19,56.77009582519531
2016-08-04,57.23,56.875179290771484
2016-08-05,58.2,56.97602844238281
2016-08-08,58.74,57.18003463745117
2016-08-09,58.89,57.51220703125
2016-08-10,58.51,57.92326736450195
2016-08-11,59.7,58.30924606323242
2016-08-12,63.04,58.71143341064453
2016-08-15,62.98,59.371253967285156
2016-08-16,62.60000000000001,60.215938568115234
2016-08-17,61.15,61.06126403808594
2016-08-18,62.1,61.66455841064453
2016-08-19,62.26,62.05939865112305
2016-08-22,62.52,62.3038215637207
2016-08-23,62.91,62.46445083618164
2016-08-24,61.94,62.606624603271484
2016-08-25,61.53,62.66622543334961
2016-08-26,62.029999999999994,62.6151008605957
2016-08-29,61.99000000000001,62.52835464477539
2016-08-30,61.63,62.44620132446289
2016-08-31,61.34,62.359100341796875
2016-09-01,63.15,62.25224685668945
2016-09-02,62.53,62.28494644165039
2016-09-06,63.12,62.4072151184082
2016-09-07,62.19,62.61338806152344
2016-09-08,62.63999999999999,62.78290939331055
2016-09-09,59.52,62.915103912353516
2016-09-12,60.75,62.759742736816406
2016-09-13,59.87,62.4507942199707
2016-09-14,60.4,62.0340690612793
2016-09-15,62.69,61.63639831542969
2016-09-16,62.84,61.50679397583008
2016-09-19,63.67000000000001,61.65364074707031
2016-09-20,63.09000000000001,62.04319763183594
2016-09-21,64.86,62.50643539428711
2016-09-22,65.02000000000001,63.07295608520508
2016-09-23,64.95000000000002,63.681854248046875
2016-09-26,64.34000000000002,64.24236297607422
2016-09-27,66.54,64.64494323730469
2016-09-28,66.78000000000002,65.05204010009766
2016-09-29,67.40000000000002,65.49311065673828
2016-09-30,68.52,65.97687530517578
2016-10-03,68.45,66.54096221923828
2016-10-04,68.3,67.1156005859375
2016-10-05,68.23,67.61536407470703
2016-10-06,67.34000000000002,67.99176788330078
2016-10-07,66.85000000000001,68.16690063476562
2016-10-10,67.1,68.13044738769531
2016-10-11,66.13000000000001,67.9743423461914
2016-10-12,66.43,67.70083618164062
2016-10-13,65.35,67.39958953857422
2016-10-14,65.99,67.04630279541016
2016-10-17,65.61000000000001,66.73636627197266
2016-10-18,66.61,66.48172760009766
2016-10-19,66.47,66.37333679199219
2016-10-20,67.73,66.38946533203125
2016-10-21,67.54,66.58551788330078
2016-10-24,70.71,66.88704681396484
2016-10-25,71.87,67.47076416015625
2016-10-26,72.16,68.33995056152344
2016-10-27,70.68,69.34935760498047
2016-10-28,70.56,70.19994354248047
2016-10-31,71.16000000000001,70.77164459228516
2016-11-01,69.05,71.1196517944336
2016-11-02,68.76,71.12799072265625
2016-11-03,67.96000000000001,70.84967803955078
2016-11-04,67.57,70.35337829589844
2016-11-07,71.27,69.74308776855469
2016-11-08,71.16000000000001,69.4447250366211
2016-11-09,69.96000000000001,69.49762725830078
2016-11-10,67.77,69.696533203125
2016-11-11,87.97,69.73963928222656
2016-11-14,83.64,71.2550277709961
2016-11-15,86.19,73.74822998046875
2016-11-16,91.63,76.7505111694336
2016-11-17,92.39,80.15531158447266
2016-11-18,93.36,83.562255859375
2016-11-21,92.98,86.6305923461914
2016-11-22,93.65,89.06077575683594
2016-11-23,93.97,90.8124008178711
2016-11-25,94.16000000000001,91.96495056152344
2016-11-28,94.11,92.651123046875
2016-11-29,93.25,92.9990005493164
2016-11-30,92.2,93.05593872070312
2016-12-01,87.64,92.84392547607422
2016-12-02,88.45,92.0926742553711
2016-12-05,91.88,91.0598373413086
2016-12-06,93.39,90.31444549560547
2016-12-07,95.07,90.12889862060547
2016-12-08,93.48,90.5660400390625
2016-12-09,91.81999999999998,91.2678451538086
2016-12-12,89.59,91.84564208984375
2016-12-13,91.17,91.99143981933594
2016-12-14,96.45,91.89110565185547
2016-12-15,98.71,92.1474838256836
2016-12-16,100.41,92.98369598388672
2016-12-19,101.63,94.34130859375
2016-12-20,105.16999999999999,96.0123291015625
2016-12-21,105.83,97.9913101196289
2016-12-22,107.11,100.0477066040039
2016-12-23,109.78,102.01187133789062
2016-12-27,117.32,103.91986083984375
2016-12-28,109.25,106.2978286743164
2016-12-29,111.43,108.17777252197266
2016-12-30,106.74,109.47982788085938
2017-01-03,102.01,109.82533264160156
2017-01-04,104.39,108.97711181640625
2017-01-05,101.74,107.57659912109375
2017-01-06,103.1,105.88610076904297
2017-01-09,107.28,104.36735534667969
2017-01-10,106.47,103.6144790649414
2017-01-11,105.16000000000001,103.54042053222656
2017-01-12,103.44,103.79424285888672
2017-01-13,103.43,104.00110626220703
2017-01-17,101.11,104.06075286865234
2017-01-18,102.95,103.78675842285156
2017-01-19,105.16000000000001,103.43309020996094
2017-01-20,104.01,103.3262710571289
2017-01-23,105.09000000000002,103.37947845458984
2017-01-24,107.33,103.60566711425781
2017-01-25,107.79,104.12714385986328
2017-01-26,109.65,104.8682632446289
2017-01-27,111.77,105.82951354980469
2017-01-30,110.02000000000001,107.03450012207031
2017-01-31,109.18,108.13273620605469
2017-02-01,113.95,108.88103485107422
2017-02-02,115.39,109.68840789794922
2017-02-03,114.38,110.69750213623047
2017-02-06,117.31000000000002,111.6899642944336
2017-02-07,119.13,112.78406524658203
2017-02-08,118.61,114.03894805908203
2017-02-09,116.38,115.24893188476562
2017-02-10,113.62000000000002,116.05268859863281
2017-02-13,108.38,116.16000366210938
2017-02-14,108.78000000000002,115.2406997680664
2017-02-15,109.0,113.68685150146484
2017-02-16,107.25,111.99431610107422
2017-02-17,107.23,110.35430908203125
2017-02-21,111.07,108.9642333984375
2017-02-22,110.76,108.27983856201172
2017-02-23,100.49,108.23009490966797
2017-02-24,101.46,107.66691589355469
2017-02-27,104.41,106.60120391845703
2017-02-28,101.47999999999999,105.57231903076172
2017-03-01,102.79,104.5501708984375
2017-03-02,99.0,103.73827362060547
2017-03-03,98.42999999999999,102.85823059082031
2017-03-06,97.67,101.88811492919922
2017-03-07,98.74,100.87315368652344
2017-03-08,98.56,100.02741241455078
2017-03-09,98.54,99.41211700439453
2017-03-10,99.12,99.0186767578125
2017-03-13,101.85,98.85407257080078
2017-03-14,101.78,99.09527587890625
2017-03-15,102.55,99.62189483642578
2017-03-16,103.81,100.3195571899414
2017-03-17,106.07,101.140625
2017-03-20,109.45,102.14938354492188
2017-03-21,105.91,103.5026626586914
2017-03-22,108.07,104.6791000366211
2017-03-23,107.09,105.67288970947266
2017-03-24,107.47,106.35660552978516
2017-03-27,108.25,106.76602172851562
2017-03-28,107.69,107.03240966796875
2017-03-29,107.34,107.16340637207031
2017-03-30,109.39999999999999,107.16382598876953
2017-03-31,108.93,107.26679229736328
2017-04-03,108.38,107.45206451416016
2017-04-04,100.78,107.6235122680664
2017-04-05,100.03,107.0631332397461
2017-04-06,100.76,105.8163070678711
2017-04-07,100.33,104.31562805175781
2017-04-10,97.77,102.87274932861328
2017-04-11,98.12,101.46695709228516
2017-04-12,97.31,100.24854278564453
2017-04-13,95.49,99.24208068847656
2017-04-17,99.23,98.3205795288086
2017-04-18,99.29,97.83799743652344
2017-04-19,99.68,97.79505157470703
2017-04-20,101.26,98.08284759521484
2017-04-21,101.68,98.67102813720703
2017-04-24,102.95,99.42945098876953
2017-04-25,104.74,100.30223083496094
2017-04-26,104.02,101.30725860595703
2017-04-27,105.64,102.24095153808594
2017-04-28,104.3,103.12178039550781
2017-05-01,106.64,103.76399230957031
2017-05-02,103.48,104.34056854248047
2017-05-03,104.25,104.57955932617188
2017-05-04,103.85,104.56455993652344
2017-05-05,103.86,104.36808776855469
2017-05-08,102.76999999999998,104.09121704101562
2017-05-09,102.94,103.71925354003906
2017-05-10,121.29,103.33354187011719
2017-05-11,126.49999999999999,104.64425659179688
2017-05-12,127.89,107.9121322631836
2017-05-15,134.31,112.38813018798828
2017-05-16,136.81,117.63751220703125
2017-05-17,127.71999999999998,123.01319885253906
2017-05-18,133.07,126.90707397460938
2017-05-19,136.0,129.5020294189453
2017-05-22,138.9,131.30006408691406
2017-05-23,137.03,132.8022918701172
2017-05-24,138.57,133.91261291503906
2017-05-25,138.26,134.7814178466797
2017-05-26,141.84,135.41986083984375
2017-05-30,144.87,136.2038116455078
2017-05-31,144.35,137.4103240966797
2017-06-01,144.36,138.8107147216797
2017-06-02,143.64,140.15414428710938
2017-06-05,148.01,141.20126342773438
2017-06-06,147.34,142.32701110839844
2017-06-07,149.12,143.4315185546875
2017-06-08,159.94,144.57144165039062
2017-06-09,149.6,146.7147674560547
2017-06-12,149.97,148.52391052246094
