Date,Original,Predicted
2016-01-04,87.0,
2016-01-05,87.87,
2016-01-06,87.85,
2016-01-07,87.25,
2016-01-08,86.71,
2016-01-11,89.17,
2016-01-12,89.09,
2016-01-13,88.31,
2016-01-14,87.88,
2016-01-15,86.29,
2016-01-19,87.47,
2016-01-20,85.86,
2016-01-21,85.8,
2016-01-22,86.87,
2016-01-25,86.68,
2016-01-26,87.31,
2016-01-27,88.09,
2016-01-28,89.06,
2016-01-29,90.01,
2016-02-01,89.41,
2016-02-02,89.35,
2016-02-03,89.79,
2016-02-04,89.1,
2016-02-05,89.55,
2016-02-08,89.72,
2016-02-09,90.02,
2016-02-10,89.23,
2016-02-11,88.34,
2016-02-12,89.06,
2016-02-16,90.12,
2016-02-17,91.23,
2016-02-18,91.65,
2016-02-19,91.94,
2016-02-22,92.54,
2016-02-23,92.05,
2016-02-24,91.46,
2016-02-25,92.45,
2016-02-26,91.45,
2016-02-29,91.03,
2016-03-01,91.54,
2016-03-02,91.56,
2016-03-03,93.26,
2016-03-04,94.49,
2016-03-07,93.9,
2016-03-08,94.45,
2016-03-09,96.01,
2016-03-10,96.84,
2016-03-11,96.49,
2016-03-14,96.44,
2016-03-15,96.44,
2016-03-16,97.18,
2016-03-17,98.9,
2016-03-18,98.17,
2016-03-21,98.59,
2016-03-22,96.74,
2016-03-23,97.07,
2016-03-24,97.57,
2016-03-28,97.86,
2016-03-29,98.86,
2016-03-30,98.69,
2016-03-31,98.11,
2016-04-01,99.75,
2016-04-04,100.36,
2016-04-05,100.26,
2016-04-06,101.17,
2016-04-07,100.58,
2016-04-08,100.88,
2016-04-11,100.33,
2016-04-12,101.63,
2016-04-13,100.33,
2016-04-14,99.76,
2016-04-15,100.11,
2016-04-18,100.6,
2016-04-19,99.28,
2016-04-20,98.13,
2016-04-21,96.42,
2016-04-22,96.92,
2016-04-25,97.53,
2016-04-26,97.24,
2016-04-27,97.27,
2016-04-28,97.35,
2016-04-29,98.12,
2016-05-02,98.56,
2016-05-03,98.52,
2016-05-04,98.78,
2016-05-05,99.18,
2016-05-06,100.32,
2016-05-09,100.39,
2016-05-10,101.89,
2016-05-11,101.8,
2016-05-12,102.18,
2016-05-13,100.89,
2016-05-16,101.71,
2016-05-17,99.84,
2016-05-18,98.95,
2016-05-19,98.36,
2016-05-20,98.04,
2016-05-23,98.28,
2016-05-24,98.84,
2016-05-25,99.05,
2016-05-26,99.01,99.01966857910156
2016-05-27,99.18,98.97045135498047
2016-05-31,98.68,99.16891479492188
2016-06-01,99.4,98.73418426513672
2016-06-02,99.26,99.46866607666016
2016-06-03,101.12,99.45877838134766
2016-06-06,100.32,101.30858612060547
2016-06-07,100.46,100.60523986816406
2016-06-08,101.72,100.48074340820312
2016-06-09,101.78,101.84636688232422
2016-06-10,101.3,102.00950622558594
2016-06-13,100.57,101.34290313720703
2016-06-14,99.89,100.48686981201172
2016-06-15,99.65,99.77684783935547
2016-06-16,100.15,99.55964660644531
2016-06-17,100.73,100.12200927734375
2016-06-20,101.55,100.76078796386719
2016-06-21,100.85,101.580322265625
2016-06-22,101.03,100.81883239746094
2016-06-23,101.9,100.90758514404297
2016-06-24,97.71,101.95504760742188
2016-06-27,98.2,97.60941314697266
2016-06-28,98.54,97.81014251708984
2016-06-29,98.62,98.63314819335938
2016-06-30,101.72,98.7735824584961
2016-07-01,101.28,101.86275482177734
2016-07-05,102.24,101.59844970703125
2016-07-06,102.36,102.25460052490234
2016-07-07,101.78,102.48184967041016
2016-07-08,103.09,101.87438201904297
2016-07-11,103.38,103.24832916259766
2016-07-12,102.9,103.68707275390625
2016-07-13,103.24,103.01544189453125
2016-07-14,103.19,103.26383972167969
2016-07-15,103.63,103.2513198852539
2016-07-18,103.0,103.67340850830078
2016-07-19,99.89,102.97473907470703
2016-07-20,99.65,99.54281616210938
2016-07-21,99.42,99.26983642578125
2016-07-22,99.84,99.36823272705078
2016-07-25,99.71,99.85172271728516
2016-07-26,98.96,99.70724487304688
2016-07-27,97.33,98.8572998046875
2016-07-28,99.1,97.15347290039062
2016-07-29,100.26,99.00761413574219
2016-08-01,100.15,100.6103286743164
2016-08-02,99.97,100.45171356201172
2016-08-03,99.03,100.07231903076172
2016-08-04,99.0,99.0931167602539
2016-08-05,98.93,99.0561294555664
2016-08-08,98.55,99.08854675292969
2016-08-09,98.4,98.67216491699219
2016-08-10,99.17,98.42420959472656
2016-08-11,98.86,99.1900405883789
2016-08-12,99.0,98.92403411865234
2016-08-15,98.61,98.9336166381836
2016-08-16,99.47,98.54168701171875
2016-08-17,100.29,99.39701080322266
2016-08-18,100.34,100.36795043945312
2016-08-19,99.93,100.40635681152344
2016-08-22,100.12,99.86946105957031
2016-08-23,100.39,100.02986145019531
2016-08-24,100.13,100.39659118652344
2016-08-25,99.84,100.13959503173828
2016-08-26,99.1,99.76797485351562
2016-08-29,100.26,98.98271179199219
2016-08-30,99.97,100.17243194580078
2016-08-31,99.93,100.03846740722656
2016-09-01,100.62,99.85484313964844
2016-09-02,101.77,100.5732192993164
2016-09-06,102.36,101.86573791503906
2016-09-07,102.09,102.51526641845703
2016-09-08,101.32,102.14289855957031
2016-09-09,97.54,101.26083374023438
2016-09-12,100.64,97.27893829345703
2016-09-13,98.93,100.42198181152344
2016-09-14,98.62,99.26519012451172
2016-09-15,99.75,98.50032043457031
2016-09-16,98.84,99.67768096923828
2016-09-19,98.82,98.89574432373047
2016-09-20,99.21,98.7075424194336
2016-09-21,100.65,99.20066833496094
2016-09-22,101.72,100.79106140136719
2016-09-23,101.53,102.00337219238281
2016-09-26,99.14,101.72328186035156
2016-09-27,99.33,99.06529998779297
2016-09-28,99.41,99.15900421142578
2016-09-29,97.78,99.54463195800781
2016-09-30,97.22,97.84938049316406
2016-10-03,97.42,97.04151916503906
2016-10-04,96.1,97.30438995361328
2016-10-05,95.68,96.04243469238281
2016-10-06,95.64,95.44737243652344
2016-10-07,96.02,95.47435760498047
2016-10-10,96.25,95.94331359863281
2016-10-11,95.52,96.24606323242188
2016-10-12,96.09,95.50970458984375
2016-10-13,96.2,95.96432495117188
2016-10-14,95.83,96.2392578125
2016-10-17,95.51,95.86964416503906
2016-10-18,96.56,95.46559143066406
2016-10-19,95.98,96.48902130126953
2016-10-20,95.57,96.08314514160156
2016-10-21,96.31,95.47583770751953
2016-10-24,96.91,96.14840698242188
2016-10-25,96.58,96.89496612548828
2016-10-26,96.05,96.56818389892578
2016-10-27,95.78,95.88333129882812
2016-10-28,96.31,95.54972076416016
2016-10-31,96.44,96.11869812011719
2016-11-01,96.08,96.36813354492188
2016-11-02,96.05,95.96636199951172
2016-11-03,96.23,95.84442138671875
2016-11-04,95.49,96.05725860595703
2016-11-07,97.33,95.37216186523438
2016-11-08,97.86,97.10729217529297
2016-11-09,94.35,97.96461486816406
2016-11-10,90.5,94.32888793945312
2016-11-11,88.95,89.98265838623047
2016-11-14,87.33,88.2928466796875
2016-11-15,87.5,87.0140380859375
2016-11-16,87.92,87.13890838623047
2016-11-17,89.27,87.69767761230469
2016-11-18,89.09,89.01387786865234
2016-11-21,89.62,89.094482421875
2016-11-22,90.0,89.40869903564453
2016-11-23,88.89,89.83868408203125
2016-11-25,89.29,88.9336929321289
2016-11-28,90.24,89.02482604980469
2016-11-29,90.6,90.03568267822266
2016-11-30,88.28,90.60577392578125
2016-12-01,87.77,88.46187591552734
2016-12-02,88.08,87.33582305908203
2016-12-05,87.77,87.56233978271484
2016-12-06,88.18,87.49332427978516
2016-12-07,89.87,87.78781127929688
2016-12-08,89.39,89.3517074584961
2016-12-09,90.24,89.29594421386719
2016-12-12,90.82,89.80274200439453
2016-12-13,92.03,90.46746063232422
2016-12-14,90.72,91.68888092041016
2016-12-15,89.9,90.7154541015625
2016-12-16,91.31,89.5736312866211
2016-12-19,91.46,90.73213195800781
2016-12-20,90.7,91.33189392089844
2016-12-21,91.31,90.61961364746094
2016-12-22,91.61,90.92276763916016
2016-12-23,91.58,91.35700988769531
2016-12-27,91.33,91.39611053466797
2016-12-28,90.94,91.12149047851562
2016-12-29,91.73,90.70024871826172
2016-12-30,91.49,91.3930892944336
2017-01-03,91.23,91.40111541748047
2017-01-04,90.42,91.08199310302734
2017-01-05,91.13,90.26045227050781
2017-01-06,91.84,90.78654479980469
2017-01-09,91.31,91.6910171508789
2017-01-10,90.52,91.34180450439453
2017-01-11,90.44,90.4037857055664
2017-01-12,90.51,90.16200256347656
2017-01-13,90.4,90.30462646484375
2017-01-17,92.36,90.28244018554688
2017-01-18,93.49,92.07140350341797
2017-01-19,93.85,93.54180908203125
2017-01-20,94.57,93.94786834716797
2017-01-23,94.76,94.50253295898438
2017-01-24,95.78,94.73627471923828
2017-01-25,96.39,95.70816802978516
2017-01-26,96.36,96.45560455322266
2017-01-27,96.32,96.42086029052734
2017-01-30,95.96,96.26229095458984
2017-01-31,96.13,95.86266326904297
2017-02-01,95.95,95.97867584228516
2017-02-02,98.84,95.84825897216797
2017-02-03,101.11,98.69207763671875
2017-02-06,100.0,101.37876892089844
2017-02-07,101.63,100.19707489013672
2017-02-08,102.63,101.46791076660156
2017-02-09,102.77,102.79827117919922
2017-02-10,102.63,102.9744644165039
2017-02-13,102.73,102.72013092041016
2017-02-14,102.58,102.7995376586914
2017-02-15,102.93,102.66572570800781
2017-02-16,102.99,103.00737762451172
2017-02-17,103.66,103.06600952148438
2017-02-21,104.56,103.72523498535156
2017-02-22,104.53,104.69259643554688
2017-02-23,106.52,104.621337890625
2017-02-24,107.72,106.69932556152344
2017-02-27,108.7,108.07201385498047
2017-02-28,109.35,108.97885131835938
2017-03-01,110.22,109.58744812011719
2017-03-02,109.8,110.49990844726562
2017-03-03,110.21,109.97895050048828
2017-03-06,109.73,110.38693237304688
2017-03-07,110.55,109.85186004638672
2017-03-08,109.72,110.72195434570312
2017-03-09,110.28,109.71910858154297
2017-03-10,110.54,110.28668975830078
2017-03-13,111.02,110.60275268554688
2017-03-14,110.77,111.06659698486328
2017-03-15,112.42,110.72974395751953
2017-03-16,112.7,112.60966491699219
2017-03-17,113.0,112.86455535888672
2017-03-20,114.01,113.06219482421875
2017-03-21,113.49,114.2208023071289
2017-03-22,113.0,113.5615463256836
2017-03-23,112.95,112.9974594116211
2017-03-24,111.79,113.06706237792969
2017-03-27,112.38,111.76728820800781
2017-03-28,112.8,112.52013397216797
2017-03-29,113.4,112.98821258544922
2017-03-30,113.52,113.51837921142578
2017-03-31,112.9,113.54693603515625
2017-04-03,112.91,112.82487487792969
2017-04-04,113.45,112.9704360961914
2017-04-05,113.19,113.68514251708984
2017-04-06,112.59,113.31635284423828
2017-04-07,113.6,112.59765625
2017-04-10,113.05,113.86003112792969
2017-04-11,113.42,113.17139434814453
2017-04-12,113.78,113.54415893554688
2017-04-13,113.06,113.97319793701172
2017-04-17,114.74,113.07891082763672
2017-04-18,115.21,115.05399322509766
2017-04-19,113.91,115.46727752685547
2017-04-20,109.98,113.74993133544922
2017-04-21,109.62,109.38520812988281
2017-04-24,112.39,109.6438980102539
2017-04-25,113.09,113.10902404785156
2017-04-26,111.15,113.470458984375
2017-04-27,110.19,110.78324890136719
2017-04-28,110.84,109.95384216308594
2017-05-01,110.55,111.12752532958984
2017-05-02,110.47,110.84876251220703
2017-05-03,110.61,110.65858459472656
2017-05-04,111.2,110.8389663696289
2017-05-05,112.25,111.51851654052734
2017-05-08,112.63,112.64325714111328
2017-05-09,111.93,112.92599487304688
2017-05-10,110.83,112.01530456542969
2017-05-11,111.19,110.84053802490234
2017-05-12,111.71,111.44194793701172
2017-05-15,112.36,112.04994201660156
2017-05-16,113.52,112.60027313232422
2017-05-17,113.75,113.73674774169922
2017-05-18,113.58,113.82208251953125
2017-05-19,114.74,113.53673553466797
2017-05-22,116.22,114.91777038574219
2017-05-23,116.46,116.51666259765625
2017-05-24,117.43,116.49365234375
2017-05-25,119.48,117.4665298461914
2017-05-26,119.83,119.71903228759766
2017-05-30,119.95,119.7682876586914
2017-05-31,119.8,119.72132110595703
2017-06-01,120.9,119.58556365966797
2017-06-02,121.79,120.89872741699219
2017-06-05,121.97,121.69222259521484
2017-06-06,122.0,121.60433197021484
2017-06-07,122.3,121.57843017578125
2017-06-08,121.11,121.9762191772461
2017-06-09,120.12,120.54619598388672
2017-06-12,119.17,119.63146209716797
2017-06-13,118.69,118.8082504272461
2017-06-14,119.75,118.44741821289062
2017-06-15,120.51,119.77610778808594
2017-06-16,121.84,120.45367431640625
2017-06-19,122.9,121.81665802001953
2017-06-20,122.11,122.88420104980469
2017-06-21,120.19,121.84317016601562
2017-06-22,119.71,119.8759994506836
2017-06-23,119.56,119.884033203125
2017-06-26,119.51,119.86071014404297
2017-06-27,118.14,119.6775131225586
2017-06-28,118.93,117.97500610351562
2017-06-29,117.08,119.14341735839844
2017-06-30,117.45,116.91458129882812
2017-07-03,116.9,117.6037368774414
2017-07-05,118.54,117.04923248291016
2017-07-06,118.35,118.9762191772461
2017-07-07,117.9,118.51811981201172
2017-07-10,118.16,117.93582153320312
2017-07-11,117.21,118.43394470214844
2017-07-12,118.23,117.3602294921875
2017-07-13,117.51,118.65278625488281
2017-07-14,119.13,117.67471313476562
2017-07-17,119.0,119.52645111083984
2017-07-18,119.64,119.14128112792969
2017-07-19,121.62,119.76075744628906
2017-07-20,119.86,121.97796630859375
2017-07-21,119.58,119.53970336914062
2017-07-24,118.89,119.4513168334961
2017-07-25,117.82,118.88365173339844
2017-07-26,117.65,117.68527221679688
2017-07-27,118.19,117.61924743652344
2017-07-28,118.51,118.25888061523438
2017-07-31,116.71,118.46337890625
2017-08-01,115.88,116.255859375
2017-08-02,114.46,115.6746826171875
2017-08-03,114.49,114.37145233154297
2017-08-04,114.76,114.66770935058594
2017-08-07,115.86,115.02890014648438
2017-08-08,114.67,116.20206451416016
2017-08-09,115.41,114.66313934326172
2017-08-10,114.22,115.68177795410156
2017-08-11,114.88,114.40650177001953
2017-08-14,114.76,115.28704071044922
2017-08-15,116.82,115.1534194946289
2017-08-16,117.73,117.41920471191406
2017-08-17,115.93,118.15901184082031
2017-08-18,115.33,115.76724243164062
2017-08-21,116.25,115.35865783691406
2017-08-22,116.23,116.69471740722656
2017-08-23,115.46,116.46778869628906
2017-08-24,114.52,115.36495208740234
2017-08-25,114.8,114.3678970336914
