Date,Original,Predicted
2016-01-04,223.41,
2016-01-05,223.43,
2016-01-06,219.04,
2016-01-07,215.65,
2016-01-08,211.0,
2016-01-11,207.85,
2016-01-12,209.97,
2016-01-13,200.31,
2016-01-14,206.18,
2016-01-15,204.99,
2016-01-19,204.72,
2016-01-20,198.7,
2016-01-21,199.97,
2016-01-22,202.55,
2016-01-25,196.38,
2016-01-26,193.56,
2016-01-27,188.07,
2016-01-28,189.7,
2016-01-29,191.2,
2016-02-01,196.94,
2016-02-02,182.78,
2016-02-03,173.48,
2016-02-04,175.33,
2016-02-05,162.60000000000002,
2016-02-08,147.99,
2016-02-09,148.25,
2016-02-10,143.67,
2016-02-11,150.47,
2016-02-12,151.04,
2016-02-16,155.17,
2016-02-17,168.67999999999998,
2016-02-18,166.77,
2016-02-19,166.58,
2016-02-22,177.74,
2016-02-23,177.21,
2016-02-24,179.0,
2016-02-25,187.43,
2016-02-26,190.34,
2016-02-29,191.93,
2016-03-01,186.35,
2016-03-02,188.34,
2016-03-03,195.74,
2016-03-04,201.04,
2016-03-07,205.29,
2016-03-08,202.6,
2016-03-09,208.72,
2016-03-10,205.18,
2016-03-11,207.5,
2016-03-14,215.15,
2016-03-15,218.34,
2016-03-16,221.93,
2016-03-17,226.38,
2016-03-18,232.74,
2016-03-21,238.32,
2016-03-22,234.24,
2016-03-23,222.58,
2016-03-24,227.75,
2016-03-28,230.26,
2016-03-29,230.13,
2016-03-30,226.89,
2016-03-31,229.77,
2016-04-01,237.59,
2016-04-04,246.99,
2016-04-05,255.47000000000003,
2016-04-06,265.42,
2016-04-07,257.2,
2016-04-08,250.07,
2016-04-11,249.92,
2016-04-12,247.81999999999996,
2016-04-13,254.53,
2016-04-14,251.86,
2016-04-15,254.51,
2016-04-18,253.88,
2016-04-19,247.37,
2016-04-20,249.97,
2016-04-21,248.29,
2016-04-22,253.75,
2016-04-25,251.82,
2016-04-26,253.74,
2016-04-27,251.47,
2016-04-28,247.71,
2016-04-29,240.76,
2016-05-02,241.8,
2016-05-03,232.32,
2016-05-04,222.56,
2016-05-05,211.53,
2016-05-06,214.93,
2016-05-09,208.92,
2016-05-10,208.69,
2016-05-11,208.96,
2016-05-12,207.28,
2016-05-13,207.61,
2016-05-16,208.29,
2016-05-17,204.66,
2016-05-18,211.17,
2016-05-19,215.21,
2016-05-20,220.28,
2016-05-23,216.22,
2016-05-24,217.91,
2016-05-25,219.58,
2016-05-26,225.12,221.52305603027344
2016-05-27,223.04,223.3777618408203
2016-05-31,223.23,225.1061553955078
2016-06-01,219.56,226.5105438232422
2016-06-02,218.96,227.14341735839844
2016-06-03,218.99,227.10012817382812
2016-06-06,220.68,226.69122314453125
2016-06-07,232.34,226.36444091796875
2016-06-08,235.52,227.4715576171875
2016-06-09,229.36,229.940673828125
2016-06-10,218.79,232.2796630859375
2016-06-13,217.87,232.83580017089844
2016-06-14,214.96,231.82652282714844
2016-06-15,217.7,229.72164916992188
2016-06-16,217.93,227.58522033691406
2016-06-17,215.47,225.90740966796875
2016-06-20,219.7,224.52947998046875
2016-06-21,219.61,223.90243530273438
2016-06-22,196.66,223.87261962890625
2016-06-23,196.4,221.73388671875
2016-06-24,193.15,218.0013427734375
2016-06-27,198.55,213.49041748046875
2016-06-28,201.79,209.73805236816406
2016-06-29,210.19,207.49815368652344
2016-06-30,212.28,207.43527221679688
2016-07-01,216.5,209.04249572753906
2016-07-05,213.98,211.81459045410156
2016-07-06,214.44,214.61367797851562
2016-07-07,215.94,216.92794799804688
2016-07-08,216.78,218.7416229248047
2016-07-11,224.78,220.1360626220703
2016-07-12,224.65,221.98992919921875
2016-07-13,222.53,224.08871459960938
2016-07-14,221.53,225.8403778076172
2016-07-15,220.4,226.9693603515625
2016-07-18,226.25,227.4304962158203
2016-07-19,225.26,228.06605529785156
2016-07-20,228.36,228.8091278076172
2016-07-21,220.5,229.86178588867188
2016-07-22,222.27000000000004,230.18429565429688
2016-07-25,230.01,230.01795959472656
2016-07-26,229.51,230.45753479003906
2016-07-27,228.49,231.37742614746094
2016-07-28,230.61,232.34628295898438
2016-07-29,234.79,233.37362670898438
2016-08-01,230.01,234.76812744140625
2016-08-02,227.2,235.76461791992188
2016-08-03,225.79,235.94735717773438
2016-08-04,230.61,235.38088989257812
2016-08-05,230.03,234.95956420898438
2016-08-08,226.16,234.78594970703125
2016-08-09,229.08,234.38304138183594
2016-08-10,225.65,234.10797119140625
2016-08-11,224.91,233.63975524902344
2016-08-12,225.61,232.9644012451172
2016-08-15,225.59,232.31167602539062
2016-08-16,223.61,231.78775024414062
2016-08-17,223.24,231.20672607421875
2016-08-18,223.51,230.57833862304688
2016-08-19,225.0,230.02085876464844
2016-08-22,222.93,229.7498321533203
2016-08-23,224.84,229.5006103515625
2016-08-24,222.62,229.44261169433594
2016-08-25,220.96,229.30030822753906
2016-08-26,219.99,228.8896942138672
2016-08-29,215.2,228.22308349609375
2016-08-30,211.34,226.96932983398438
2016-08-31,212.01,225.0294647216797
2016-09-01,200.77,222.95045471191406
2016-09-02,197.78,219.94570922851562
2016-09-06,202.83,216.25772094726562
2016-09-07,201.71,213.15255737304688
2016-09-08,197.36,210.88134765625
2016-09-09,194.47,208.9611053466797
2016-09-12,198.3,207.0643768310547
2016-09-13,196.05,205.71630859375
2016-09-14,196.41,204.71694946289062
2016-09-15,200.42,204.02828979492188
2016-09-16,205.4,204.00425720214844
2016-09-19,206.34,204.9694061279297
2016-09-20,204.64,206.59132385253906
2016-09-21,205.22,208.18756103515625
2016-09-22,206.43,209.5131378173828
2016-09-23,207.45,210.6077880859375
2016-09-26,208.99,211.56173706054688
2016-09-27,205.81,212.51173400878906
2016-09-28,206.27,213.0572967529297
2016-09-29,200.7,213.27272033691406
2016-09-30,204.03,212.7059783935547
2016-10-03,213.7,211.99533081054688
2016-10-04,211.40999999999997,212.42701721191406
2016-10-05,208.46,213.53033447265625
2016-10-06,201.0,214.513671875
2016-10-07,196.61,214.371337890625
2016-10-10,200.95,212.90211486816406
2016-10-11,200.1,211.20997619628906
2016-10-12,201.51,209.7064666748047
2016-10-13,200.23999999999998,208.7122344970703
2016-10-14,196.51,208.06614685058594
2016-10-17,193.96,207.2777557373047
2016-10-18,199.1,206.12185668945312
2016-10-19,203.56,205.35296630859375
2016-10-20,199.1,205.5139923095703
2016-10-21,200.09,205.864013671875
2016-10-24,202.76,206.23463439941406
2016-10-25,202.34,206.81585693359375
2016-10-26,202.24,207.4534454345703
2016-10-27,204.01,208.0109405517578
2016-10-28,199.97,208.61439514160156
2016-10-31,197.73,208.78587341308594
2016-11-01,190.79,208.34825134277344
2016-11-02,188.02,206.8386688232422
2016-11-03,187.42,204.4740753173828
2016-11-04,190.56,201.84445190429688
2016-11-07,193.21,199.79318237304688
2016-11-08,194.94,198.76425170898438
2016-11-09,190.06,198.73541259765625
2016-11-10,185.35,198.80813598632812
2016-11-11,188.56,198.2620086669922
2016-11-14,181.45,197.5770721435547
2016-11-15,183.77,196.25270080566406
2016-11-16,183.93,194.81497192382812
2016-11-17,188.66,193.58938598632812
2016-11-18,185.02,193.17239379882812
2016-11-21,184.52,193.0442657470703
2016-11-22,191.17,192.94435119628906
2016-11-23,193.14,193.49513244628906
2016-11-25,196.65,194.71383666992188
2016-11-28,196.12,196.56858825683594
2016-11-29,189.57,198.5489959716797
2016-11-30,189.4,199.611328125
2016-12-01,181.88,199.7677459716797
2016-12-02,181.47,198.59461975097656
2016-12-05,186.8,196.622314453125
2016-12-06,185.85,195.0443572998047
2016-12-07,193.15,194.0341339111328
2016-12-08,192.29,194.26162719726562
2016-12-09,192.18,195.27015686035156
2016-12-12,192.43,196.5353240966797
2016-12-13,198.15,197.733154296875
2016-12-14,198.69,199.276611328125
2016-12-15,197.58,201.00123596191406
2016-12-16,202.49,202.4951934814453
2016-12-19,202.73,204.10589599609375
2016-12-20,208.79,205.7085418701172
2016-12-21,207.7,207.7350311279297
2016-12-22,208.45,209.7742919921875
2016-12-23,213.34,211.5916748046875
2016-12-27,219.53,213.54144287109375
2016-12-28,219.74,216.0842742919922
2016-12-29,214.68,218.82501220703125
2016-12-30,213.69,220.76513671875
2017-01-03,216.99,221.6978759765625
2017-01-04,226.99,222.2296142578125
2017-01-05,226.75,223.65020751953125
2017-01-06,229.01,225.68748474121094
2017-01-09,231.28,228.0570526123047
2017-01-10,229.87,230.54705810546875
2017-01-11,229.73,232.63238525390625
2017-01-12,229.59,234.11460876464844
2017-01-13,237.75,235.00794982910156
2017-01-17,235.58,236.3302001953125
2017-01-18,238.36,237.7263946533203
2017-01-19,243.76,239.2395782470703
2017-01-20,244.73,241.246337890625
2017-01-23,248.92,243.50025939941406
2017-01-24,254.61,246.05445861816406
2017-01-25,254.47,249.1316680908203
2017-01-26,252.51,252.19593811035156
2017-01-27,252.95,254.5729522705078
2017-01-30,250.63,256.1758117675781
2017-01-31,251.93,256.850830078125
2017-02-01,249.24,257.0083923339844
2017-02-02,251.55,256.6202697753906
2017-02-03,251.33,256.2083435058594
2017-02-06,257.77,255.90960693359375
2017-02-07,257.48,256.4602355957031
2017-02-08,262.08,257.5642395019531
2017-02-09,269.2,259.3268737792969
2017-02-10,269.23,262.0922546386719
2017-02-13,280.6,265.2004699707031
2017-02-14,280.98,269.3052978515625
2017-02-15,279.76,273.68927001953125
2017-02-16,268.95,277.4423828125
2017-02-17,272.23,278.9498596191406
2017-02-21,277.39,279.0057678222656
2017-02-22,273.51,278.931640625
2017-02-23,255.99,278.60162353515625
2017-02-24,257.0,276.1426696777344
2017-02-27,246.23,272.4991149902344
2017-02-28,249.99,267.5542907714844
2017-03-01,250.02,262.8472900390625
2017-03-02,250.48,259.13299560546875
2017-03-03,251.57,256.64056396484375
2017-03-06,251.21,255.32418823242188
2017-03-07,248.59,254.79991149902344
2017-03-08,246.87,254.42828369140625
2017-03-09,244.9,253.85870361328125
2017-03-10,243.69,252.93307495117188
2017-03-13,246.17,251.72288513183594
2017-03-14,258.0,250.7589874267578
2017-03-15,255.73,251.45462036132812
2017-03-16,262.05,253.0885467529297
2017-03-17,261.5,255.6619110107422
2017-03-20,261.92,258.4424133300781
2017-03-21,250.68,260.9330749511719
2017-03-22,255.01,261.607177734375
2017-03-23,254.78,261.3132019042969
2017-03-24,263.16,260.6200866699219
2017-03-27,270.22,260.8329162597656
2017-03-28,277.45000000000005,262.6218566894531
2017-03-29,277.38,266.10723876953125
2017-03-30,277.92,270.22918701171875
2017-03-31,278.3,274.11138916015625
2017-04-03,298.52,277.2657470703125
2017-04-04,303.7,281.8453369140625
2017-04-05,295.0,287.7519226074219
2017-04-06,298.7,292.7199401855469
2017-04-07,302.54,296.5350646972656
2017-04-10,312.39,299.60662841796875
2017-04-11,308.71,303.1108093261719
2017-04-12,296.84,306.2308349609375
2017-04-13,304.0,307.1807861328125
2017-04-17,301.44,307.2646789550781
2017-04-18,300.25,306.7569274902344
2017-04-19,305.52,305.88592529296875
2017-04-20,302.51,305.58636474609375
2017-04-21,305.6,305.4742431640625
2017-04-24,308.03,305.78948974609375
2017-04-25,313.7900000000001,306.6429138183594
2017-04-26,310.1700000000001,308.4085693359375
2017-04-27,308.63,310.1180725097656
2017-04-28,314.07,311.2116394042969
2017-05-01,322.83,312.3381042480469
2017-05-02,318.89,314.499267578125
2017-05-03,311.02,316.7034606933594
2017-05-04,295.46,317.5268249511719
2017-05-05,308.35,315.29241943359375
2017-05-08,307.19,312.78472900390625
2017-05-09,321.26,310.77667236328125
2017-05-10,325.22,311.1579895019531
2017-05-11,323.1,313.7283630371094
2017-05-12,324.81,316.9991149902344
2017-05-15,315.88,320.21759033203125
2017-05-16,317.01,321.77203369140625
2017-05-17,306.11,321.9913024902344
2017-05-18,313.06,320.12060546875
2017-05-19,310.83,317.96826171875
2017-05-22,310.35,315.9703674316406
2017-05-23,303.86,314.3504638671875
2017-05-24,310.22,312.4249267578125
2017-05-25,316.83,311.20831298828125
2017-05-26,325.14,311.53021240234375
2017-05-30,335.1,313.872314453125
2017-05-31,341.01,318.4136047363281
2017-06-01,340.37,324.45074462890625
2017-06-02,339.85,330.41693115234375
2017-06-05,347.32,335.2361755371094
2017-06-06,352.85,339.487548828125
2017-06-07,359.65,343.64862060546875
2017-06-08,370.0,348.17291259765625
2017-06-09,357.32,353.73760986328125
2017-06-12,359.01,357.7137145996094
2017-06-13,375.95,360.0171813964844
2017-06-14,380.66,363.1988830566406
2017-06-15,375.34,367.5445251464844
2017-06-16,371.4,371.3963623046875
2017-06-19,369.8,373.6726379394531
2017-06-20,372.24,374.33563232421875
2017-06-21,376.4,374.2845764160156
2017-06-22,382.61,374.525146484375
2017-06-23,383.45,375.8955383300781
2017-06-26,377.49,378.0019226074219
2017-06-27,362.37,379.4148254394531
2017-06-28,371.24,378.0108642578125
2017-06-29,360.75,375.95709228515625
2017-06-30,361.61000000000007,372.7602233886719
2017-07-03,352.62,369.3722839355469
2017-07-05,327.09,365.30999755859375
2017-07-06,308.83,358.0649108886719
2017-07-07,313.22,347.25299072265625
2017-07-10,316.05,336.2864685058594
2017-07-11,327.22,327.5455627441406
2017-07-12,329.52,322.96966552734375
2017-07-13,323.41,321.9992370605469
2017-07-14,327.78,322.4147644042969
2017-07-17,319.57,323.7036437988281
2017-07-18,328.24,324.2148742675781
2017-07-19,325.26,324.93377685546875
2017-07-20,329.92,325.464111328125
2017-07-21,328.4,326.30706787109375
2017-07-24,342.52,327.1267395019531
2017-07-25,339.6,329.50811767578125
2017-07-26,343.85,332.4503479003906
2017-07-27,334.46,335.7310791015625
2017-07-28,335.07,337.6075439453125
2017-07-31,323.47,338.20831298828125
2017-08-01,319.57,336.57904052734375
2017-08-02,325.89,333.23419189453125
2017-08-03,347.09,330.20458984375
2017-08-04,356.91,330.73541259765625
2017-08-07,355.17,335.1144104003906
2017-08-08,365.22,341.086181640625
2017-08-09,363.53,348.11895751953125
2017-08-10,355.4,354.5592956542969
2017-08-11,357.715,358.4830017089844
2017-08-14,363.8,360.356689453125
2017-08-15,362.33,361.61920166015625
2017-08-16,362.91,362.4153747558594
2017-08-17,351.92,362.94854736328125
2017-08-18,347.46,361.890625
2017-08-21,337.86,359.26861572265625
2017-08-22,341.35,354.8722229003906
2017-08-23,352.77,350.4493103027344
2017-08-24,352.93,348.3262939453125
2017-08-25,348.05,348.2430114746094
2017-08-28,345.66,348.7159118652344
2017-08-29,347.36,348.8870849609375
2017-08-30,353.18,348.8986511230469
2017-08-31,355.9,349.5427551269531
2017-09-01,355.4,350.93115234375
2017-09-05,349.5899999999999,352.5196533203125
2017-09-06,344.53,353.1774597167969
2017-09-07,350.61,352.3575134277344
2017-09-08,343.4,351.439453125
2017-09-11,363.69,349.9020080566406
2017-09-12,362.75,350.6866149902344
2017-09-13,366.23,353.11785888671875
2017-09-14,377.64,356.56048583984375
2017-09-15,379.81,361.50701904296875
2017-09-18,385.0,367.0643005371094
2017-09-19,375.1,372.786865234375
2017-09-20,373.91,376.48236083984375
2017-09-21,366.48,377.9737243652344
2017-09-22,351.09,376.9655456542969
2017-09-25,344.99,372.5980529785156
2017-09-26,345.25,365.9696960449219
2017-09-27,340.97,359.1607666015625
2017-09-28,339.6,352.9862976074219
2017-09-29,341.1,347.9933776855469
2017-10-02,341.53,344.6324768066406
2017-10-03,348.14,342.7840881347656
2017-10-04,355.01,342.84674072265625
2017-10-05,355.33,344.91912841796875
2017-10-06,356.88,347.9377746582031
2017-10-09,342.94,351.1097106933594
2017-10-10,355.59,352.0328063964844
2017-10-11,354.6,352.6703186035156
2017-10-12,355.68,353.2313537597656
2017-10-13,355.57,353.85333251953125
2017-10-16,350.6,354.44219970703125
2017-10-17,355.75,354.29766845703125
2017-10-18,359.65,354.2897644042969
2017-10-19,351.81,355.0169372558594
2017-10-20,345.1,355.2087097167969
2017-10-23,337.0199999999999,354.0177001953125
2017-10-24,337.34,351.0184631347656
2017-10-25,325.84,347.3366394042969
2017-10-26,326.17,342.4981994628906
2017-10-27,320.87,337.5988464355469
2017-10-30,320.08,332.8304443359375
2017-10-31,331.53,328.6954650878906
2017-11-01,321.08,326.93646240234375
2017-11-02,299.26,325.806884765625
2017-11-03,306.09,322.2353210449219
2017-11-06,302.78,317.95458984375
2017-11-07,306.05,313.65997314453125
2017-11-08,304.39,310.39849853515625
2017-11-09,302.99,308.1246643066406
2017-11-10,302.99,306.5332336425781
2017-11-13,315.4,305.475830078125
2017-11-14,308.7,306.29962158203125
2017-11-15,311.3,307.57659912109375
2017-11-16,312.5,309.0213317871094
2017-11-17,315.05,310.47100830078125
2017-11-20,308.74,312.0213928222656
2017-11-21,317.81,312.7049255371094
2017-11-22,312.6,313.7143249511719
2017-11-24,315.55,314.3861389160156
2017-11-27,316.81,315.03131103515625
2017-11-28,317.54999999999995,315.7998962402344
2017-11-29,307.54,316.6790466308594
2017-11-30,308.85,316.3174743652344
2017-12-01,306.53,315.20068359375
2017-12-04,305.2,313.59002685546875
2017-12-05,303.7,311.78924560546875
2017-12-06,313.26,309.9844970703125
