Date,Original,Predicted
2016-01-04,34.35,
2016-01-05,34.59,
2016-01-06,34.06,
2016-01-07,33.51,
2016-01-08,33.54,
2016-01-11,33.95,
2016-01-12,33.9,
2016-01-13,33.74,
2016-01-14,34.3,
2016-01-15,33.99,
2016-01-19,34.51,
2016-01-20,33.9,
2016-01-21,34.54,
2016-01-22,35.14,
2016-01-25,35.0,
2016-01-26,35.4,
2016-01-27,35.48,
2016-01-28,35.53,
2016-01-29,36.06,
2016-02-01,36.18,
2016-02-02,36.06,
2016-02-03,36.72,
2016-02-04,36.53,
2016-02-05,36.88,
2016-02-08,37.11,
2016-02-09,36.65,
2016-02-10,36.43,
2016-02-11,36.21,
2016-02-12,36.47,
2016-02-16,36.65,
2016-02-17,36.64,
2016-02-18,36.99,
2016-02-19,36.57,
2016-02-22,36.86,
2016-02-23,36.74,
2016-02-24,37.1,
2016-02-25,37.37,
2016-02-26,37.13,
2016-02-29,36.95,
2016-03-01,37.39,
2016-03-02,37.69,
2016-03-03,37.99,
2016-03-04,37.93,
2016-03-07,38.13,
2016-03-08,38.09,
2016-03-09,37.98,
2016-03-10,38.31,
2016-03-11,38.36,
2016-03-14,38.32,
2016-03-15,38.52,
2016-03-16,38.77,
2016-03-17,39.12,
2016-03-18,38.56,
2016-03-21,38.92,
2016-03-22,38.63,
2016-03-23,38.54,
2016-03-24,38.88,
2016-03-28,39.07,
2016-03-29,39.45,
2016-03-30,39.37,
2016-03-31,39.17,
2016-04-01,39.05,
2016-04-04,39.36,
2016-04-05,39.19,
2016-04-06,38.64,
2016-04-07,38.59,
2016-04-08,38.5,
2016-04-11,38.39,
2016-04-12,38.67,
2016-04-13,38.25,
2016-04-14,38.42,
2016-04-15,38.48,
2016-04-18,38.65,
2016-04-19,38.92,
2016-04-20,38.72,
2016-04-21,37.86,
2016-04-22,38.07,
2016-04-25,38.21,
2016-04-26,38.09,
2016-04-27,38.72,
2016-04-28,38.64,
2016-04-29,38.82,
2016-05-02,39.1,
2016-05-03,38.91,
2016-05-04,38.88,
2016-05-05,38.74,
2016-05-06,38.99,
2016-05-09,38.86,
2016-05-10,39.31,
