Date,Original,Predicted
2016-01-04,116.46,
2016-01-05,116.67999999999999,
2016-01-06,115.48999999999998,
2016-01-07,112.09,
2016-01-08,110.16,
2016-01-11,109.58,
2016-01-12,112.26000000000002,
2016-01-13,109.23,
2016-01-14,110.76,
2016-01-15,109.27,
2016-01-19,112.58,
2016-01-20,114.79,
2016-01-21,113.49999999999999,
2016-01-22,114.33,
2016-01-25,113.38,
2016-01-26,113.96,
2016-01-27,112.33,
2016-01-28,111.38,
2016-01-29,115.16,
2016-02-01,115.89,
2016-02-02,113.87999999999998,
2016-02-03,112.74999999999999,
2016-02-04,114.2,
2016-02-05,111.72,
2016-02-08,110.02,
2016-02-09,111.16,
2016-02-10,112.74,
2016-02-11,110.62,
2016-02-12,111.82000000000001,
2016-02-16,115.15,
2016-02-17,118.3,
2016-02-18,117.45000000000002,
2016-02-19,117.68000000000002,
2016-02-22,121.27,
2016-02-23,121.15000000000002,
2016-02-24,120.2,
2016-02-25,121.2,
2016-02-26,121.33,
2016-02-29,119.10000000000001,
2016-03-01,121.67,
2016-03-02,121.27,
2016-03-03,121.82000000000001,
2016-03-04,121.80000000000001,
2016-03-07,121.76000000000002,
2016-03-08,121.65999999999998,
2016-03-09,121.1,
2016-03-10,122.09,
2016-03-11,125.1,
2016-03-14,125.21999999999998,
2016-03-15,124.85,
2016-03-16,124.9,
2016-03-17,124.53,
2016-03-18,126.72000000000001,
2016-03-21,126.74000000000001,
2016-03-22,128.02,
2016-03-23,129.79,
2016-03-24,128.59,
2016-03-28,128.92,
2016-03-29,129.83,
2016-03-30,129.68,
2016-03-31,128.9,
2016-04-01,129.92,
2016-04-04,129.49,
2016-04-05,127.03999999999999,
2016-04-06,128.03,
2016-04-07,126.87,
2016-04-08,125.67999999999999,
2016-04-11,126.32999999999998,
2016-04-12,126.8,
2016-04-13,127.76,
2016-04-14,127.98,
2016-04-15,127.32999999999998,
2016-04-18,127.81000000000002,
2016-04-19,130.5,
2016-04-20,133.93,
2016-04-21,132.96,
2016-04-22,134.13,
2016-04-25,133.78,
2016-04-26,134.24,
2016-04-27,132.8,
2016-04-28,132.07,
2016-04-29,131.68,
2016-05-02,132.1,
2016-05-03,132.46,
2016-05-04,132.03,
2016-05-05,132.31,
2016-05-06,132.04,
2016-05-09,132.67,
2016-05-10,133.57,
2016-05-11,130.69,
2016-05-12,129.74,
2016-05-13,129.0,
2016-05-16,130.64,
2016-05-17,129.56,
2016-05-18,130.51,
2016-05-19,130.0,
2016-05-20,130.94,
2016-05-23,130.42,
2016-05-24,132.59,
2016-05-25,133.42,
2016-05-26,132.98,132.3814239501953
2016-05-27,134.0,132.91043090820312
2016-05-31,133.67,133.40179443359375
2016-06-01,134.53,133.73646545410156
2016-06-02,136.04,134.0381317138672
2016-06-03,136.84,134.522705078125
2016-06-06,138.15,135.17880249023438
2016-06-07,136.94,136.010498046875
2016-06-08,140.4,136.59475708007812
2016-06-09,140.68,137.4273681640625
2016-06-10,139.24,138.3703155517578
2016-06-13,138.09,138.94244384765625
2016-06-14,137.87,138.9617919921875
2016-06-15,137.26,138.65269470214844
2016-06-16,138.66,138.20021057128906
2016-06-17,137.69,138.044921875
2016-06-20,138.52,138.00634765625
2016-06-21,138.19,138.15805053710938
2016-06-22,137.9,138.34820556640625
2016-06-23,139.19,138.45819091796875
2016-06-24,137.29,138.70223999023438
2016-06-27,137.11,138.6944580078125
2016-06-28,138.71,138.47250366210938
2016-06-29,140.52,138.45361328125
2016-06-30,141.2,138.9043731689453
2016-07-01,140.86,139.65966796875
2016-07-05,141.56,140.3343048095703
2016-07-06,142.38,140.88485717773438
2016-07-07,140.8,141.39198303222656
2016-07-08,141.27,141.52413940429688
2016-07-11,140.32,141.4747772216797
2016-07-12,139.86,141.22596740722656
2016-07-13,141.48,140.86314392089844
2016-07-14,140.84,140.81748962402344
2016-07-15,141.33,140.91436767578125
2016-07-18,140.75,141.130126953125
2016-07-19,142.59,141.2688446044922
2016-07-20,143.02,141.6266632080078
2016-07-21,142.87,142.144287109375
2016-07-22,143.69,142.60255432128906
2016-07-25,141.73,143.04298400878906
2016-07-26,141.7,143.05380249023438
2016-07-27,141.68,142.78433227539062
2016-07-28,142.76,142.4580841064453
2016-07-29,143.2,142.39907836914062
2016-08-01,143.51,142.6193084716797
2016-08-02,143.17,142.99562072753906
2016-08-03,142.88,143.298828125
2016-08-04,142.71,143.4207305908203
2016-08-05,142.99,143.3846893310547
2016-08-08,142.13,143.33389282226562
2016-08-09,141.82,143.16453552246094
2016-08-10,142.19,142.9083251953125
2016-08-11,142.63,142.73638916015625
2016-08-12,142.88,142.74847412109375
2016-08-15,141.62,142.91099548339844
2016-08-16,141.08,142.89419555664062
2016-08-17,141.71,142.64976501464844
2016-08-18,142.17,142.44410705566406
2016-08-19,142.04,142.41966247558594
2016-08-22,142.09,142.4894256591797
2016-08-23,142.01,142.58485412597656
2016-08-24,139.87,142.64637756347656
2016-08-25,137.3,142.3020782470703
2016-08-26,136.62,141.33901977539062
2016-08-29,137.27,140.129638671875
2016-08-30,136.87,139.2139892578125
2016-08-31,136.05,138.64938354492188
2016-09-01,135.74,138.24822998046875
2016-09-02,136.61,137.923583984375
2016-09-06,135.97,137.8168182373047
2016-09-07,134.99,137.74636840820312
2016-09-08,135.44,137.50559997558594
2016-09-09,133.62,137.24644470214844
2016-09-12,135.53,136.74887084960938
2016-09-13,133.95,136.476806640625
2016-09-14,133.69,136.18553161621094
2016-09-15,135.61,135.84779357910156
2016-09-16,138.47,135.83360290527344
2016-09-19,137.68,136.4853515625
2016-09-20,137.47,137.27548217773438
2016-09-21,139.91,137.84828186035156
2016-09-22,141.04,138.5187225341797
2016-09-23,140.51,139.3362579345703
2016-09-26,139.72,139.98455810546875
2016-09-27,140.79,140.23460388183594
2016-09-28,140.41,140.3770751953125
2016-09-29,138.32,140.43048095703125
2016-09-30,140.0,140.09974670410156
2016-10-03,138.49,139.89039611816406
2016-10-04,138.16,139.6324920654297
2016-10-05,137.6,139.33816528320312
2016-10-06,136.47,139.00897216796875
2016-10-07,136.66,138.55604553222656
2016-10-10,138.08,138.1560516357422
2016-10-11,134.75,138.12240600585938
2016-10-12,135.1,137.79345703125
2016-10-13,134.19,137.32821655273438
2016-10-14,133.92,136.7613525390625
2016-10-17,134.13,136.2108917236328
2016-10-18,143.39,135.81936645507812
2016-10-19,144.37,137.05731201171875
2016-10-20,145.07,139.30255126953125
2016-10-21,145.37,141.62545776367188
2016-10-24,144.69,143.3957061767578
2016-10-25,143.78,144.28524780273438
2016-10-26,142.23,144.33218383789062
2016-10-27,141.94,143.69790649414062
2016-10-28,140.35,142.85888671875
2016-10-31,141.33,141.9290771484375
2016-11-01,139.43,141.36953735351562
2016-11-02,138.98,140.89393615722656
2016-11-03,137.83,140.46975708007812
2016-11-04,137.71,139.98379516601562
2016-11-07,141.93,139.54331970214844
2016-11-08,142.9,139.93331909179688
2016-11-09,141.9,140.94630432128906
2016-11-10,146.13,141.85592651367188
2016-11-11,146.42,143.11497497558594
2016-11-14,152.28,144.39776611328125
2016-11-15,152.23,146.39419555664062
2016-11-16,151.5,148.42306518554688
2016-11-17,150.77,149.7809600830078
2016-11-18,149.45,150.26373291015625
2016-11-21,150.41,149.9487762451172
2016-11-22,152.26,149.5380859375
2016-11-23,153.54,149.66090393066406
2016-11-25,152.81,150.39361572265625
2016-11-28,152.11,151.1727294921875
2016-11-29,157.59,151.6186065673828
2016-11-30,158.32,152.84034729003906
2016-12-01,160.94,154.48997497558594
2016-12-02,160.73,156.463134765625
2016-12-05,157.63,158.08216857910156
2016-12-06,157.32,158.41659545898438
2016-12-07,159.4,157.88870239257812
2016-12-08,159.32,157.59628295898438
2016-12-09,160.12,157.6487274169922
2016-12-12,159.49,158.07015991210938
2016-12-13,160.54,158.4684295654297
2016-12-14,159.86,158.958984375
2016-12-15,160.62,159.26962280273438
2016-12-16,163.94,159.5675506591797
2016-12-19,161.54,160.53256225585938
2016-12-20,161.59,161.1561279296875
2016-12-21,161.33,161.3560028076172
2016-12-22,161.58,161.25125122070312
2016-12-23,163.03,161.1152801513672
2016-12-27,162.64,161.36341857910156
2016-12-28,161.44,161.71128845214844
2016-12-29,161.04,161.7364959716797
2016-12-30,160.04,161.48187255859375
2017-01-03,161.45,160.96847534179688
2017-01-04,161.91,160.79031372070312
2017-01-05,162.18,160.9996795654297
2017-01-06,162.41,161.41238403320312
2017-01-09,161.95,161.84738159179688
2017-01-10,161.58,162.0611114501953
2017-01-11,161.89,162.00753784179688
2017-01-12,162.36,161.9067840576172
2017-01-13,161.8,161.94187927246094
2017-01-17,160.66,161.9355926513672
2017-01-18,157.74,161.6476287841797
2017-01-19,158.7,160.6525421142578
2017-01-20,158.66,159.75254821777344
2017-01-23,159.07,159.22470092773438
2017-01-24,160.43,159.1334686279297
2017-01-25,161.24,159.56787109375
2017-01-26,162.75,160.31936645507812
2017-01-27,162.99,161.31777954101562
2017-01-30,162.09,162.2071533203125
2017-01-31,162.1,162.56109619140625
2017-02-01,162.71,162.50889587402344
2017-02-02,160.76,162.4222869873047
2017-02-03,161.87,161.9647674560547
2017-02-06,160.51,161.6608428955078
2017-02-07,160.53,161.2879180908203
2017-02-08,160.31,160.97218322753906
2017-02-09,160.44,160.74618530273438
2017-02-10,160.75,160.6641082763672
2017-02-13,161.99,160.75111389160156
2017-02-14,163.13,161.16744995117188
2017-02-15,164.29,161.8958282470703
2017-02-16,163.65,162.82809448242188
2017-02-17,157.62,163.45188903808594
2017-02-21,160.57,162.3799591064453
2017-02-22,160.57,161.27679443359375
2017-02-23,162.6,160.6472625732422
2017-02-24,163.06,160.90798950195312
2017-02-27,165.38,161.67608642578125
2017-02-28,165.38,162.94769287109375
2017-03-01,167.94,164.12530517578125
2017-03-02,167.31,165.44287109375
2017-03-03,168.2,166.35897827148438
2017-03-06,168.7,166.97512817382812
2017-03-07,168.3,167.41287231445312
2017-03-08,167.91,167.58030700683594
2017-03-09,168.01,167.49241638183594
2017-03-10,169.98,167.35870361328125
2017-03-13,170.21,167.74847412109375
2017-03-14,169.06,168.42137145996094
2017-03-15,171.78,168.76901245117188
2017-03-16,171.3,169.4639129638672
2017-03-17,169.7,170.10838317871094
2017-03-20,168.0,170.1407012939453
2017-03-21,167.7,169.43353271484375
2017-03-22,167.03,168.52256774902344
2017-03-23,165.29,167.69541931152344
2017-03-24,165.0,166.78370666503906
2017-03-27,164.6,166.0189971923828
2017-03-28,165.35,165.47886657714844
2017-03-29,163.44,165.37586975097656
2017-03-30,164.99,165.09068298339844
2017-03-31,164.01,165.07220458984375
2017-04-03,165.59,164.99685668945312
2017-04-04,164.97,165.21780395507812
2017-04-05,165.37,165.39633178710938
2017-04-06,165.34,165.5384521484375
2017-04-07,166.02,165.60052490234375
2017-04-10,165.48,165.7428436279297
2017-04-11,165.83,165.769287109375
2017-04-12,165.56,165.78501892089844
2017-04-13,164.96,165.7397918701172
2017-04-17,167.18,165.53834533691406
2017-04-18,168.59,165.8144989013672
2017-04-19,169.25,166.63734436035156
2017-04-20,171.54,167.656005859375
2017-04-21,171.16,168.98068237304688
2017-04-24,172.33,170.0083465576172
2017-04-25,174.04,170.8212890625
2017-04-26,174.38,171.72938537597656
2017-04-27,174.63,172.55140686035156
2017-04-28,174.88,173.1530303955078
2017-05-01,174.59,173.54525756835938
2017-05-02,174.14,173.68231201171875
2017-05-03,172.54,173.57623291015625
2017-05-04,174.02,173.03005981445312
2017-05-05,174.12,172.82179260253906
2017-05-08,174.44,172.96621704101562
2017-05-09,173.24,173.337646484375
2017-05-10,173.39,173.4150390625
2017-05-11,173.32,173.33517456054688
2017-05-12,171.81,173.215576171875
2017-05-15,171.53,172.760498046875
2017-05-16,168.12,172.1923828125
2017-05-17,168.86,170.93692016601562
2017-05-18,171.45,169.86239624023438
2017-05-19,172.59,169.89085388183594
2017-05-22,174.7,170.78477478027344
2017-05-23,175.22,172.2997589111328
2017-05-24,175.59,173.7529296875
2017-05-25,178.05,174.7557830810547
2017-05-26,177.5,175.81301879882812
2017-05-30,176.59,176.486083984375
2017-05-31,175.18,176.50021362304688
2017-06-01,179.58,175.83055114746094
2017-06-02,179.39,176.18035888671875
2017-06-05,179.37,177.04000854492188
2017-06-06,180.82,177.84315490722656
2017-06-07,183.21,178.7231903076172
2017-06-08,181.69,180.03857421875
2017-06-09,181.46,180.80856323242188
2017-06-12,179.25,180.95652770996094
2017-06-13,181.05,180.20936584472656
2017-06-14,182.36,179.77264404296875
2017-06-15,180.38,180.0997772216797
2017-06-16,181.63,180.2093505859375
2017-06-19,183.02,180.4484405517578
2017-06-20,183.27,181.09619140625
2017-06-21,184.92,181.83432006835938
2017-06-22,186.5,182.8053436279297
2017-06-23,185.25,184.02401733398438
2017-06-26,185.12,184.6261444091797
2017-06-27,184.6,184.64532470703125
2017-06-28,185.7,184.2676544189453
2017-06-29,185.27,184.1709442138672
2017-06-30,185.42,184.1909637451172
2017-07-03,186.65,184.3041229248047
2017-07-05,188.25,184.78485107421875
2017-07-06,186.94,185.76779174804688
2017-07-07,187.96,186.31690979003906
2017-07-10,186.95,186.71121215820312
2017-07-11,185.95,186.6610565185547
2017-07-12,186.69,186.13681030273438
2017-07-13,185.48,185.79690551757812
2017-07-14,186.9,185.38304138183594
2017-07-17,186.35,185.46424865722656
2017-07-18,186.85,185.6474151611328
2017-07-19,189.19,185.93360900878906
2017-07-20,191.5,186.8408203125
2017-07-21,191.78,188.433837890625
2017-07-24,190.89,189.88929748535156
2017-07-25,190.4,190.4598846435547
2017-07-26,190.75,190.23867797851562
2017-07-27,188.93,189.8606719970703
2017-07-28,191.15,189.0791473388672
2017-07-31,191.81,189.02841186523438
2017-08-01,192.23,189.62777709960938
2017-08-02,193.0,190.45130920410156
2017-08-03,194.77,191.30787658691406
2017-08-04,194.88,192.4156951904297
2017-08-07,194.78,193.31976318359375
2017-08-08,194.9,193.76220703125
2017-08-09,194.83,193.8721160888672
2017-08-10,192.57,193.79884338378906
2017-08-11,193.02,193.0166015625
2017-08-14,193.71,192.315673828125
2017-08-15,194.5,192.19004821777344
2017-08-16,193.77,192.65835571289062
2017-08-17,192.7,193.0238800048828
2017-08-18,190.82,192.85641479492188
2017-08-21,192.03,191.93434143066406
2017-08-22,194.79,191.36273193359375
2017-08-23,194.24,192.05645751953125
2017-08-24,194.75,192.9668426513672
2017-08-25,194.36,193.71578979492188
2017-08-28,195.09,193.97901916503906
2017-08-29,196.73,194.12814331054688
2017-08-30,195.88,194.6970977783203
2017-08-31,198.9,195.02685546875
2017-09-01,199.75,196.0068359375
2017-09-05,199.31,197.26336669921875
2017-09-06,198.38,198.032470703125
2017-09-07,198.17,197.974853515625
2017-09-08,197.75,197.5091094970703
2017-09-11,199.58,196.96104431152344
2017-09-12,197.47,197.19749450683594
2017-09-13,198.33,197.11878967285156
2017-09-14,197.73,197.1460723876953
2017-09-15,198.18,197.0821533203125
2017-09-18,198.19,197.14976501464844
2017-09-19,194.65,197.28408813476562
2017-09-20,195.75,196.29747009277344
2017-09-21,195.21,195.44923400878906
2017-09-22,193.03,194.8993682861328
2017-09-25,191.75,194.0170440673828
2017-09-26,192.7,192.87139892578125
2017-09-27,194.49,192.3139190673828
2017-09-28,196.1,192.80604553222656
2017-09-29,195.85,194.0904541015625
2017-10-02,197.44,195.15133666992188
2017-10-03,198.63,196.1222686767578
2017-10-04,200.48,197.0627899169922
2017-10-05,197.9,198.20855712890625
2017-10-06,198.06,198.2226104736328
2017-10-09,196.3,197.677490234375
2017-10-10,194.68,196.59161376953125
2017-10-11,195.26,195.18527221679688
2017-10-12,192.92,194.37220764160156
2017-10-13,192.52,193.4906005859375
2017-10-16,193.2,192.755859375
2017-10-17,203.89,192.59535217285156
2017-10-18,205.23,196.04994201660156
2017-10-19,203.25,200.5594940185547
2017-10-20,207.49,203.0535888671875
2017-10-23,207.01,204.8479461669922
2017-10-24,208.15,205.59683227539062
2017-10-25,207.53,205.9335479736328
2017-10-26,209.15,205.7950897216797
2017-10-27,212.6,206.05728149414062
2017-10-30,209.39,207.65921020507812
2017-10-31,210.22,208.2493438720703
2017-11-01,209.53,208.36569213867188
2017-11-02,211.1,208.11439514160156
2017-11-03,212.87,208.41712951660156
2017-11-06,212.12,209.5615692138672
2017-11-07,212.7,210.4118194580078
2017-11-08,210.77,210.9625244140625
2017-11-09,211.56,210.52297973632812
2017-11-10,211.07,210.09657287597656
2017-11-13,212.66,209.75479125976562
2017-11-14,211.71,210.15464782714844
2017-11-15,209.86,210.42617797851562
2017-11-16,211.13,209.84420776367188
2017-11-17,209.9,209.55381774902344
2017-11-20,210.25,209.1575164794922
2017-11-21,212.6,208.97657775878906
2017-11-22,211.22,209.80307006835938
2017-11-24,212.51,210.29420471191406
2017-11-27,212.4,210.8138427734375
2017-11-28,216.14,211.12527465820312
2017-11-29,222.88,212.5259246826172
2017-11-30,228.17,216.3193359375
2017-12-01,226.78000000000003,221.62648010253906
2017-12-04,221.42,224.80819702148438
2017-12-05,220.09,223.4849853515625
2017-12-06,219.94,220.251220703125
2017-12-07,220.15,217.75282287597656
2017-12-08,223.91,216.8835906982422
2017-12-11,222.77,218.57681274414062
2017-12-12,222.49,220.33470153808594
2017-12-13,224.35000000000002,221.218505859375
2017-12-14,221.25,222.1009063720703
2017-12-15,221.82,221.51266479492188
2017-12-18,222.67,220.71742248535156
2017-12-19,222.04,220.57064819335938
2017-12-20,222.38,220.54698181152344
2017-12-21,221.69,220.67739868164062
2017-12-22,220.0,220.5591583251953
