Date,Original,Predicted
2016-01-04,45.87,
2016-01-05,46.5,
2016-01-06,45.52,
2016-01-07,45.27,
2016-01-08,44.83,
2016-01-11,45.09,
2016-01-12,44.93,
2016-01-13,44.15,
2016-01-14,44.87,
2016-01-15,44.43,
2016-01-19,44.87,
2016-01-20,44.42,
2016-01-21,45.87,
2016-01-22,47.04,
2016-01-25,47.03,
2016-01-26,48.25,
2016-01-27,49.03,
2016-01-28,49.01,
2016-01-29,49.97,
2016-02-01,50.76,
2016-02-02,49.91,
2016-02-03,50.62,
2016-02-04,50.43,
2016-02-05,50.97,
2016-02-08,50.74,
2016-02-09,50.15,
2016-02-10,49.98,
2016-02-11,49.39,
2016-02-12,50.11,
2016-02-16,50.24,
2016-02-17,50.32,
2016-02-18,50.94,
2016-02-19,50.86,
2016-02-22,51.07,
2016-02-23,50.63,
2016-02-24,50.82,
2016-02-25,51.11,
2016-02-26,51.02,
2016-02-29,50.73,
2016-03-01,51.46,
2016-03-02,52.12,
2016-03-03,51.89,
2016-03-04,51.81,
2016-03-07,52.21,
2016-03-08,52.46,
2016-03-09,52.34,
2016-03-10,52.32,
2016-03-11,52.53,
2016-03-14,52.54,
2016-03-15,52.67,
2016-03-16,53.21,
2016-03-17,53.63,
2016-03-18,53.24,
2016-03-21,53.44,
2016-03-22,53.21,
2016-03-23,52.91,
2016-03-24,53.56,
2016-03-28,53.4,
2016-03-29,54.05,
2016-03-30,54.04,
2016-03-31,54.08,
2016-04-01,54.01,
2016-04-04,54.42,
2016-04-05,54.09,
2016-04-06,53.52,
2016-04-07,52.0,
2016-04-08,52.18,
2016-04-11,51.61,
2016-04-12,51.95,
2016-04-13,51.29,
2016-04-14,51.36,
2016-04-15,51.35,
2016-04-18,51.73,
2016-04-19,52.08,
2016-04-20,51.75,
2016-04-21,50.03,
2016-04-22,50.55,
2016-04-25,50.76,
2016-04-26,50.44,
2016-04-27,51.69,
2016-04-28,51.02,
2016-04-29,50.94,
2016-05-02,51.32,
2016-05-03,50.68,
2016-05-04,50.84,
2016-05-05,50.84,
2016-05-06,51.12,
2016-05-09,51.08,
2016-05-10,51.54,
2016-05-11,51.15,
2016-05-12,51.47,
2016-05-13,50.94,
2016-05-16,51.23,
2016-05-17,50.9,
2016-05-18,50.39,
2016-05-19,49.63,
2016-05-20,49.66,
2016-05-23,49.14,
2016-05-24,49.58,
2016-05-25,49.85,
2016-05-26,50.16,49.655662536621094
2016-05-27,50.62,49.995296478271484
2016-05-31,50.9,50.42658615112305
2016-06-01,50.43,50.821041107177734
2016-06-02,50.77,50.82172393798828
2016-06-03,50.92,50.82327651977539
2016-06-06,50.71,50.88841247558594
2016-06-07,51.75,50.853179931640625
2016-06-08,51.52,51.25297546386719
2016-06-09,51.95,51.533447265625
2016-06-10,52.67,51.8377799987793
