Date,Original,Predicted
2016-01-04,61.46,
2016-01-05,62.92,
2016-01-06,63.55,
2016-01-07,65.03,
2016-01-08,63.54,
2016-01-11,64.22,
2016-01-12,63.62,
2016-01-13,61.92,
2016-01-14,63.06,
2016-01-15,61.93,
2016-01-19,62.56,
2016-01-20,60.84,
2016-01-21,61.88,
2016-01-22,62.69,
2016-01-25,63.45,
2016-01-26,64.0,
2016-01-27,63.95,
2016-01-28,64.22,
2016-01-29,66.36,
2016-02-01,67.5,
2016-02-02,66.86,
2016-02-03,66.27,
2016-02-04,66.42,
2016-02-05,67.0,
2016-02-08,66.9,
2016-02-09,65.81,
2016-02-10,65.79,
2016-02-11,65.32,
2016-02-12,66.18,
2016-02-16,65.9,
2016-02-17,66.11,
2016-02-18,64.12,
2016-02-19,64.66,
2016-02-22,65.63,
2016-02-23,66.48,
2016-02-24,67.12,
2016-02-25,68.04,
2016-02-26,66.51,
2016-02-29,66.34,
2016-03-01,66.46,
2016-03-02,66.21,
2016-03-03,66.14,
2016-03-04,66.78,
2016-03-07,67.89,
2016-03-08,68.04,
2016-03-09,67.53,
2016-03-10,67.41,
2016-03-11,67.17,
2016-03-14,67.36,
2016-03-15,68.09,
2016-03-16,67.99,
2016-03-17,67.45,
2016-03-18,66.95,
2016-03-21,67.97,
2016-03-22,67.87,
2016-03-23,67.46,
2016-03-24,68.0,
2016-03-28,68.12,
2016-03-29,68.03,
2016-03-30,68.8,
2016-03-31,68.49,
2016-04-01,69.06,
2016-04-04,69.1,
2016-04-05,68.64,
2016-04-06,69.04,
2016-04-07,68.22,
2016-04-08,68.06,
2016-04-11,67.4,
2016-04-12,68.8,
2016-04-13,69.15,
2016-04-14,68.8,
2016-04-15,69.06,
2016-04-18,69.86,
2016-04-19,69.77,
2016-04-20,69.21,
2016-04-21,68.47,
2016-04-22,68.72,
2016-04-25,69.47,
2016-04-26,69.3,
2016-04-27,69.42,
2016-04-28,68.91,
2016-04-29,66.87,
2016-05-02,67.59,
2016-05-03,67.0,
2016-05-04,67.19,
2016-05-05,67.21,
2016-05-06,68.25,
2016-05-09,68.95,
2016-05-10,68.79,
2016-05-11,66.41,
2016-05-12,66.85,
2016-05-13,64.94,
2016-05-16,66.02,
2016-05-17,65.1,
2016-05-18,63.15,
2016-05-19,69.2,
2016-05-20,69.86,
2016-05-23,69.5,
2016-05-24,70.24,
2016-05-25,70.48,
2016-05-26,70.85,69.14651489257812
2016-05-27,70.75,69.97591400146484
2016-05-31,70.78,70.63349151611328
2016-06-01,70.5,71.09144592285156
2016-06-02,70.95,71.33271789550781
2016-06-03,70.87,71.45297241210938
2016-06-06,71.05,71.4925308227539
2016-06-07,71.03,71.50415802001953
2016-06-08,71.28,71.50430297851562
2016-06-09,71.09,71.52734375
2016-06-10,71.14,71.54720306396484
2016-06-13,70.53,71.56232452392578
2016-06-14,70.95,71.5035629272461
2016-06-15,71.12,71.43621063232422
2016-06-16,71.3,71.40141296386719
2016-06-17,70.95,71.4195556640625
2016-06-20,71.1,71.43470764160156
2016-06-21,71.46,71.45127868652344
2016-06-22,71.75,71.50680541992188
2016-06-23,72.1,71.62088012695312
2016-06-24,71.96,71.80329895019531
2016-06-27,71.5,71.9954833984375
2016-06-28,71.51,72.10842895507812
2016-06-29,72.46,72.14086151123047
2016-06-30,73.02,72.22505187988281
2016-07-01,72.81,72.42355346679688
2016-07-05,73.14,72.66239929199219
2016-07-06,73.82,72.9236068725586
2016-07-07,73.53,73.24435424804688
2016-07-08,73.84,73.53861999511719
2016-07-11,74.06,73.80192565917969
2016-07-12,73.27,74.03903198242188
2016-07-13,73.62,74.13655090332031
2016-07-14,73.7,74.15519714355469
2016-07-15,73.67,74.14189910888672
2016-07-18,73.84,74.11588287353516
2016-07-19,73.66,74.1092529296875
2016-07-20,73.79,74.09952545166016
2016-07-21,73.52,74.100341796875
2016-07-22,73.55,74.07698822021484
2016-07-25,73.75,74.03834533691406
2016-07-26,73.73,74.02001190185547
2016-07-27,73.32,74.02086639404297
2016-07-28,73.24,73.9843521118164
2016-07-29,72.97,73.90859985351562
2016-08-01,73.78,73.78430938720703
2016-08-02,73.13,73.73943328857422
2016-08-03,72.94,73.69629669189453
2016-08-04,73.3,73.62357330322266
2016-08-05,73.76,73.57695007324219
2016-08-08,73.34,73.6172866821289
2016-08-09,73.54,73.6700210571289
2016-08-10,73.95,73.73472595214844
2016-08-11,73.8,73.84764862060547
2016-08-12,73.89,73.96680450439453
2016-08-15,73.32,74.0791244506836
2016-08-16,72.89,74.10225677490234
2016-08-17,72.93,73.99980926513672
2016-08-18,74.3,73.82878875732422
2016-08-19,72.81,73.80925750732422
2016-08-22,72.7,73.7514419555664
2016-08-23,71.97,73.62998962402344
2016-08-24,72.23,73.39049530029297
2016-08-25,71.22,73.12600708007812
2016-08-26,71.14,72.77774047851562
2016-08-29,71.4,72.39912414550781
2016-08-30,71.31,72.08399963378906
2016-08-31,71.44,71.8530502319336
2016-09-01,72.84,71.720703125
2016-09-02,72.5,71.82546997070312
2016-09-06,73.0,72.06045532226562
2016-09-07,72.06,72.3899917602539
2016-09-08,71.83,72.62708282470703
2016-09-09,70.3,72.7147216796875
2016-09-12,71.94,72.5112533569336
2016-09-13,71.46,72.30595397949219
2016-09-14,71.52,72.12438201904297
2016-09-15,72.4,71.99322509765625
2016-09-16,72.87,72.01292419433594
2016-09-19,72.09,72.20008087158203
2016-09-20,71.97,72.38838195800781
2016-09-21,72.19,72.50907135009766
2016-09-22,72.27,72.5829849243164
2016-09-23,72.35,72.6317138671875
2016-09-26,71.62,72.67285919189453
2016-09-27,72.33,72.62447357177734
2016-09-28,71.79,72.59028625488281
2016-09-29,70.73,72.52655029296875
2016-09-30,72.12,72.32354736328125
2016-10-03,72.01,72.1909408569336
2016-10-04,71.75,72.14529418945312
2016-10-05,71.67,72.13581848144531
2016-10-06,69.36,72.1311264038086
2016-10-07,68.7,71.8646011352539
2016-10-10,67.98,71.34123992919922
2016-10-11,67.39,70.63905334472656
2016-10-12,67.46,69.8575210571289
2016-10-13,68.23,69.13764190673828
2016-10-14,68.45,68.6371078491211
2016-10-17,68.22,68.38340759277344
2016-10-18,68.87,68.29939270019531
2016-10-19,68.89,68.38262176513672
2016-10-20,68.73,68.56890869140625
2016-10-21,68.34,68.77510833740234
2016-10-24,69.19,68.91657257080078
2016-10-25,69.36,69.06918334960938
2016-10-26,69.59,69.24822235107422
2016-10-27,69.83,69.45487976074219
2016-10-28,69.99,69.6842041015625
2016-10-31,70.02,69.92059326171875
2016-11-01,69.3,70.13684844970703
2016-11-02,69.45,70.23528289794922
2016-11-03,69.63,70.24193572998047
2016-11-04,69.16,70.21220397949219
2016-11-07,69.78,70.12460327148438
2016-11-08,69.79,70.06977844238281
2016-11-09,71.1,70.06129455566406
2016-11-10,71.39,70.22552490234375
2016-11-11,71.23,70.54273223876953
2016-11-14,70.49,70.9049301147461
2016-11-15,71.42,71.1525650024414
2016-11-16,71.39,71.36675262451172
2016-11-17,69.19,71.54792022705078
2016-11-18,68.54,71.44601440429688
2016-11-21,69.37,71.05608367919922
2016-11-22,70.12,70.61280059814453
2016-11-23,70.83,70.30970764160156
2016-11-25,71.23,70.24512481689453
2016-11-28,71.19,70.40550231933594
2016-11-29,71.37,70.68756866455078
2016-11-30,70.43,71.01561737060547
2016-12-01,70.67,71.21772766113281
2016-12-02,70.88,71.30721282958984
2016-12-05,69.94,71.33931732177734
2016-12-06,70.36,71.24020385742188
2016-12-07,70.6,71.0999526977539
2016-12-08,70.34,70.99227905273438
2016-12-09,70.08,70.9046859741211
2016-12-12,71.67,70.80924224853516
2016-12-13,71.8,70.88516235351562
2016-12-14,71.34,71.114501953125
2016-12-15,71.08,71.3651351928711
2016-12-16,70.98,71.54541015625
2016-12-19,71.58,71.62958526611328
2016-12-20,71.82,71.70387268066406
2016-12-21,71.24,71.80801391601562
2016-12-22,69.59,71.86366271972656
2016-12-23,69.54,71.6832504272461
2016-12-27,69.7,71.33126831054688
2016-12-28,69.31,70.93873596191406
2016-12-29,69.26,70.54873657226562
2016-12-30,69.12,70.20716857910156
2017-01-03,68.66,69.92764282226562
2017-01-04,69.06,69.67259979248047
2017-01-05,69.21,69.49360656738281
2017-01-06,68.26,69.40811157226562
2017-01-09,68.71,69.29900360107422
2017-01-10,68.23,69.2076416015625
2017-01-11,68.53,69.09672546386719
2017-01-12,67.97,69.00790405273438
2017-01-13,67.13,68.895263671875
2017-01-17,68.42,68.68598937988281
2017-01-18,68.11,68.5477523803711
2017-01-19,67.62,68.4750747680664
2017-01-20,67.18,68.4045181274414
2017-01-23,66.65,68.28544616699219
2017-01-24,67.4,68.08393859863281
2017-01-25,66.89,67.91413116455078
2017-01-26,66.73,67.75782012939453
2017-01-27,65.66,67.60749053955078
2017-01-30,66.42,67.37252044677734
2017-01-31,66.74,67.15678405761719
2017-02-01,66.23,67.0272445678711
2017-02-02,66.7,66.93524169921875
2017-02-03,66.5,66.91018676757812
2017-02-06,66.4,66.91960906982422
2017-02-07,66.89,66.93456268310547
2017-02-08,67.81,66.99114990234375
2017-02-09,69.08,67.16563415527344
2017-02-10,68.02,67.543212890625
2017-02-13,67.77,67.93772888183594
2017-02-14,68.66,68.23751068115234
2017-02-15,68.69,68.5064468383789
2017-02-16,68.87,68.74537658691406
2017-02-17,69.37,68.95963287353516
2017-02-21,71.45,69.18797302246094
2017-02-22,71.71,69.6264419555664
2017-02-23,71.31,70.23130798339844
2017-02-24,72.39,70.8305892944336
2017-02-27,71.74,71.44234466552734
2017-02-28,70.93,71.9240951538086
2017-03-01,70.45,72.1462173461914
2017-03-02,70.76,72.09491729736328
2017-03-03,70.03,71.90625762939453
2017-03-06,69.88,71.59754180908203
2017-03-07,69.87,71.23551177978516
2017-03-08,69.8,70.89129638671875
2017-03-09,69.86,70.6022720336914
2017-03-10,70.1,70.39327239990234
2017-03-13,69.95,70.28789520263672
2017-03-14,70.72,70.24871063232422
2017-03-15,70.58,70.33055114746094
