Date,Original,Predicted
2016-01-04,77.45999999999998,
2016-01-05,78.12,
2016-01-06,77.46999999999998,
2016-01-07,76.23,
2016-01-08,74.69,
2016-01-11,73.69,
2016-01-12,75.2,
2016-01-13,75.65,
2016-01-14,79.11999999999999,
2016-01-15,77.57999999999998,
2016-01-19,76.4,
2016-01-20,73.18,
2016-01-21,74.1,
2016-01-22,76.57,
2016-01-25,73.98,
2016-01-26,76.7,
2016-01-27,75.29,
2016-01-28,76.98999999999998,
2016-01-29,77.84999999999998,
2016-02-01,76.29,
2016-02-02,74.59,
2016-02-03,78.48,
2016-02-04,79.83,
2016-02-05,80.07999999999998,
2016-02-08,81.15999999999998,
2016-02-09,80.07999999999998,
2016-02-10,79.34999999999998,
2016-02-11,79.6,
2016-02-12,81.03,
2016-02-16,81.21999999999998,
2016-02-17,82.0,
2016-02-18,82.45,
2016-02-19,82.5,
2016-02-22,82.39,
2016-02-23,81.22999999999999,
2016-02-24,81.51999999999998,
2016-02-25,82.01,
2016-02-26,81.74999999999999,
2016-02-29,80.14999999999999,
2016-03-01,81.27999999999999,
2016-03-02,82.7,
2016-03-03,82.4,
2016-03-04,82.29,
2016-03-07,84.46,
2016-03-08,82.63,
2016-03-09,82.4,
2016-03-10,82.18,
2016-03-11,82.18999999999998,
2016-03-14,82.41,
2016-03-15,82.81999999999998,
2016-03-16,82.87,
2016-03-17,84.1,
2016-03-18,84.19999999999999,
2016-03-21,83.62,
2016-03-22,84.12,
2016-03-23,83.74999999999999,
2016-03-24,83.97999999999999,
2016-03-28,84.22,
2016-03-29,84.53,
2016-03-30,84.52,
2016-03-31,83.59,
2016-04-01,82.96,
2016-04-04,83.15999999999998,
2016-04-05,82.21,
2016-04-06,83.31,
2016-04-07,82.36999999999999,
2016-04-08,83.21,
2016-04-11,83.32,
2016-04-12,84.35,
2016-04-13,84.82999999999998,
2016-04-14,85.43,
2016-04-15,84.97,
2016-04-18,85.78,
2016-04-19,86.21,
2016-04-20,86.8,
2016-04-21,86.78999999999999,
2016-04-22,87.53,
2016-04-25,87.33,
2016-04-26,87.62999999999998,
2016-04-27,88.46,
2016-04-28,88.02999999999999,
2016-04-29,88.4,
2016-05-02,89.13,
2016-05-03,88.11,
2016-05-04,87.94,
2016-05-05,88.03999999999999,
2016-05-06,88.51,
2016-05-09,88.57,
2016-05-10,89.99,
2016-05-11,88.81,
2016-05-12,89.67,
2016-05-13,88.65999999999998,
2016-05-16,89.56999999999998,
2016-05-17,89.53,
2016-05-18,89.34999999999998,
2016-05-19,90.11,
2016-05-20,89.73999999999998,
2016-05-23,89.6,
2016-05-24,89.67,
2016-05-25,90.25999999999999,
2016-05-26,89.79999999999998,90.00302124023438
2016-05-27,90.01,90.12197875976562
2016-05-31,89.02,90.056884765625
2016-06-01,89.24,89.43809509277344
2016-06-02,88.53,89.05877685546875
2016-06-03,88.36999999999999,88.74649047851562
2016-06-06,89.33999999999999,88.49447631835938
2016-06-07,90.70999999999998,88.9240951538086
2016-06-08,90.79,90.20032501220703
2016-06-09,90.66999999999999,91.09046173095703
2016-06-10,89.97999999999999,91.0416488647461
2016-06-13,90.59,90.26936340332031
2016-06-14,90.42999999999999,90.14984893798828
2016-06-15,90.16,90.51173400878906
2016-06-16,91.21999999999998,90.58936309814453
2016-06-17,90.71999999999998,90.9286117553711
2016-06-20,91.12000000000002,90.98270416259766
2016-06-21,91.53,91.03245544433594
2016-06-22,91.16999999999999,91.34774017333984
2016-06-23,91.80000000000001,91.42090606689453
2016-06-24,89.39,91.6223373413086
2016-06-27,88.86,90.46746063232422
2016-06-28,90.91,88.95901489257812
2016-06-29,92.46,89.59744262695312
2016-06-30,93.74000000000001,91.88258361816406
2016-07-01,93.84,93.89968872070312
2016-07-05,93.02,94.32233428955078
2016-07-06,94.09000000000002,93.34315490722656
2016-07-07,92.96,93.2547378540039
2016-07-08,93.54,93.36070251464844
2016-07-11,93.89,93.59819793701172
2016-07-12,94.95000000000002,93.85897827148438
2016-07-13,94.87999999999998,94.53046417236328
2016-07-14,94.95000000000002,94.95694732666016
2016-07-15,95.12000000000002,94.9639663696289
2016-07-18,94.81999999999998,94.91857147216797
2016-07-19,94.47,94.80075073242188
2016-07-20,93.93000000000002,94.52098846435547
2016-07-21,93.84999999999998,94.01448059082031
2016-07-22,94.01,93.67437744140625
2016-07-25,92.19999999999999,93.75129699707031
2016-07-26,91.53,92.88459014892578
2016-07-27,90.91,91.58064270019531
2016-07-28,90.19999999999999,90.69051361083984
2016-07-29,88.94999999999999,90.22560119628906
2016-08-01,85.85999999999999,89.4244613647461
2016-08-02,87.04,87.05447387695312
2016-08-03,87.49,86.02484893798828
2016-08-04,87.48,86.88445281982422
2016-08-05,87.56,87.92353057861328
