Date,Original,Predicted
2016-01-04,67.59,
2016-01-05,66.55,
2016-01-06,64.42,
2016-01-07,63.84,
2016-01-08,63.63,
2016-01-11,64.05,
2016-01-12,64.4,
2016-01-13,62.85000000000001,
2016-01-14,63.290000000000006,
2016-01-15,62.91,
2016-01-19,62.63999999999999,
2016-01-20,63.03,
2016-01-21,62.63999999999999,
2016-01-22,55.06,
2016-01-25,55.02000000000001,
2016-01-26,55.09000000000001,
2016-01-27,54.519999999999996,
2016-01-28,52.88,
2016-01-29,53.49999999999999,
2016-02-01,54.7,
2016-02-02,53.65999999999999,
2016-02-03,54.11,
2016-02-04,54.379999999999995,
2016-02-05,53.98,
2016-02-08,52.39999999999999,
2016-02-09,52.63,
2016-02-10,52.29,
2016-02-11,51.11,
2016-02-12,52.66,
2016-02-16,53.18,
2016-02-17,53.61,
2016-02-18,54.150000000000006,
2016-02-19,54.71,
2016-02-22,55.629999999999995,
2016-02-23,55.11000000000001,
2016-02-24,54.64,
2016-02-25,55.39,
2016-02-26,55.38,
2016-02-29,55.58,
2016-03-01,56.8,
2016-03-02,57.11999999999999,
2016-03-03,58.09,
2016-03-04,58.28999999999999,
2016-03-07,59.0,
2016-03-08,59.43,
2016-03-09,59.05,
2016-03-10,58.75,
2016-03-11,59.46000000000001,
2016-03-14,59.57,
2016-03-15,59.23,
2016-03-16,59.7,
2016-03-17,60.08,
2016-03-18,61.22,
2016-03-21,61.21,
2016-03-22,60.61,
2016-03-23,60.63000000000001,
2016-03-24,60.47,
2016-03-28,60.279999999999994,
2016-03-29,60.6,
2016-03-30,60.28999999999999,
2016-03-31,61.39999999999999,
2016-04-01,61.1,
2016-04-04,60.62,
2016-04-05,60.19,
2016-04-06,59.88,
2016-04-07,58.86,
2016-04-08,59.5,
2016-04-11,59.8,
2016-04-12,60.68,
2016-04-13,62.16,
2016-04-14,62.51,
2016-04-15,62.14,
2016-04-18,62.59,
2016-04-19,63.57,
2016-04-20,65.02,
2016-04-21,65.61,
2016-04-22,65.93,
2016-04-25,65.7,
2016-04-26,66.2,
2016-04-27,66.23,
2016-04-28,65.84,
2016-04-29,65.43,
2016-05-02,65.68,
2016-05-03,64.85,
2016-05-04,64.26,
2016-05-05,63.92,
2016-05-06,64.51,
2016-05-09,63.97999999999999,
2016-05-10,64.84,
2016-05-11,64.59,
2016-05-12,64.34,
2016-05-13,64.12,
2016-05-16,64.07,
2016-05-17,62.76,
2016-05-18,63.519999999999996,
2016-05-19,62.74,
2016-05-20,63.92,
2016-05-23,63.589999999999996,
2016-05-24,64.87,
2016-05-25,65.31,
2016-05-26,65.23,64.42178344726562
2016-05-27,65.52,64.71004486083984
2016-05-31,65.76,64.8839111328125
2016-06-01,65.91,65.0324935913086
2016-06-02,66.41,65.16970825195312
2016-06-03,65.49,65.4197006225586
2016-06-06,65.94,65.3270034790039
2016-06-07,65.89,65.30999755859375
2016-06-08,66.26,65.34513092041016
2016-06-09,65.71,65.5195083618164
2016-06-10,64.97,65.50840759277344
2016-06-13,63.669999999999995,65.20745086669922
2016-06-14,61.07,64.53477478027344
2016-06-15,61.42,63.2181282043457
2016-06-16,61.93,62.34874725341797
2016-06-17,61.86,62.153526306152344
2016-06-20,62.3,62.2182731628418
2016-06-21,62.29,62.433753967285156
2016-06-22,61.95000000000001,62.58025360107422
2016-06-23,63.25,62.50421142578125
2016-06-24,60.059999999999995,62.73089599609375
2016-06-27,57.67,62.013912200927734
2016-06-28,57.9,60.49767303466797
2016-06-29,59.63,59.36534118652344
2016-06-30,60.76,59.28831100463867
2016-07-01,60.69,59.908634185791016
2016-07-05,59.15,60.482398986816406
2016-07-06,59.47999999999999,60.337196350097656
2016-07-07,59.81,60.034156799316406
2016-07-08,61.49,59.882301330566406
2016-07-11,62.16,60.29842758178711
2016-07-12,63.00000000000001,60.952362060546875
2016-07-13,63.1,61.66310119628906
2016-07-14,63.61,62.145111083984375
2016-07-15,63.78,62.504364013671875
2016-07-18,63.99,62.74850845336914
2016-07-19,64.16,62.937767028808594
2016-07-20,64.48,63.11112976074219
2016-07-21,63.43,63.33818054199219
2016-07-22,64.28,63.20344161987305
2016-07-25,64.33,63.27939224243164
2016-07-26,64.37,63.46418762207031
2016-07-27,64.59,63.64470672607422
2016-07-28,64.79,63.83932113647461
2016-07-29,64.46,64.04418182373047
2016-08-01,64.13,64.083251953125
2016-08-02,63.47,63.95674133300781
2016-08-03,63.82999999999999,63.63520812988281
2016-08-04,63.94,63.501953125
2016-08-05,65.52,63.539649963378906
2016-08-08,65.83,64.11284637451172
2016-08-09,65.39,64.7495346069336
2016-08-10,64.74,64.99459838867188
2016-08-11,65.48,64.7919692993164
2016-08-12,65.38,64.76750183105469
2016-08-15,65.63,64.81038665771484
2016-08-16,65.3,64.9415283203125
2016-08-17,65.68,64.9554214477539
2016-08-18,65.63,65.05361938476562
2016-08-19,65.53,65.14359283447266
2016-08-22,65.36,65.1696548461914
2016-08-23,65.68,65.118896484375
2016-08-24,65.16,65.17670440673828
2016-08-25,65.0,65.0932388305664
2016-08-26,64.79,64.94535827636719
2016-08-29,65.52,64.78005981445312
2016-08-30,65.45,64.91510009765625
2016-08-31,65.58,65.08163452148438
2016-09-01,64.86,65.22102355957031
2016-09-02,65.19,65.06187438964844
2016-09-06,65.76,64.96785736083984
2016-09-07,66.19,65.12872314453125
2016-09-08,66.24,65.44888305664062
2016-09-09,65.12,65.70117950439453
2016-09-12,65.9,65.45870208740234
2016-09-13,64.36,65.39977264404297
2016-09-14,63.48,64.95838928222656
2016-09-15,63.82999999999999,64.28352355957031
2016-09-16,63.66,63.93561553955078
2016-09-19,64.06,63.79967498779297
2016-09-20,63.72,63.9007453918457
2016-09-21,64.28,63.92457962036133
2016-09-22,64.63,64.0633544921875
2016-09-23,63.85,64.28605651855469
2016-09-26,63.42,64.18600463867188
2016-09-27,64.28,63.85763168334961
2016-09-28,64.22,63.84658432006836
2016-09-29,63.370000000000005,63.9356575012207
2016-09-30,64.04,63.741031646728516
2016-10-03,63.809999999999995,63.72024154663086
2016-10-04,63.90999999999999,63.70825958251953
2016-10-05,64.36,63.72349548339844
2016-10-06,61.94,63.878570556640625
2016-10-07,61.75999999999999,63.272586822509766
2016-10-10,61.900000000000006,62.573463439941406
2016-10-11,60.86000000000001,62.18878173828125
2016-10-12,60.69,61.754146575927734
2016-10-13,60.41,61.39677810668945
2016-10-14,60.15,61.112064361572266
2016-10-17,59.900000000000006,60.864986419677734
2016-10-18,60.08,60.62716293334961
2016-10-19,61.25,60.504974365234375
2016-10-20,66.78,60.776065826416016
2016-10-21,67.36,62.67436599731445
2016-10-24,67.09,64.67266082763672
2016-10-25,66.74,65.76497650146484
2016-10-26,66.8,65.94414520263672
2016-10-27,66.93,65.77347564697266
2016-10-28,66.45,65.65118408203125
2016-10-31,66.42,65.49532318115234
2016-11-01,66.25,65.43443298339844
2016-11-02,65.45,65.43657684326172
2016-11-03,65.33,65.24949645996094
2016-11-04,65.51,65.07994079589844
2016-11-07,67.0,65.0875015258789
2016-11-08,67.07,65.65872192382812
2016-11-09,68.74,66.22410583496094
2016-11-10,70.11,67.0909194946289
2016-11-11,70.5,68.17340850830078
2016-11-14,72.42,69.00223541259766
2016-11-15,72.47,70.05973052978516
2016-11-16,71.68,70.7809066772461
2016-11-17,71.78,70.79164123535156
2016-11-18,71.0,70.65042114257812
2016-11-21,71.54,70.31647491455078
2016-11-22,71.72,70.33839416503906
2016-11-23,72.88,70.5995864868164
2016-11-25,72.86,71.29299926757812
2016-11-28,72.13,71.84097290039062
2016-11-29,71.49,71.83751678466797
2016-11-30,72.04,71.45650482177734
2016-12-01,72.53,71.3849868774414
2016-12-02,71.86,71.66068267822266
2016-12-05,72.03,71.67406463623047
2016-12-06,72.31,71.66907501220703
2016-12-07,74.29,71.78817749023438
2016-12-08,74.91,72.64924621582031
2016-12-09,74.77,73.58782958984375
2016-12-12,73.58,74.03688049316406
2016-12-13,73.84,73.6583023071289
2016-12-14,74.07,73.33903503417969
2016-12-15,74.94,73.3290786743164
2016-12-16,75.0,73.78363037109375
2016-12-19,74.55,74.20604705810547
2016-12-20,75.06,74.25018310546875
2016-12-21,75.32,74.38671875
2016-12-22,74.58,74.62042236328125
2016-12-23,74.97,74.48841094970703
2016-12-27,74.98,74.48322296142578
2016-12-28,74.37,74.55122375488281
2016-12-29,73.92,74.37544250488281
2016-12-30,74.08,74.04747772216797
2017-01-03,75.35,73.91812133789062
2017-01-04,76.26,74.42620086669922
2017-01-05,75.32,75.24141693115234
2017-01-06,75.47,75.35482025146484
2017-01-09,75.86,75.25138092041016
2017-01-10,76.65,75.31327819824219
2017-01-11,76.91,75.72364044189453
2017-01-12,76.88,76.14494323730469
2017-01-13,76.62,76.35031127929688
2017-01-17,76.6,76.29737091064453
2017-01-18,77.49,76.21199798583984
2017-01-19,76.69,76.55804443359375
2017-01-20,76.2,76.5434799194336
2017-01-23,75.97,76.2379150390625
2017-01-24,77.43,75.94086456298828
2017-01-25,76.89,76.42676544189453
2017-01-26,76.93,76.6812744140625
2017-01-27,76.85,76.74344635009766
2017-01-30,77.28,76.69796752929688
2017-01-31,76.38,76.83143615722656
2017-02-01,76.76,76.5768814086914
2017-02-02,76.51,76.49871826171875
2017-02-03,78.04,76.4229965209961
2017-02-06,77.82,77.0249252319336
2017-02-07,77.72,77.42949676513672
2017-02-08,77.8,77.51097869873047
2017-02-09,78.18,77.50003051757812
2017-02-10,78.48,77.64178466796875
2017-02-13,78.91,77.89154052734375
2017-02-14,79.41,78.23465728759766
2017-02-15,79.6,78.65367126464844
2017-02-16,79.51,78.9710922241211
2017-02-17,79.71,79.06787109375
2017-02-21,79.97,79.16059112548828
2017-02-22,79.86,79.3445816040039
2017-02-23,80.05,79.4307632446289
2017-02-24,79.76,79.5506591796875
2017-02-27,80.17,79.5137710571289
2017-02-28,80.06,79.65740966796875
2017-03-01,81.92,79.7483901977539
2017-03-02,80.1,80.62213897705078
2017-03-03,79.88,80.43498229980469
2017-03-06,79.5,79.9531478881836
2017-03-07,79.58,79.524169921875
2017-03-08,79.04,79.39617156982422
2017-03-09,79.3,79.19041442871094
2017-03-10,79.38,79.19359588623047
2017-03-13,79.21,79.29383087158203
2017-03-14,79.69,79.2835922241211
2017-03-15,79.23,79.45027923583984
2017-03-16,79.77,79.36478424072266
2017-03-17,79.25,79.47806549072266
2017-03-20,78.85,79.35250091552734
2017-03-21,77.53,79.04020690917969
2017-03-22,77.67,78.26985931396484
2017-03-23,77.84,77.85173034667969
2017-03-24,78.2,77.83433532714844
2017-03-27,77.6,78.07831573486328
2017-03-28,78.64,77.99235534667969
2017-03-29,78.25,78.28535461425781
2017-03-30,79.21,78.35478210449219
2017-03-31,79.11,78.70929718017578
2017-04-03,78.59,78.90618896484375
2017-04-04,78.26,78.70912170410156
2017-04-05,77.76,78.36216735839844
2017-04-06,77.92,77.95223236083984
2017-04-07,77.77,77.81952667236328
2017-04-10,77.49,77.77871704101562
2017-04-11,77.26,77.66423034667969
2017-04-12,76.68,77.49071502685547
2017-04-13,75.8,77.14315795898438
2017-04-17,76.67,76.5504379272461
2017-04-18,75.79,76.551513671875
2017-04-19,75.55,76.3446273803711
2017-04-20,80.02,76.05191802978516
