Date,Original,Predicted
2016-01-04,140.5,
2016-01-05,141.07,
2016-01-06,138.83,
2016-01-07,133.01,
2016-01-08,129.99,
2016-01-11,130.21,
2016-01-12,131.92,
2016-01-13,128.12,
2016-01-14,129.2,
2016-01-15,125.63,
2016-01-19,126.06000000000002,
2016-01-20,122.13999999999999,
2016-01-21,123.4,
2016-01-22,124.61,
2016-01-25,124.01000000000002,
2016-01-26,128.01,
2016-01-27,116.58000000000001,
2016-01-28,118.01,
2016-01-29,120.13,
2016-02-01,121.56,
2016-02-02,117.52,
2016-02-03,121.87,
2016-02-04,123.61,
2016-02-05,122.56,
2016-02-08,119.47,
2016-02-09,118.87999999999998,
2016-02-10,116.36000000000001,
2016-02-11,108.44,
2016-02-12,108.63,
2016-02-16,112.60000000000001,
2016-02-17,116.34,
2016-02-18,117.57,
2016-02-19,115.16000000000001,
2016-02-22,117.39,
2016-02-23,116.90000000000002,
2016-02-24,115.59,
2016-02-25,116.82,
2016-02-26,118.16000000000001,
2016-02-29,118.18,
2016-03-01,119.96000000000001,
2016-03-02,119.65000000000002,
2016-03-03,119.60999999999999,
2016-03-04,121.07,
2016-03-07,122.89999999999999,
2016-03-08,122.35,
2016-03-09,122.86,
2016-03-10,122.94,
2016-03-11,124.62999999999998,
2016-03-14,126.33999999999999,
2016-03-15,126.36,
2016-03-16,127.57000000000001,
2016-03-17,130.7,
2016-03-18,133.96,
2016-03-21,135.86,
2016-03-22,135.12,
2016-03-23,132.86,
2016-03-24,132.12,
2016-03-28,131.29,
2016-03-29,130.88,
2016-03-30,128.58,
2016-03-31,126.93999999999998,
2016-04-01,126.96,
2016-04-04,126.33999999999999,
2016-04-05,127.03,
2016-04-06,127.93,
2016-04-07,127.0,
2016-04-08,127.88,
2016-04-11,127.91,
2016-04-12,129.47,
2016-04-13,131.14,
2016-04-14,130.85,
2016-04-15,131.13,
2016-04-18,131.97,
2016-04-19,132.68,
2016-04-20,130.57,
2016-04-21,130.74,
2016-04-22,131.05,
2016-04-25,130.75,
2016-04-26,133.24,
2016-04-27,137.08,
2016-04-28,134.8,
2016-04-29,134.8,
2016-05-02,134.01,
2016-05-03,132.49,
2016-05-04,130.89,
2016-05-05,132.08,
2016-05-06,133.26,
2016-05-09,132.1,
2016-05-10,134.73,
2016-05-11,133.0,
2016-05-12,134.42,
2016-05-13,132.12,
2016-05-16,134.14,
2016-05-17,132.56,
2016-05-18,130.99,
2016-05-19,128.08,
2016-05-20,127.39,
2016-05-23,127.58,
2016-05-24,127.5,
2016-05-25,128.86,
2016-05-26,129.31,129.0906219482422
2016-05-27,129.22,129.7914276123047
2016-05-31,126.15,130.2259979248047
2016-06-01,126.41,129.3486328125
2016-06-02,126.85,128.37677001953125
2016-06-03,127.37999999999998,127.90589141845703
2016-06-06,131.9,127.95755767822266
2016-06-07,131.93,129.62789916992188
2016-06-08,133.0,131.270751953125
2016-06-09,133.1,132.5523223876953
2016-06-10,131.14,133.228759765625
2016-06-13,129.92,132.76609802246094
2016-06-14,130.5,131.6697235107422
2016-06-15,130.16,131.0057373046875
2016-06-16,129.37,130.6920928955078
2016-06-17,129.82,130.3816680908203
2016-06-20,132.75,130.3600616455078
2016-06-21,131.52,131.4564208984375
2016-06-22,131.77,132.1508331298828
2016-06-23,133.55,132.46908569335938
2016-06-24,126.52,133.13194274902344
2016-06-27,122.7,131.3202362060547
2016-06-28,123.89,128.0182342529297
2016-06-29,126.99,125.91333770751953
2016-06-30,129.87,126.1187515258789
2016-07-01,129.69,128.02780151367188
2016-07-05,126.96999999999998,129.72607421875
2016-07-06,126.96,129.72767639160156
2016-07-07,127.17,129.05984497070312
2016-07-08,130.09,128.49282836914062
2016-07-11,132.04,129.12013244628906
2016-07-12,130.81,130.5811004638672
2016-07-13,130.11,131.3415985107422
2016-07-14,131.55,131.27371215820312
2016-07-15,132.39,131.4220428466797
2016-07-18,133.43,131.91285705566406
2016-07-19,134.66,132.69363403320312
2016-07-20,134.72,133.6999053955078
2016-07-21,133.53,134.43199157714844
2016-07-22,133.47,134.3862762451172
2016-07-25,132.94,134.08126831054688
2016-07-26,134.85,133.6714630126953
2016-07-27,135.96,134.06472778320312
2016-07-28,133.01,135.00991821289062
2016-07-29,133.66,134.7691650390625
2016-08-01,133.21,134.4073486328125
2016-08-02,131.6,134.04689025878906
2016-08-03,131.87,133.2903289794922
2016-08-04,131.21,132.78330993652344
2016-08-05,131.73,132.3628692626953
2016-08-08,132.19,132.30807495117188
2016-08-09,132.63,132.56175231933594
2016-08-10,132.28,132.96011352539062
2016-08-11,133.0,133.1150360107422
2016-08-12,133.1,133.34225463867188
2016-08-15,134.66,133.53372192382812
2016-08-16,135.0,134.14906311035156
2016-08-17,134.72,134.78627014160156
2016-08-18,135.0,135.06155395507812
2016-08-19,134.44,135.18856811523438
2016-08-22,134.99,135.03509521484375
2016-08-23,134.14,135.0423583984375
2016-08-24,133.29,134.83656311035156
2016-08-25,132.98,134.35324096679688
2016-08-26,132.23,133.88064575195312
2016-08-29,132.9,133.37025451660156
2016-08-30,130.81,133.291015625
2016-08-31,129.45,132.7013702392578
2016-09-01,129.9,131.68592834472656
2016-09-02,131.16,131.08322143554688
2016-09-06,132.99,131.3020477294922
2016-09-07,132.64,132.33229064941406
2016-09-08,132.9,133.10028076171875
2016-09-09,128.53,133.50672912597656
2016-09-12,130.12,132.1315155029297
2016-09-13,128.76,131.1602783203125
2016-09-14,127.67000000000002,130.31349182128906
2016-09-15,127.77,129.4566192626953
2016-09-16,126.7,128.95838928222656
2016-09-19,127.47999999999999,128.4421844482422
2016-09-20,127.79,128.36251831054688
2016-09-21,130.56,128.57992553710938
2016-09-22,131.87,129.7082977294922
2016-09-23,131.78,131.16049194335938
2016-09-26,130.57,132.09178161621094
