Date,Original,Predicted
2016-01-04,177.52999999999997,
2016-01-05,175.17,
2016-01-06,174.31,
2016-01-07,173.63,
2016-01-08,174.89,
2016-01-11,175.63,
2016-01-12,175.32,
2016-01-13,167.99,
2016-01-14,172.31,
2016-01-15,165.08,
2016-01-19,167.38,
2016-01-20,170.51,
2016-01-21,169.45,
2016-01-22,174.72000000000003,
2016-01-25,172.33999999999997,
2016-01-26,172.17,
2016-01-27,165.29,
2016-01-28,167.3,
2016-01-29,171.36,
2016-02-01,175.75,
2016-02-02,172.0,
2016-02-03,176.45,
2016-02-04,170.5,
2016-02-05,168.54,
2016-02-08,162.59,
2016-02-09,165.04,
2016-02-10,161.08,
2016-02-11,159.53,
2016-02-12,167.75,
2016-02-16,168.93,
2016-02-17,171.91000000000003,
2016-02-18,171.94,
2016-02-19,173.57,
2016-02-22,177.05,
2016-02-23,174.39,
2016-02-24,175.79,
2016-02-25,183.04,
2016-02-26,181.21,
2016-02-29,179.56,
2016-03-01,184.33,
2016-03-02,181.88,
2016-03-03,183.67,
2016-03-04,184.77999999999997,
2016-03-07,185.3,
2016-03-08,182.92,
2016-03-09,186.55,
2016-03-10,185.01,
2016-03-11,187.61,
2016-03-14,186.0,
2016-03-15,186.93,
2016-03-16,198.16000000000003,
2016-03-17,201.02,
2016-03-18,201.0,
2016-03-21,202.68,
2016-03-22,204.1,
2016-03-23,202.32,
2016-03-24,198.33999999999997,
2016-03-28,198.12,
2016-03-29,203.02999999999997,
2016-03-30,203.52,
2016-03-31,202.43,
2016-04-01,203.47000000000003,
2016-04-04,205.35,
2016-04-05,203.31,
2016-04-06,204.97000000000003,
2016-04-07,203.91000000000003,
2016-04-08,202.55,
2016-04-11,200.38,
2016-04-12,200.25,
2016-04-13,202.71,
2016-04-14,200.81,
2016-04-15,203.06,
2016-04-18,201.58,
2016-04-19,204.63,
2016-04-20,198.23,
2016-04-21,199.7,
2016-04-22,197.91000000000003,
2016-04-25,207.01,
2016-04-26,210.07,
2016-04-27,206.43,
2016-04-28,209.75,
2016-04-29,212.24,
2016-05-02,216.52999999999997,
2016-05-03,212.67,
2016-05-04,212.43,
2016-05-05,212.02,
2016-05-06,212.92,
2016-05-09,213.48,
2016-05-10,216.49,
2016-05-11,217.22000000000003,
2016-05-12,213.96,
2016-05-13,214.58,
2016-05-16,203.6,
2016-05-17,203.36,
2016-05-18,227.41000000000003,
2016-05-19,227.57,
2016-05-20,233.11,
2016-05-23,225.0,
2016-05-24,228.38,
2016-05-25,225.6,
2016-05-26,219.04,231.28720092773438
2016-05-27,219.97000000000003,230.20962524414062
2016-05-31,218.94,228.13404846191406
2016-06-01,227.5,225.88536071777344
2016-06-02,227.82,225.27215576171875
2016-06-03,224.95,226.10523986816406
2016-06-06,221.68,227.2140350341797
2016-06-07,220.8,227.6136932373047
2016-06-08,223.08,227.22598266601562
2016-06-09,222.97000000000003,226.7578582763672
2016-06-10,223.52999999999997,226.4359588623047
2016-06-13,223.27999999999997,226.3726043701172
2016-06-14,222.24,226.4508056640625
2016-06-15,221.19,226.42352294921875
2016-06-16,221.48,226.13836669921875
2016-06-17,221.05,225.75802612304688
2016-06-20,221.12,225.3498077392578
2016-06-21,222.81,225.0113067626953
2016-06-22,222.39,225.02426147460938
2016-06-23,224.87,225.233642578125
2016-06-24,216.8,225.85047912597656
2016-06-27,216.27999999999997,225.49656677246094
2016-06-28,218.38,224.30267333984375
2016-06-29,227.37,223.12591552734375
2016-06-30,228.64,223.57400512695312
2016-07-01,232.29,225.40576171875
2016-07-05,231.77,228.2566375732422
2016-07-06,232.77999999999997,231.11480712890625
2016-07-07,234.87,233.47998046875
2016-07-08,237.17,235.4004364013672
2016-07-11,239.87,237.1186981201172
2016-07-12,238.45,238.90945434570312
2016-07-13,237.43,240.29379272460938
2016-07-14,239.11,240.98202514648438
2016-07-15,234.98,241.37669372558594
2016-07-18,234.33999999999997,240.98561096191406
2016-07-19,232.01,240.04335021972656
2016-07-20,236.19,238.6409149169922
2016-07-21,240.48,237.87637329101562
2016-07-22,243.47000000000003,238.46131896972656
2016-07-25,240.69,240.3217315673828
2016-07-26,237.98,242.15797424316406
2016-07-27,237.72000000000003,243.00624084472656
2016-07-28,237.8,242.9297332763672
2016-07-29,234.87,242.36317443847656
2016-08-01,236.0,241.23532104492188
2016-08-02,235.79,240.1426544189453
2016-08-03,237.11,239.3220977783203
2016-08-04,236.99,239.03842163085938
2016-08-05,234.79,239.1344451904297
2016-08-08,236.82,239.06243896484375
2016-08-09,255.76,239.1205291748047
2016-08-10,254.07,242.24952697753906
2016-08-11,258.06,246.91671752929688
2016-08-12,258.62,252.0592498779297
2016-08-15,260.51,256.4739074707031
2016-08-16,257.14,259.800537109375
2016-08-17,257.43,261.2869873046875
2016-08-18,254.83,261.416748046875
2016-08-19,252.63,260.4276428222656
2016-08-22,252.65,258.6951904296875
2016-08-23,252.24,256.96075439453125
2016-08-24,251.74,255.61480712890625
2016-08-25,252.07,254.72665405273438
2016-08-26,250.93,254.33187866210938
2016-08-29,252.31,254.10275268554688
2016-08-30,256.03,254.18411254882812
2016-08-31,257.21,255.06565856933594
2016-09-01,268.82,256.50836181640625
2016-09-02,271.79,259.942138671875
