Date,Original,Predicted
2016-01-04,102.98,
2016-01-05,100.9,
2016-01-06,100.36,
2016-01-07,99.5,
2016-01-08,99.25,
2016-01-11,99.92,
2016-01-12,101.46,
2016-01-13,98.48,
2016-01-14,99.11,
2016-01-15,93.9,
2016-01-19,93.97,
2016-01-20,92.54,
2016-01-21,94.02,
2016-01-22,96.9,
2016-01-25,95.29,
2016-01-26,96.27,
2016-01-27,94.32,
2016-01-28,93.53,
2016-01-29,95.82,
2016-02-01,95.15,
2016-02-02,93.12,
2016-02-03,95.14,
2016-02-04,95.43,
2016-02-05,93.9,
2016-02-08,92.12,
2016-02-09,92.32,
2016-02-10,88.85,
2016-02-11,90.31,
2016-02-12,91.15,
2016-02-16,92.91,
2016-02-17,95.5,
2016-02-18,95.17,
2016-02-19,95.01,
2016-02-22,96.37,
2016-02-23,95.38,
2016-02-24,95.43,
2016-02-25,95.65,
2016-02-26,95.31,
2016-02-29,95.52,
2016-03-01,97.65,
2016-03-02,97.0,
2016-03-03,98.82,
2016-03-04,98.48,
2016-03-07,99.39,
2016-03-08,97.82,
2016-03-09,97.66,
2016-03-10,97.04,
2016-03-11,97.94,
2016-03-14,98.81,
2016-03-15,98.24,
2016-03-16,98.44,
2016-03-17,99.6,
2016-03-18,99.2,
2016-03-21,98.46,
2016-03-22,97.58,
2016-03-23,96.83,
2016-03-24,97.22,
2016-03-28,98.09,
2016-03-29,98.16,
2016-03-30,98.91,
2016-03-31,99.31,
2016-04-01,99.07,
2016-04-04,98.68,
2016-04-05,97.0,
2016-04-06,97.48,
2016-04-07,96.16,
2016-04-08,96.42,
2016-04-11,96.27,
2016-04-12,97.35,
2016-04-13,99.48,
2016-04-14,98.63,
2016-04-15,98.59,
2016-04-18,101.48,
2016-04-19,102.64,
2016-04-20,103.27,
2016-04-21,102.91,
2016-04-22,103.77,
2016-04-25,104.57,
2016-04-26,104.89,
2016-04-27,105.28,
2016-04-28,104.03,
2016-04-29,103.26,
2016-05-02,104.36,
2016-05-03,103.78,
2016-05-04,103.67,
2016-05-05,104.93,
2016-05-06,105.54,
2016-05-09,105.34,
2016-05-10,106.6,
2016-05-11,102.29,
2016-05-12,101.71,
2016-05-13,100.52,
2016-05-16,100.36,
2016-05-17,99.94,
2016-05-18,99.0,
2016-05-19,98.41,
2016-05-20,99.78,
2016-05-23,99.18,
2016-05-24,99.51,
2016-05-25,99.86,
2016-05-26,99.81,100.0107650756836
2016-05-27,100.29,100.16606140136719
2016-05-31,99.22,100.35856628417969
2016-06-01,98.52,100.31837463378906
2016-06-02,98.72,99.9788589477539
2016-06-03,98.75,99.58883666992188
2016-06-06,98.78,99.31370544433594
2016-06-07,98.35,99.20099639892578
2016-06-08,98.04,99.12299346923828
2016-06-09,97.84,98.99546813964844
2016-06-10,97.34,98.81275177001953
2016-06-13,97.57,98.54058074951172
2016-06-14,98.4,98.31842041015625
2016-06-15,98.27,98.35468292236328
2016-06-16,98.38,98.53270721435547
2016-06-17,99.0,98.74893951416016
2016-06-20,99.57,99.03838348388672
2016-06-21,98.82,99.42304229736328
2016-06-22,98.79,99.63465881347656
2016-06-23,99.02,99.65658569335938
2016-06-24,95.72,99.61573028564453
2016-06-27,94.38,98.92964935302734
2016-06-28,96.05,97.70401000976562
2016-06-29,96.98,96.79198455810547
2016-06-30,97.82,96.5617446899414
2016-07-01,98.03,96.96747589111328
2016-07-05,97.66,97.6566162109375
2016-07-06,98.45,98.21306610107422
2016-07-07,98.41,98.64798736572266
2016-07-08,99.62,98.91641235351562
2016-07-11,99.98,99.2700424194336
2016-07-12,100.2,99.71775817871094
2016-07-13,99.88,100.1754150390625
2016-07-14,99.97,100.46541595458984
2016-07-15,99.8,100.59310913085938
2016-07-18,100.15,100.578369140625
2016-07-19,99.47,100.5741958618164
2016-07-20,98.22,100.47322845458984
2016-07-21,98.01,100.07878112792969
2016-07-22,97.71,99.5425033569336
2016-07-25,97.39,99.01620483398438
2016-07-26,96.69,98.57447052001953
2016-07-27,96.33,98.14628601074219
2016-07-28,95.91,97.7283706665039
2016-07-29,95.95,97.31474304199219
2016-08-01,95.54,96.98839569091797
2016-08-02,95.01,96.70640563964844
2016-08-03,96.09,96.39405059814453
2016-08-04,95.16,96.30621337890625
2016-08-05,95.83,96.22615051269531
2016-08-08,95.75,96.24751281738281
2016-08-09,96.67,96.31513977050781
2016-08-10,97.86,96.55154418945312
2016-08-11,97.77,97.07378387451172
2016-08-12,96.84,97.65631103515625
2016-08-15,97.1,97.94041442871094
2016-08-16,96.88,97.98591613769531
2016-08-17,96.87,97.86412048339844
2016-08-18,96.65,97.69770812988281
2016-08-19,96.39,97.5305404663086
2016-08-22,95.87,97.36247253417969
2016-08-23,95.97,97.13404846191406
2016-08-24,95.82,96.92815399169922
2016-08-25,95.55,96.76241302490234
2016-08-26,95.21,96.60518646240234
2016-08-29,94.87,96.4141616821289
2016-08-30,94.86,96.1706314086914
2016-08-31,94.46,95.93890380859375
2016-09-01,94.26,95.69664764404297
2016-09-02,94.42,95.45469665527344
2016-09-06,93.8,95.2869644165039
2016-09-07,93.71,95.0936050415039
2016-09-08,94.09,94.88749694824219
2016-09-09,92.42,94.77838897705078
2016-09-12,93.64,94.47283172607422
2016-09-13,92.7,94.27266693115234
2016-09-14,92.26,94.0582275390625
2016-09-15,92.5,93.78253936767578
2016-09-16,92.56,93.55266571044922
2016-09-19,92.63,93.41851806640625
2016-09-20,92.95,93.38277435302734
2016-09-21,92.39,93.46031188964844
2016-09-22,93.41,93.49419403076172
2016-09-23,93.27,93.63594055175781
2016-09-26,91.96,93.81531524658203
2016-09-27,91.72,93.7532730102539
2016-09-28,92.2,93.47512817382812
2016-09-29,91.8,93.21038818359375
2016-09-30,92.86,92.98299407958984
2016-10-03,92.49,92.9999771118164
2016-10-04,92.59,93.12894439697266
2016-10-05,92.45,93.28921508789062
2016-10-06,92.83,93.39579772949219
2016-10-07,92.49,93.49768829345703
2016-10-10,92.49,93.5315933227539
2016-10-11,91.86,93.51099395751953
2016-10-12,91.41,93.3630142211914
2016-10-13,91.12,93.0850830078125
2016-10-14,91.3,92.7382583618164
2016-10-17,90.83,92.4574203491211
2016-10-18,91.17,92.21490478515625
2016-10-19,91.93,92.08589172363281
2016-10-20,92.03,92.17567443847656
2016-10-21,93.03,92.40786743164062
2016-10-24,93.37,92.82451629638672
2016-10-25,92.75,93.33338165283203
2016-10-26,93.49,93.68414306640625
2016-10-27,94.02,93.95387268066406
2016-10-28,93.85,94.23139190673828
2016-10-31,92.69,94.4571762084961
2016-11-01,92.39,94.41092681884766
2016-11-02,91.91,94.1318588256836
2016-11-03,93.37,93.70501708984375
2016-11-04,92.45,93.53839111328125
2016-11-07,94.43,93.47598266601562
2016-11-08,94.38,93.78667449951172
2016-11-09,94.64,94.28936767578125
2016-11-10,94.96,94.81871795654297
2016-11-11,97.68,95.28372955322266
2016-11-14,97.92,96.0807113647461
2016-11-15,97.7,97.04010772705078
2016-11-16,99.12,97.84356689453125
2016-11-17,99.37,98.60409545898438
2016-11-18,98.24,99.2605972290039
2016-11-21,97.63,99.50914764404297
2016-11-22,97.71,99.3182601928711
2016-11-23,98.26,98.94712829589844
2016-11-25,98.82,98.72154998779297
2016-11-28,98.97,98.79923248291016
2016-11-29,99.67,99.08672332763672
2016-11-30,99.12,99.54573059082031
2016-12-01,98.94,99.88089752197266
2016-12-02,98.5,99.98657989501953
2016-12-05,99.96,99.83700561523438
2016-12-06,100.66,99.86849975585938
2016-12-07,101.99,100.21051025390625
2016-12-08,103.38,100.9438247680664
2016-12-09,104.86,102.03113555908203
2016-12-12,104.06,103.37940216064453
2016-12-13,103.85,104.37834930419922
2016-12-14,104.05,104.80656433105469
2016-12-15,104.39,104.83988189697266
2016-12-16,103.91,104.7809829711914
2016-12-19,105.3,104.65341186523438
2016-12-20,105.46,104.85316467285156
2016-12-21,105.56,105.28396606445312
2016-12-22,105.42,105.74058532714844
2016-12-23,105.15,106.0279769897461
2016-12-27,105.17,106.05943298339844
2016-12-28,104.3,105.9432601928711
2016-12-29,104.56,105.60005187988281
2016-12-30,104.22,105.27776336669922
2017-01-03,106.08,105.00721740722656
2017-01-04,107.44,105.26351928710938
2017-01-05,107.38,106.11734008789062
2017-01-06,108.98,107.0607681274414
2017-01-09,108.36,108.10586547851562
2017-01-10,108.38,108.78144836425781
2017-01-11,109.44,109.02397918701172
2017-01-12,107.53,109.24523162841797
2017-01-13,108.06,109.00332641601562
2017-01-17,107.97,108.67218017578125
2017-01-18,108.16,108.43074035644531
2017-01-19,107.28,108.38465118408203
2017-01-20,107.66,108.24370574951172
2017-01-23,107.12,108.13565826416016
2017-01-24,107.9,107.95066833496094
2017-01-25,108.04,107.94916534423828
2017-01-26,108.06,108.10980987548828
2017-01-27,109.3,108.3052749633789
2017-01-30,110.94,108.74949645996094
2017-01-31,110.65,109.64862823486328
2017-02-01,111.3,110.49689483642578
2017-02-02,110.61,111.17613983154297
2017-02-03,110.3,111.38404083251953
2017-02-06,109.57,111.18174743652344
2017-02-07,109.0,110.66817474365234
2017-02-08,109.0,110.0318832397461
2017-02-09,109.49,109.55532836914062
2017-02-10,109.26,109.462646484375
2017-02-13,109.65,109.55125427246094
2017-02-14,110.33,109.76046752929688
2017-02-15,110.18,110.12542724609375
2017-02-16,110.71,110.42562866210938
2017-02-17,110.06,110.71080780029297
2017-02-21,110.01,110.74380493164062
2017-02-22,110.12,110.5955581665039
2017-02-23,109.73,110.44414520263672
2017-02-24,110.32,110.26557159423828
2017-02-27,110.23,110.27837371826172
2017-02-28,110.09,110.39111328125
2017-03-01,111.04,110.46805572509766
2017-03-02,110.59,110.73186492919922
2017-03-03,111.24,110.92864227294922
2017-03-06,110.67,111.17144012451172
2017-03-07,110.86,111.23373413085938
2017-03-08,110.84,111.20881652832031
2017-03-09,111.03,111.1610336303711
2017-03-10,110.92,111.18228912353516
2017-03-13,111.52,111.21868133544922
2017-03-14,112.31,111.40518188476562
2017-03-15,111.87,111.84627532958984
2017-03-16,111.71,112.1834716796875
2017-03-17,111.76,112.27157592773438
2017-03-20,112.71,112.20426177978516
2017-03-21,111.75,112.36344146728516
2017-03-22,112.08,112.39112091064453
2017-03-23,112.24,112.38397216796875
2017-03-24,112.14,112.41943359375
2017-03-27,112.38,112.45268249511719
2017-03-28,113.05,112.53466033935547
2017-03-29,112.53,112.80879974365234
2017-03-30,113.18,112.97364807128906
2017-03-31,113.39,113.16960906982422
2017-04-03,113.2,113.4034194946289
2017-04-04,113.04,113.53825378417969
2017-04-05,113.0,113.52101135253906
2017-04-06,113.05,113.41899108886719
2017-04-07,112.58,113.33584594726562
2017-04-10,112.43,113.17376708984375
2017-04-11,113.07,112.96466064453125
2017-04-12,113.04,112.97697448730469
2017-04-13,113.2,113.12297058105469
2017-04-17,113.78,113.31661224365234
2017-04-18,114.19,113.61930084228516
2017-04-19,113.73,114.00817108154297
2017-04-20,114.79,114.18873596191406
2017-04-21,114.44,114.47342681884766
2017-04-24,113.7,114.6766128540039
2017-04-25,115.18,114.54537963867188
2017-04-26,115.58,114.68569946289062
2017-04-27,115.84,115.13248443603516
2017-04-28,115.6,115.6777572631836
2017-05-01,114.73,115.99758911132812
2017-05-02,114.37,115.805419921875
2017-05-03,111.62,115.28811645507812
2017-05-04,111.17,114.02118682861328
2017-05-05,111.99,112.61557006835938
2017-05-08,111.42,111.89815521240234
2017-05-09,112.07,111.67256927490234
2017-05-10,109.66,111.86656951904297
2017-05-11,109.58,111.49164581298828
2017-05-12,109.69,110.7604751586914
2017-05-15,109.13,110.12332916259766
2017-05-16,107.98,109.63565826416016
2017-05-17,106.31,109.05683135986328
2017-05-18,106.68,108.11392211914062
2017-05-19,107.52,107.3018569946289
2017-05-22,107.63,107.05781555175781
2017-05-23,107.02,107.246337890625
2017-05-24,107.71,107.4095230102539
2017-05-25,107.27,107.60267639160156
2017-05-26,108.41,107.65267944335938
2017-05-30,108.34,107.88088989257812
2017-05-31,107.94,108.17781066894531
2017-06-01,108.21,108.3202896118164
2017-06-02,107.18,108.38455200195312
2017-06-05,106.52,108.15381622314453
2017-06-06,105.5,107.65081024169922
2017-06-07,105.92,106.90869140625
2017-06-08,104.32,106.36324310302734
2017-06-09,105.62,105.74227142333984
2017-06-12,107.04,105.51142120361328
2017-06-13,106.56,105.9371337890625
2017-06-14,106.14,106.5049057006836
2017-06-15,105.98,106.80262756347656
2017-06-16,105.51,106.77012634277344
2017-06-19,105.37,106.45750427246094
2017-06-20,103.94,106.06855010986328
2017-06-21,104.8,105.44287109375
2017-06-22,104.22,105.04109191894531
2017-06-23,104.36,104.79003143310547
2017-06-26,105.57,104.69757843017578
2017-06-27,105.41,104.98273468017578
2017-06-28,106.86,105.38148498535156
2017-06-29,105.71,106.03346252441406
2017-06-30,106.25,106.39808654785156
2017-07-03,107.46,106.56498718261719
2017-07-05,105.63,106.89558410644531
2017-07-06,103.35,106.85688018798828
2017-07-07,103.32,106.02113342285156
2017-07-10,103.59,104.93211364746094
2017-07-11,103.84,104.15509033203125
2017-07-12,104.38,103.88597106933594
2017-07-13,104.29,104.0875015258789
2017-07-14,105.09,104.43538665771484
2017-07-17,104.79,104.88818359375
2017-07-18,105.75,105.19690704345703
2017-07-19,106.82,105.53494262695312
2017-07-20,107.36,106.08515930175781
2017-07-21,107.09,106.77389526367188
2017-07-24,107.0,107.28925323486328
2017-07-25,106.42,107.51459503173828
2017-07-26,106.94,107.38163757324219
2017-07-27,110.0,107.23037719726562
2017-07-28,109.96,107.92831420898438
2017-07-31,109.93,109.02559661865234
2017-08-01,110.61,109.96212768554688
2017-08-02,108.67,110.64217376708984
2017-08-03,109.12,110.4970703125
2017-08-04,107.69,110.01993560791016
2017-08-07,106.35,109.24005126953125
2017-08-08,106.98,108.21128845214844
2017-08-09,102.83,107.51164245605469
2017-08-10,101.35,106.22289276123047
2017-08-11,101.99,104.49022674560547
2017-08-14,101.4,103.14630126953125
2017-08-15,101.51,102.31196594238281
2017-08-16,102.2,101.95542907714844
2017-08-17,101.38,102.038330078125
2017-08-18,100.7,102.10997009277344
2017-08-21,101.17,101.91741180419922
2017-08-22,102.77,101.68111419677734
2017-08-23,101.5,101.85698699951172
2017-08-24,101.52,102.0107650756836
2017-08-25,102.41,102.05081176757812
2017-08-28,102.56,102.19522857666016
2017-08-29,102.57,102.43568420410156
2017-08-30,102.87,102.68011474609375
2017-08-31,101.2,102.92508697509766
2017-09-01,101.5,102.7536849975586
2017-09-05,101.6,102.41015625
2017-09-06,101.5,102.12711334228516
2017-09-07,97.06,101.97024536132812
2017-09-08,97.07,100.9886245727539
2017-09-11,97.09,99.66411590576172
2017-09-12,97.89,98.5450668334961
2017-09-13,98.82,98.03439331054688
2017-09-14,97.9,98.19396209716797
2017-09-15,98.52,98.48639678955078
2017-09-18,98.1,98.79940795898438
2017-09-19,98.43,98.9384536743164
2017-09-20,99.21,98.98175048828125
2017-09-21,98.89,99.131103515625
2017-09-22,98.6,99.2817153930664
2017-09-25,99.57,99.32906341552734
2017-09-26,98.63,99.48584747314453
2017-09-27,99.24,99.52129364013672
2017-09-28,98.05,99.5717544555664
2017-09-29,98.57,99.4085693359375
2017-10-02,99.86,99.23631286621094
2017-10-03,100.79,99.38931274414062
2017-10-04,100.55,99.93440246582031
2017-10-05,100.11,100.54029083251953
2017-10-06,100.07,100.89746856689453
2017-10-09,99.57,100.97691345214844
2017-10-10,99.58,100.78619384765625
2017-10-11,98.55,100.50627136230469
2017-10-12,96.93,100.07135772705078
2017-10-13,97.38,99.32213592529297
2017-10-16,98.13,98.6357421875
2017-10-17,98.36,98.3392105102539
2017-10-18,98.25,98.4118423461914
2017-10-19,99.01,98.63360595703125
2017-10-20,99.4,98.98734283447266
2017-10-23,98.7,99.40176391601562
2017-10-24,98.29,99.60655212402344
2017-10-25,97.78,99.52440643310547
2017-10-26,98.56,99.19205474853516
2017-10-27,98.31,98.96197509765625
2017-10-30,98.04,98.8537368774414
2017-10-31,97.81,98.7892074584961
2017-11-01,99.03,98.70134735107422
2017-11-02,98.35,98.84332275390625
2017-11-03,98.64,98.98896026611328
2017-11-06,100.64,99.1243896484375
2017-11-07,101.61,99.61428833007812
2017-11-08,101.18,100.45410919189453
2017-11-09,102.68,101.2211685180664
2017-11-10,104.78,102.01580047607422
2017-11-13,104.74,103.11260986328125
2017-11-14,103.17,104.18070220947266
2017-11-15,103.69,104.59581756591797
2017-11-16,103.6,104.57797241210938
2017-11-17,103.44,104.36688232421875
2017-11-20,102.75,104.1344985961914
2017-11-21,103.0,103.83829498291016
2017-11-22,102.74,103.63497161865234
2017-11-24,102.64,103.49594116210938
2017-11-27,102.79,103.39395904541016
2017-11-28,103.41,103.3572006225586
2017-11-29,105.24,103.49747467041016
2017-11-30,104.82,104.1167221069336
2017-12-01,105.25,104.79132080078125
2017-12-04,110.22,105.35472869873047
2017-12-05,107.22,106.84486389160156
2017-12-06,105.46,107.9297103881836
2017-12-07,105.26,107.89051818847656
2017-12-08,104.23,107.11131286621094
2017-12-11,106.83,106.00005340576172
2017-12-12,107.43,105.71916198730469
2017-12-13,107.61,106.27359008789062
2017-12-14,110.57,107.15486145019531
2017-12-15,111.27,108.60202026367188
2017-12-18,111.03,110.17686462402344
2017-12-19,111.81,111.27269744873047
2017-12-20,109.69,111.93170166015625
