Date,Original,Predicted
2016-01-04,741.84,
2016-01-05,742.58,
2016-01-06,743.62,
2016-01-07,726.39,
2016-01-08,714.47,
2016-01-11,716.03,
2016-01-12,726.07,
2016-01-13,700.56,
2016-01-14,714.72,
2016-01-15,694.45,
2016-01-19,701.79,
2016-01-20,698.45,
2016-01-21,706.59,
2016-01-22,725.25,
2016-01-25,711.67,
2016-01-26,713.04,
2016-01-27,699.99,
2016-01-28,730.96,
2016-01-29,742.9499999999999,
2016-02-01,752.0,
2016-02-02,764.65,
2016-02-03,726.95,
2016-02-04,708.01,
2016-02-05,683.57,
2016-02-08,682.74,
2016-02-09,678.11,
2016-02-10,684.12,
2016-02-11,683.11,
2016-02-12,682.4,
2016-02-16,691.0,
2016-02-17,708.4,
2016-02-18,697.35,
2016-02-19,700.91,
2016-02-22,706.46,
2016-02-23,695.85,
2016-02-24,699.56,
2016-02-25,705.75,
2016-02-26,705.07,
2016-02-29,697.77,
2016-03-01,718.81,
2016-03-02,718.85,
2016-03-03,712.42,
2016-03-04,710.89,
2016-03-07,695.16,
2016-03-08,693.97,
2016-03-09,705.24,
2016-03-10,712.82,
2016-03-11,726.82,
2016-03-14,730.49,
2016-03-15,728.33,
2016-03-16,736.0899999999999,
2016-03-17,737.7800000000001,
2016-03-18,737.6,
2016-03-21,742.09,
2016-03-22,740.75,
2016-03-23,738.06,
2016-03-24,735.3,
2016-03-28,733.53,
2016-03-29,744.77,
2016-03-30,750.53,
2016-03-31,744.95,
2016-04-01,749.9099999999999,
2016-04-04,745.2899999999998,
2016-04-05,737.8000000000001,
2016-04-06,745.69,
2016-04-07,740.28,
2016-04-08,739.1500000000001,
2016-04-11,736.1,
2016-04-12,743.09,
2016-04-13,751.72,
2016-04-14,753.2,
2016-04-15,759.0,
2016-04-18,766.6100000000001,
2016-04-19,753.93,
2016-04-20,752.67,
2016-04-21,759.14,
2016-04-22,718.77,
2016-04-25,723.15,
2016-04-26,708.14,
2016-04-27,705.84,
2016-04-28,691.02,
2016-04-29,693.01,
2016-05-02,698.21,
2016-05-03,692.36,
2016-05-04,695.7,
2016-05-05,701.43,
2016-05-06,711.12,
2016-05-09,712.9,
2016-05-10,723.18,
2016-05-11,715.29,
2016-05-12,713.31,
2016-05-13,710.83,
2016-05-16,716.49,
2016-05-17,706.23,
2016-05-18,706.63,
2016-05-19,700.32,
2016-05-20,709.74,
2016-05-23,704.24,
2016-05-24,720.09,
2016-05-25,725.27,
2016-05-26,724.12,716.2432250976562
2016-05-27,732.66,718.6763305664062
2016-05-31,735.72,722.1632080078125
2016-06-01,734.1500000000001,726.3348999023438
2016-06-02,730.4,730.4592895507812
2016-06-03,722.34,733.7694091796875
2016-06-06,716.55,735.4523315429688
2016-06-07,716.65,735.2290649414062
2016-06-08,728.28,733.6224975585938
2016-06-09,728.58,732.1634521484375
2016-06-10,719.41,731.309326171875
2016-06-13,718.36,730.3983764648438
2016-06-14,718.27,729.296875
2016-06-15,718.92,728.091796875
2016-06-16,710.36,726.9698486328125
2016-06-17,691.72,725.3994750976562
2016-06-20,693.71,722.1392211914062
2016-06-21,695.94,717.8074340820312
2016-06-22,697.46,713.342529296875
2016-06-23,701.87,709.4686279296875
2016-06-24,675.22,706.814453125
2016-06-27,668.26,703.4365844726562
2016-06-28,680.04,698.8726806640625
2016-06-29,684.11,694.5238647460938
2016-06-30,692.1,691.2581176757812
