Date,Original,Predicted
2016-01-04,102.57,
2016-01-05,103.41,
2016-01-06,102.24,
2016-01-07,99.23,
2016-01-08,98.43000000000002,
2016-01-11,98.42,
2016-01-12,99.17,
2016-01-13,97.1,
2016-01-14,98.74,
2016-01-15,97.26,
2016-01-19,97.33,
2016-01-20,96.24,
2016-01-21,96.58,
2016-01-22,97.82,
2016-01-25,96.48,
2016-01-26,98.51,
2016-01-27,96.96,
2016-01-28,97.97,
2016-01-29,103.2,
2016-02-01,102.88,
2016-02-02,100.66,
2016-02-03,102.16,
2016-02-04,102.55,
2016-02-05,102.13,
2016-02-08,101.53,
2016-02-09,102.72,
2016-02-10,102.6,
2016-02-11,101.54,
2016-02-12,103.48,
2016-02-16,104.95,
2016-02-17,106.12999999999998,
2016-02-18,106.47,
2016-02-19,107.27,
2016-02-22,105.17,
2016-02-23,103.64,
2016-02-24,103.3,
2016-02-25,104.19,
2016-02-26,103.03,
2016-02-29,101.35,
2016-03-01,105.87,
2016-03-02,106.49,
2016-03-03,107.98,
2016-03-04,108.15,
2016-03-07,107.47,
2016-03-08,107.58,
2016-03-09,108.92999999999999,
2016-03-10,108.36,
2016-03-11,109.03,
2016-03-14,108.51,
2016-03-15,108.68,
2016-03-16,109.22999999999999,
2016-03-17,111.02,
2016-03-18,112.1,
2016-03-21,112.68,
2016-03-22,112.98,
2016-03-23,112.21,
2016-03-24,111.32,
2016-03-28,111.6,
2016-03-29,111.9,
2016-03-30,112.17,
2016-03-31,112.05,
2016-04-01,113.23,
2016-04-04,112.55,
2016-04-05,111.78,
2016-04-06,113.06,
2016-04-07,111.67,
2016-04-08,112.12,
2016-04-11,111.94,
2016-04-12,113.03,
2016-04-13,114.74,
2016-04-14,114.52,
2016-04-15,114.63,
2016-04-18,115.46,
2016-04-19,115.8,
2016-04-20,115.18,
2016-04-21,114.91999999999999,
2016-04-22,114.17,
2016-04-25,113.25,
2016-04-26,114.8,
2016-04-27,115.44,
2016-04-28,114.62000000000002,
2016-04-29,114.27,
2016-05-02,114.67,
2016-05-03,114.51,
2016-05-04,112.93,
2016-05-05,113.62,
2016-05-06,113.78,
2016-05-09,113.16,
2016-05-10,114.94,
2016-05-11,114.10999999999999,
2016-05-12,114.19,
2016-05-13,113.2,
2016-05-16,114.84,
2016-05-17,113.63,
2016-05-18,112.69,
2016-05-19,112.32,
2016-05-20,113.22,
2016-05-23,112.8,
2016-05-24,114.37,
2016-05-25,114.72,
2016-05-26,114.19,113.95648956298828
2016-05-27,114.33,114.24987030029297
2016-05-31,113.83,114.33451843261719
2016-06-01,113.94,114.17581176757812
2016-06-02,114.53,113.99972534179688
2016-06-03,114.79,114.04944610595703
2016-06-06,115.54,114.26028442382812
2016-06-07,115.35,114.6701889038086
2016-06-08,116.07,114.97576904296875
2016-06-09,117.21000000000001,115.32360076904297
2016-06-10,116.68,115.91232299804688
2016-06-13,115.13,116.26171875
2016-06-14,115.51,115.91973876953125
2016-06-15,115.52,115.5196762084961
2016-06-16,115.79,115.28549194335938
2016-06-17,115.92,115.29405975341797
2016-06-20,117.06,115.44292449951172
2016-06-21,117.3,115.92718505859375
2016-06-22,116.57,116.4677963256836
2016-06-23,117.32,116.61541748046875
2016-06-24,112.98,116.7613296508789
2016-06-27,111.46,115.61006164550781
2016-06-28,114.06,113.89779663085938
2016-06-29,114.46,113.32784271240234
2016-06-30,116.32,113.59825134277344
2016-07-01,116.5,114.60936737060547
2016-07-05,115.23,115.63024139404297
2016-07-06,116.82,115.8965072631836
2016-07-07,116.11,116.18174743652344
2016-07-08,118.84,116.22000885009766
2016-07-11,118.57,116.93135833740234
2016-07-12,119.02,117.64319610595703
2016-07-13,119.05,118.20132446289062
2016-07-14,119.09,118.5065689086914
2016-07-15,119.23,118.62017059326172
2016-07-18,118.89,118.67782592773438
2016-07-19,119.35,118.60449981689453
2016-07-20,119.88,118.66300964355469
2016-07-21,118.66,118.94694519042969
2016-07-22,115.61,118.8355484008789
2016-07-25,115.49,117.63571166992188
2016-07-26,115.95,116.43793487548828
2016-07-27,114.96,115.88499450683594
2016-07-28,115.76,115.51538848876953
2016-07-29,116.33,115.5570068359375
2016-08-01,115.88,115.9228744506836
2016-08-02,115.45,116.1484603881836
2016-08-03,116.01,116.08465576171875
2016-08-04,115.95,116.08223724365234
2016-08-05,116.37,116.10240936279297
2016-08-08,116.04,116.23768615722656
2016-08-09,116.26,116.27367401123047
2016-08-10,116.02999999999999,116.30485534667969
2016-08-11,116.37,116.25775909423828
2016-08-12,116.1,116.28793334960938
2016-08-15,116.83999999999999,116.26428985595703
2016-08-16,116.23,116.43359375
2016-08-17,115.78,116.45115661621094
2016-08-18,115.86,116.24810028076172
2016-08-19,116.11,116.04869842529297
2016-08-22,116.58,116.00431823730469
2016-08-23,117.01,116.17884826660156
2016-08-24,116.76,116.50567626953125
2016-08-25,116.76999999999998,116.69767761230469
2016-08-26,116.75,116.75434875488281
2016-08-29,117.17,116.73272705078125
2016-08-30,117.02,116.8171157836914
2016-08-31,116.71,116.87884521484375
2016-09-01,116.13,116.81015014648438
2016-09-02,116.39,116.53862762451172
2016-09-06,115.71,116.3614273071289
