Date,Original,Predicted
2016-01-04,135.95,
2016-01-05,135.85,
2016-01-06,135.17,
2016-01-07,132.86,
2016-01-08,131.63,
2016-01-11,133.23,
2016-01-12,132.9,
2016-01-13,131.17,
2016-01-14,132.91,
2016-01-15,130.03,
2016-01-19,128.11,
2016-01-20,121.86000000000001,
2016-01-21,122.91,
2016-01-22,122.5,
2016-01-25,122.08,
2016-01-26,122.58999999999999,
2016-01-27,120.96,
2016-01-28,122.22,
2016-01-29,124.79,
2016-02-01,124.83,
2016-02-02,122.94,
2016-02-03,124.71999999999998,
2016-02-04,127.65000000000002,
2016-02-05,128.57,
2016-02-08,126.98,
2016-02-09,124.07,
2016-02-10,120.19,
2016-02-11,117.85,
2016-02-12,121.04,
2016-02-16,122.73999999999998,
2016-02-17,126.1,
2016-02-18,132.45,
2016-02-19,133.08,
2016-02-22,133.77,
2016-02-23,132.4,
2016-02-24,132.8,
2016-02-25,134.5,
2016-02-26,132.03,
2016-02-29,131.03,
2016-03-01,134.37,
2016-03-02,136.3,
2016-03-03,137.8,
2016-03-04,137.8,
2016-03-07,140.15,
2016-03-08,139.07,
2016-03-09,140.41,
2016-03-10,140.19,
2016-03-11,142.36,
2016-03-14,142.78,
2016-03-15,142.96,
2016-03-16,144.79,
2016-03-17,147.04,
2016-03-18,147.09,
2016-03-21,148.63,
2016-03-22,148.1,
2016-03-23,145.4,
2016-03-24,147.95,
2016-03-28,148.4,
2016-03-29,149.33,
2016-03-30,148.41,
2016-03-31,151.45,
2016-04-01,152.52,
2016-04-04,152.07,
2016-04-05,150.0,
2016-04-06,150.02,
2016-04-07,148.25,
2016-04-08,149.35,
2016-04-11,149.25,
2016-04-12,149.63,
2016-04-13,151.23,
2016-04-14,151.16,
2016-04-15,151.72,
2016-04-18,152.53,
2016-04-19,144.0,
2016-04-20,146.11,
2016-04-21,149.3,
2016-04-22,148.5,
2016-04-25,148.81,
2016-04-26,149.08,
2016-04-27,150.47,
2016-04-28,147.07,
2016-04-29,145.94,
2016-05-02,145.27,
2016-05-03,144.13,
2016-05-04,144.25,
2016-05-05,146.47,
2016-05-06,147.29,
2016-05-09,147.34,
2016-05-10,149.97,
2016-05-11,148.95,
2016-05-12,148.84,
2016-05-13,147.72,
2016-05-16,149.46,
2016-05-17,148.0,
2016-05-18,147.34,
2016-05-19,144.93,
2016-05-20,147.25,
2016-05-23,146.77,
2016-05-24,148.31,
2016-05-25,151.69,
2016-05-26,152.44,151.7845458984375
2016-05-27,152.84,152.47975158691406
2016-05-31,153.74,152.7800750732422
2016-06-01,152.51,153.79843139648438
2016-06-02,153.5,152.59320068359375
2016-06-03,152.89,153.7902069091797
2016-06-06,152.73,153.18405151367188
2016-06-07,153.33,153.03599548339844
2016-06-08,154.0,153.6785430908203
2016-06-09,153.42,154.3043670654297
