Date,Original,Predicted
2016-01-04,33.99,
2016-01-05,33.83,
2016-01-06,33.08,
2016-01-07,31.84,
2016-01-08,31.51,
2016-01-11,32.06,
2016-01-12,32.68,
2016-01-13,31.91,
2016-01-14,32.74,
2016-01-15,29.76,
2016-01-19,29.8,
2016-01-20,29.59,
2016-01-21,29.66,
2016-01-22,29.924999999999997,
2016-01-25,29.6,
2016-01-26,29.94,
2016-01-27,29.809999999999995,
2016-01-28,29.970000000000002,
2016-01-29,31.02,
2016-02-01,30.82,
2016-02-02,29.8,
2016-02-03,29.34,
2016-02-04,29.77,
2016-02-05,29.039999999999996,
2016-02-08,28.82,
2016-02-09,28.81,
2016-02-10,28.230000000000004,
2016-02-11,28.22,
2016-02-12,28.64,
2016-02-16,28.78,
2016-02-17,29.469999999999995,
2016-02-18,29.42,
2016-02-19,28.71,
2016-02-22,29.35,
2016-02-23,28.8,
2016-02-24,29.19,
2016-02-25,29.62,
2016-02-26,29.8,
2016-02-29,29.59,
2016-03-01,30.37,
2016-03-02,30.54,
2016-03-03,30.579999999999995,
2016-03-04,30.630000000000003,
2016-03-07,30.94,
2016-03-08,30.560000000000002,
2016-03-09,30.865,
2016-03-10,31.25,
2016-03-11,31.76,
2016-03-14,31.43,
2016-03-15,31.65,
2016-03-16,31.69,
2016-03-17,31.98,
2016-03-18,32.68,
2016-03-21,32.34,
2016-03-22,32.32,
2016-03-23,32.0,
2016-03-24,31.88,
2016-03-28,31.9,
2016-03-29,32.38,
2016-03-30,32.71,
2016-03-31,32.35,
2016-04-01,32.45,
2016-04-04,32.0,
2016-04-05,31.9,
2016-04-06,32.08,
2016-04-07,31.55,
2016-04-08,31.63,
2016-04-11,31.67,
2016-04-12,31.86,
2016-04-13,32.13,
2016-04-14,31.8,
2016-04-15,31.46,
2016-04-18,31.65,
2016-04-19,31.6,
2016-04-20,32.0,
2016-04-21,31.97,
2016-04-22,31.64,
2016-04-25,31.39,
2016-04-26,31.400000000000002,
2016-04-27,31.75,
2016-04-28,31.11,
2016-04-29,30.28,
2016-05-02,30.61,
2016-05-03,30.36,
2016-05-04,29.85,
2016-05-05,29.899999999999995,
2016-05-06,30.040000000000003,
2016-05-09,29.8,
2016-05-10,30.14,
2016-05-11,30.059999999999995,
2016-05-12,29.76,
2016-05-13,29.91,
2016-05-16,30.39,
2016-05-17,29.98,
2016-05-18,29.989999999999995,
2016-05-19,29.629999999999995,
2016-05-20,30.149999999999995,
2016-05-23,30.23,
2016-05-24,31.060000000000002,
2016-05-25,31.39,
2016-05-26,31.490000000000002,30.90258026123047
2016-05-27,31.57,31.256576538085938
2016-05-31,31.59,31.53709602355957
2016-06-01,31.66,31.70729637145996
2016-06-02,31.76,31.78973388671875
2016-06-03,31.62,31.83146095275879
2016-06-06,31.68,31.821786880493164
2016-06-07,31.88,31.799863815307617
2016-06-08,31.89,31.823951721191406
2016-06-09,31.94,31.87750244140625
2016-06-10,32.04,31.943363189697266
2016-06-13,32.17,32.019962310791016
2016-06-14,32.14,32.11250686645508
2016-06-15,31.61,32.18720626831055
2016-06-16,31.69,32.12080383300781
2016-06-17,31.76,32.00284957885742
2016-06-20,32.17,31.9150447845459
2016-06-21,32.32,31.960742950439453
2016-06-22,32.29,32.10959243774414
2016-06-23,32.99,32.266517639160156
2016-06-24,31.55,32.52875900268555
2016-06-27,30.720000000000002,32.48252868652344
2016-06-28,31.19,32.07172393798828
2016-06-29,31.93,31.677703857421875
2016-06-30,32.8,31.582855224609375
2016-07-01,32.75,31.877504348754883
2016-07-05,32.68,32.30897521972656
2016-07-06,32.97,32.65917205810547
2016-07-07,33.2,32.91590118408203
2016-07-08,34.0,33.11192321777344
2016-07-11,34.38,33.416847229003906
2016-07-12,34.94,33.81256103515625
2016-07-13,35.01,34.286407470703125
2016-07-14,35.2,34.688072204589844
2016-07-15,35.07,34.973411560058594
2016-07-18,35.05,35.08280944824219
2016-07-19,35.15,35.06826400756836
2016-07-20,35.69,35.03779220581055
2016-07-21,34.27,35.173065185546875
2016-07-22,34.66,34.98236083984375
2016-07-25,34.69,34.76119613647461
2016-07-26,35.09,34.63579177856445
2016-07-27,34.83,34.71706008911133
2016-07-28,34.77,34.814239501953125
2016-07-29,34.86,34.855648040771484
2016-08-01,34.85,34.877166748046875
2016-08-02,34.56,34.886539459228516
2016-08-03,34.25,34.81318283081055
2016-08-04,34.58,34.637046813964844
2016-08-05,34.98,34.5539665222168
2016-08-08,35.04,34.66611099243164
2016-08-09,34.92,34.86506652832031
2016-08-10,34.53,35.00297546386719
2016-08-11,34.68,34.95182418823242
2016-08-12,34.57,34.85756301879883
2016-08-15,34.91,34.75993347167969
2016-08-16,35.21,34.786277770996094
2016-08-17,35.02,34.9566764831543
2016-08-18,34.97,35.095123291015625
2016-08-19,35.24,35.14490509033203
2016-08-22,35.36,35.2061767578125
2016-08-23,35.4,35.29853439331055
2016-08-24,35.15,35.39110565185547
2016-08-25,35.09,35.383426666259766
2016-08-26,35.26,35.3060417175293
2016-08-29,35.55,35.27180480957031
2016-08-30,35.7,35.36072540283203
2016-08-31,35.89,35.52969741821289
2016-09-01,36.02,35.732452392578125
2016-09-02,36.08,35.91957473754883
2016-09-06,36.57,36.05294418334961
2016-09-07,36.46,36.25886535644531
2016-09-08,36.44,36.41313552856445
2016-09-09,35.44,36.476531982421875
2016-09-12,36.08,36.17951583862305
2016-09-13,35.61,35.98875045776367
2016-09-14,35.62,35.81763458251953
2016-09-15,36.56,35.709407806396484
2016-09-16,37.67,35.94161605834961
2016-09-19,37.16,36.61265182495117
2016-09-20,37.14,37.122318267822266
2016-09-21,37.45,37.31787109375
2016-09-22,37.55,37.38825225830078
2016-09-23,37.19,37.43266296386719
2016-09-26,36.65,37.34877395629883
2016-09-27,37.18,37.06227111816406
2016-09-28,37.44,36.95530700683594
2016-09-29,37.32,37.08430099487305
2016-09-30,37.75,37.24134063720703
2016-10-03,37.66,37.475650787353516
2016-10-04,37.54,37.637550354003906
2016-10-05,37.99,37.659332275390625
