Date,Original,Predicted
2016-01-04,82.87,
2016-01-05,84.11,
2016-01-06,83.58,
2016-01-07,81.41,
2016-01-08,81.25,
2016-01-11,80.27,
2016-01-12,80.4,
2016-01-13,79.3,
2016-01-14,82.54,
2016-01-15,81.24,
2016-01-19,83.23,
2016-01-20,82.62,
2016-01-21,81.4,
2016-01-22,82.48,
2016-01-25,81.71,
2016-01-26,81.96,
2016-01-27,81.76,
2016-01-28,76.81,
2016-01-29,79.1,
2016-02-01,78.4,
2016-02-02,76.3,
2016-02-03,76.09,
2016-02-04,74.28,
2016-02-05,74.32,
2016-02-08,74.19,
2016-02-09,73.74,
2016-02-10,73.07,
2016-02-11,71.42,
2016-02-12,71.27,
2016-02-16,73.33,
2016-02-17,74.68,
2016-02-18,73.47,
2016-02-19,72.61,
2016-02-22,73.01,
2016-02-23,73.47,
2016-02-24,74.1,
2016-02-25,74.82,
2016-02-26,73.6,
2016-02-29,72.0,
2016-03-01,72.74,
2016-03-02,74.02,
2016-03-03,73.25,
2016-03-04,73.6,
2016-03-07,73.4,
2016-03-08,73.0,
2016-03-09,73.54,
2016-03-10,73.02,
2016-03-11,74.65,
2016-03-14,73.91,
2016-03-15,71.24,
2016-03-16,72.48,
2016-03-17,69.06,
2016-03-18,70.95,
2016-03-21,70.25,
2016-03-22,71.92,
2016-03-23,71.17,
2016-03-24,71.12,
2016-03-28,70.62,
2016-03-29,71.7,
2016-03-30,71.78,
2016-03-31,72.01,
2016-04-01,73.42,
2016-04-04,73.18,
2016-04-05,73.04,
2016-04-06,74.76,
2016-04-07,74.59,
2016-04-08,74.39,
2016-04-11,73.95,
2016-04-12,74.57,
2016-04-13,75.16,
2016-04-14,75.63,
2016-04-15,75.53,
2016-04-18,77.22,
2016-04-19,77.25,
2016-04-20,77.08,
2016-04-21,77.37,
2016-04-22,77.83,
2016-04-25,77.94,
2016-04-26,76.27,
2016-04-27,76.51,
2016-04-28,76.46,
2016-04-29,75.53,
2016-05-02,76.75,
2016-05-03,76.25,
2016-05-04,74.87,
2016-05-05,75.27,
2016-05-06,74.6,
2016-05-09,75.59,
2016-05-10,76.88,
2016-05-11,76.31,
2016-05-12,75.96,
2016-05-13,76.33,
2016-05-16,78.29,
2016-05-17,76.39,
2016-05-18,76.33,
2016-05-19,74.31,
2016-05-20,74.81,
2016-05-23,74.08,
2016-05-24,74.99,
2016-05-25,74.54,
2016-05-26,75.52,74.06814575195312
2016-05-27,74.99,74.3183822631836
2016-05-31,75.03,74.60863494873047
2016-06-01,74.94,74.819580078125
2016-06-02,75.46,74.9048843383789
2016-06-03,75.12,74.99846649169922
2016-06-06,74.84,75.02450561523438
2016-06-07,74.7,74.9323959350586
2016-06-08,74.91,74.75431823730469
2016-06-09,74.43,74.61216735839844
2016-06-10,73.95,74.44071197509766
2016-06-13,73.86,74.18109130859375
2016-06-14,74.32,73.90254974365234
2016-06-15,73.71,73.78009033203125
2016-06-16,74.25,73.67586517333984
2016-06-17,73.86,73.69107055664062
2016-06-20,73.28,73.70745086669922
2016-06-21,72.57,73.58412170410156
2016-06-22,73.07,73.24488067626953
2016-06-23,73.94,72.94950866699219
2016-06-24,74.33,72.9590072631836
2016-06-27,74.89,73.2507553100586
2016-06-28,75.15,73.73872375488281
2016-06-29,78.15,74.26383972167969
2016-06-30,78.75,75.27366638183594
2016-07-01,78.95,76.52105712890625
2016-07-05,79.64,77.61940002441406
2016-07-06,80.02,78.46959686279297
2016-07-07,79.32,79.0578384399414
2016-07-08,79.66,79.22785949707031
2016-07-11,79.14,79.17646026611328
2016-07-12,79.67,78.94660949707031
2016-07-13,79.36,78.79206848144531
2016-07-14,80.59,78.70250701904297
2016-07-15,80.22,78.93051147460938
2016-07-18,79.95,79.26366424560547
2016-07-19,79.97,79.50594329833984
2016-07-20,80.28,79.63241577148438
2016-07-21,80.4,79.73902893066406
2016-07-22,81.59,79.85910034179688
2016-07-25,81.98,80.2121810913086
2016-07-26,82.09,80.73230743408203
2016-07-27,83.4,81.24091339111328
2016-07-28,82.93,81.87041473388672
2016-07-29,82.89,82.3531265258789
2016-08-01,83.18,82.59597778320312
2016-08-02,83.32,82.69886016845703
2016-08-03,82.72,82.74771881103516
2016-08-04,82.42,82.64768981933594
2016-08-05,81.56,82.41387176513672
2016-08-08,81.6,81.99028778076172
2016-08-09,81.5,81.56208038330078
2016-08-10,80.55,81.24256134033203
2016-08-11,80.56,80.88322448730469
2016-08-12,80.22,80.56541442871094
2016-08-15,80.26,80.29037475585938
2016-08-16,79.84,80.1109848022461
2016-08-17,80.11,79.94747161865234
2016-08-18,79.78,79.8695297241211
2016-08-19,79.06,79.7967529296875
2016-08-22,79.29,79.57786560058594
2016-08-23,79.57,79.34394836425781
2016-08-24,78.44,79.22545623779297
2016-08-25,78.01,78.97920989990234
2016-08-26,78.24,78.5827865600586
2016-08-29,78.6,78.22988891601562
2016-08-30,77.77,78.07793426513672
2016-08-31,77.75,77.92015838623047
2016-09-01,77.23,77.75133514404297
2016-09-02,76.85,77.50485229492188
2016-09-06,78.51,77.17920684814453
2016-09-07,78.59,77.21572875976562
2016-09-08,79.89,77.5267105102539
2016-09-09,78.24,78.16345977783203
2016-09-12,79.08,78.50796508789062
2016-09-13,78.48,78.68365478515625
2016-09-14,78.29,78.62604522705078
2016-09-15,78.82,78.40023803710938
2016-09-16,78.8,78.24736022949219
2016-09-19,79.16,78.20101928710938
2016-09-20,79.88,78.30085754394531
2016-09-21,80.87,78.61373138427734
2016-09-22,81.29,79.19021606445312
2016-09-23,81.16,79.88137817382812
2016-09-26,79.52,80.43541717529297
2016-09-27,80.88,80.42031860351562
2016-09-28,80.71,80.3081283569336
2016-09-29,79.74,80.2131118774414
2016-09-30,80.26,79.96826171875
2016-10-03,81.0,79.77644348144531
2016-10-04,81.11,79.84520721435547
2016-10-05,81.75,80.10212707519531
2016-10-06,81.47,80.52887725830078
2016-10-07,82.09,80.90001678466797
2016-10-10,83.06,81.25337982177734
2016-10-11,81.81,81.72705078125
2016-10-12,80.51,81.92938995361328
2016-10-13,80.0,81.6087875366211
2016-10-14,79.27,80.9306869506836
2016-10-17,78.53,80.087158203125
2016-10-18,78.77,79.2204360961914
2016-10-19,78.56,78.60577392578125
2016-10-20,78.74,78.26945495605469
2016-10-21,78.25,78.20355987548828
2016-10-24,77.57,78.20293426513672
2016-10-25,77.75,78.06873321533203
2016-10-26,76.76,77.89545440673828
2016-10-27,76.16,77.54979705810547
2016-10-28,74.53,77.03487396240234
2016-10-31,73.84,76.20252990722656
2016-11-01,72.98,75.20713806152344
2016-11-02,72.65,74.18482971191406
2016-11-03,72.11,73.31938171386719
2016-11-04,72.49,72.64302062988281
2016-11-07,73.88,72.29337310791016
2016-11-08,74.02,72.49595642089844
2016-11-09,78.39,73.01453399658203
2016-11-10,78.34,74.42774200439453
2016-11-11,77.67,76.09844970703125
2016-11-14,77.02,77.28874206542969
2016-11-15,77.32,77.69144439697266
2016-11-16,76.94,77.57611083984375
2016-11-17,77.71,77.15918731689453
2016-11-18,76.67,76.85047912597656
2016-11-21,76.64,76.52066040039062
2016-11-22,75.99,76.22733306884766
2016-11-23,68.0,75.9075927734375
2016-11-25,69.12,74.03126525878906
2016-11-28,67.2,71.7127685546875
2016-11-29,67.15,69.4790267944336
2016-11-30,67.12,67.8622055053711
2016-12-01,65.97,67.02125549316406
2016-12-02,67.71,66.5875244140625
2016-12-05,67.26,66.760498046875
2016-12-06,67.8,67.16997528076172
2016-12-07,67.38,67.65493774414062
2016-12-08,67.19,67.94802856445312
2016-12-09,67.85,67.96598815917969
2016-12-12,67.61,67.92070007324219
2016-12-13,68.64,67.80965423583984
2016-12-14,67.67,67.86580657958984
2016-12-15,71.37,67.82516479492188
2016-12-16,73.31,68.42222595214844
2016-12-19,73.42,69.74288940429688
2016-12-20,73.38,71.20195770263672
2016-12-21,73.25,72.31301879882812
2016-12-22,73.26,72.8896713256836
2016-12-23,73.79,73.02500915527344
2016-12-27,73.81,73.01655578613281
2016-12-28,73.06,72.9896240234375
2016-12-29,73.56,72.83557891845703
2016-12-30,73.55,72.74160766601562
2017-01-03,74.6,72.74702453613281
2017-01-04,74.72,73.04109191894531
2017-01-05,75.59,73.50126647949219
2017-01-06,75.67,74.12207794189453
2017-01-09,76.27,74.72367858886719
2017-01-10,76.27,75.28453063964844
2017-01-11,75.26,75.7035903930664
2017-01-12,77.15,75.73542022705078
2017-01-13,77.4,75.89313507080078
2017-01-17,76.85,76.22177124023438
2017-01-18,77.53,76.46609497070312
2017-01-19,76.84,76.7087173461914
2017-01-20,76.81,76.77565002441406
2017-01-23,76.32,76.70140838623047
2017-01-24,74.85,76.47781372070312
2017-01-25,74.85,75.92683410644531
2017-01-26,74.58,75.29376220703125
2017-01-27,75.38,74.7458267211914
2017-01-30,74.7,74.55713653564453
