Date,Original,Predicted
2016-01-04,65.38,
2016-01-05,65.59,
2016-01-06,63.62,
2016-01-07,61.82,
2016-01-08,62.64999999999999,
2016-01-11,63.15999999999999,
2016-01-12,64.32,
2016-01-13,60.27,
2016-01-14,60.739999999999995,
2016-01-15,59.55,
2016-01-19,58.38,
2016-01-20,59.81,
2016-01-21,61.650000000000006,
2016-01-22,62.459999999999994,
2016-01-25,60.120000000000005,
2016-01-26,61.94,
2016-01-27,60.64,
2016-01-28,59.209999999999994,
2016-01-29,61.28,
2016-02-01,61.42,
2016-02-02,59.07000000000001,
2016-02-03,59.39,
2016-02-04,60.71000000000001,
2016-02-05,60.01,
2016-02-08,59.44,
2016-02-09,60.77,
2016-02-10,61.379999999999995,
2016-02-11,61.59000000000001,
2016-02-12,63.800000000000004,
2016-02-16,65.06,
2016-02-17,66.68,
2016-02-18,64.94,
2016-02-19,65.71,
2016-02-22,66.79,
2016-02-23,66.27,
2016-02-24,67.03,
2016-02-25,68.3,
2016-02-26,68.15,
2016-02-29,68.15,
2016-03-01,68.93,
2016-03-02,68.83,
2016-03-03,68.68,
2016-03-04,68.98,
2016-03-07,69.54,
2016-03-08,68.41,
2016-03-09,68.59,
2016-03-10,67.96,
2016-03-11,68.89,
2016-03-14,70.93,
2016-03-15,70.41,
2016-03-16,71.24,
2016-03-17,71.8,
2016-03-18,73.16,
2016-03-21,72.3,
2016-03-22,70.92,
2016-03-23,69.6,
2016-03-24,68.64,
2016-03-28,71.34,
2016-03-29,70.7,
2016-03-30,71.55,
2016-03-31,71.18,
2016-04-01,67.13,
2016-04-04,66.36,
2016-04-05,65.84,
2016-04-06,66.14,
2016-04-07,65.53,
2016-04-08,66.57,
2016-04-11,67.12,
2016-04-12,67.34,
2016-04-13,67.63,
2016-04-14,67.84,
2016-04-15,67.92,
2016-04-18,67.54,
2016-04-19,67.81,
2016-04-20,67.86,
2016-04-21,68.23,
2016-04-22,66.54,
2016-04-25,66.98,
2016-04-26,67.0,
2016-04-27,68.68,
2016-04-28,69.24,
2016-04-29,70.09,
2016-05-02,70.04,
2016-05-03,70.1,
2016-05-04,69.23,
2016-05-05,69.27,
2016-05-06,69.22,
2016-05-09,69.13,
2016-05-10,70.46,
2016-05-11,68.92,
2016-05-12,67.97,
2016-05-13,66.88,
2016-05-16,67.71,
2016-05-17,67.255,
2016-05-18,65.71,
2016-05-19,64.97,
2016-05-20,64.98,
2016-05-23,64.86,
2016-05-24,65.37,
2016-05-25,66.2,
2016-05-26,65.56,66.24681854248047
2016-05-27,66.31,66.37638092041016
2016-05-31,66.04,66.55781555175781
2016-06-01,67.15,66.63761901855469
2016-06-02,68.52,66.91099548339844
2016-06-03,68.03,67.5394058227539
2016-06-06,67.85,68.00785064697266
2016-06-07,67.31,68.1957015991211
2016-06-08,67.56,68.08090209960938
2016-06-09,67.22,67.96006774902344
2016-06-10,66.49,67.81995391845703
2016-06-13,65.96,67.54131317138672
2016-06-14,65.38,67.16329193115234
2016-06-15,65.72,66.72583770751953
2016-06-16,65.59,66.48590850830078
2016-06-17,66.47,66.37471771240234
2016-06-20,67.84,66.5523910522461
2016-06-21,67.71,67.1336441040039
