Date,Original,Predicted
2016-01-04,52.48,
2016-01-05,53.15,
2016-01-06,52.42,
2016-01-07,51.96000000000001,
2016-01-08,51.08,
2016-01-11,51.25,
2016-01-12,51.76,
2016-01-13,50.66,
2016-01-14,51.8,
2016-01-15,51.14,
2016-01-19,51.34,
2016-01-20,50.55,
2016-01-21,50.92,
2016-01-22,51.35,
2016-01-25,50.92,
2016-01-26,51.45,
2016-01-27,50.36999999999999,
2016-01-28,49.2,
2016-01-29,50.67,
2016-02-01,50.75000000000001,
2016-02-02,50.41,
2016-02-03,50.05,
2016-02-04,48.589999999999996,
2016-02-05,49.38,
2016-02-08,48.83,
2016-02-09,49.15999999999999,
2016-02-10,49.53000000000001,
2016-02-11,48.85,
2016-02-12,49.03,
2016-02-16,49.78,
2016-02-17,50.60000000000001,
2016-02-18,50.32,
2016-02-19,50.12,
2016-02-22,50.77,
2016-02-23,50.54,
2016-02-24,50.56,
2016-02-25,51.0,
2016-02-26,50.64,
2016-02-29,50.21000000000001,
2016-03-01,51.75,
2016-03-02,52.27,
2016-03-03,52.099999999999994,
2016-03-04,52.08,
2016-03-07,52.63999999999999,
2016-03-08,52.45,
2016-03-09,52.36000000000001,
2016-03-10,53.040000000000006,
2016-03-11,53.2,
2016-03-14,53.08,
2016-03-15,52.42,
2016-03-16,51.94,
2016-03-17,51.53,
2016-03-18,52.24999999999999,
2016-03-21,52.79999999999999,
2016-03-22,53.03000000000001,
2016-03-23,53.08,
2016-03-24,53.07,
2016-03-28,52.83,
2016-03-29,53.31999999999999,
2016-03-30,53.22,
2016-03-31,52.910000000000004,
2016-04-01,53.70000000000001,
2016-04-04,54.39999999999999,
2016-04-05,54.24000000000001,
2016-04-06,55.63,
2016-04-07,55.42,
2016-04-08,55.36,
2016-04-11,55.05,
2016-04-12,55.34,
2016-04-13,55.96,
2016-04-14,56.45,
2016-04-15,56.13999999999999,
2016-04-18,56.51,
2016-04-19,56.86,
2016-04-20,56.58,
2016-04-21,56.6,
2016-04-22,56.74,
2016-04-25,56.22,
2016-04-26,56.04,
2016-04-27,56.31,
2016-04-28,55.74,
2016-04-29,54.84,
2016-05-02,55.3,
2016-05-03,55.07999999999999,
2016-05-04,54.81,
2016-05-05,54.09000000000001,
2016-05-06,53.6,
2016-05-09,54.10000000000001,
2016-05-10,54.68,
2016-05-11,54.31,
2016-05-12,54.120000000000005,
2016-05-13,53.88,
2016-05-16,54.650000000000006,
2016-05-17,54.32,
2016-05-18,54.67,
2016-05-19,54.58,
2016-05-20,55.11,
2016-05-23,54.919999999999995,
2016-05-24,55.599999999999994,
2016-05-25,56.57,
2016-05-26,56.39000000000001,55.73243713378906
2016-05-27,56.48,56.19431686401367
2016-05-31,56.26,56.424964904785156
2016-06-01,56.33,56.38032531738281
2016-06-02,56.81999999999999,56.257137298583984
2016-06-03,56.64,56.34415817260742
2016-06-06,57.17,56.463890075683594
2016-06-07,57.0,56.71055221557617
2016-06-08,57.620000000000005,56.875667572021484
2016-06-09,57.18,57.1376953125
2016-06-10,56.809999999999995,57.214569091796875
2016-06-13,56.11,57.0188102722168
2016-06-14,56.25,56.53772735595703
2016-06-15,56.09,56.18270492553711
2016-06-16,57.5,56.01369857788086
2016-06-17,55.89,56.46888732910156
2016-06-20,56.13999999999999,56.5161018371582
2016-06-21,56.25,56.32672882080078
2016-06-22,57.04,56.18352508544922
2016-06-23,57.68,56.42079162597656
2016-06-24,55.88,56.99235916137695
2016-06-27,55.31000000000001,56.85615921020508
2016-06-28,55.58,56.14638900756836
2016-06-29,57.05,55.59963607788086
2016-06-30,57.61000000000001,55.90830612182617
2016-07-01,57.94,56.729915618896484
2016-07-05,58.0,57.536006927490234
2016-07-06,59.16,57.988258361816406
2016-07-07,58.78,58.49812316894531
2016-07-08,59.35000000000001,58.75514602661133
2016-07-11,59.34000000000001,58.97397994995117
2016-07-12,59.6,59.11881637573242
2016-07-13,59.55,59.27167892456055
2016-07-14,59.64999999999999,59.359004974365234
2016-07-15,59.629999999999995,59.41639709472656
2016-07-18,59.02,59.439666748046875
2016-07-19,58.66,59.20158004760742
2016-07-20,58.79,58.7996711730957
2016-07-21,58.79,58.577938079833984
2016-07-22,58.82000000000001,58.563194274902344
2016-07-25,58.559999999999995,58.64576721191406
2016-07-26,58.36,58.6197395324707
2016-07-27,58.6,58.46488952636719
2016-07-28,58.42999999999999,58.419193267822266
2016-07-29,58.66,58.40406799316406
2016-08-01,58.66,58.48273468017578
2016-08-02,58.33,58.57588195800781
2016-08-03,57.65,58.501766204833984
2016-08-04,57.84,58.11488723754883
2016-08-05,63.86,57.82108688354492
2016-08-08,62.85999999999999,60.02716827392578
2016-08-09,62.49,62.35252380371094
2016-08-10,62.64,63.21564865112305
2016-08-11,63.63,62.932334899902344
2016-08-12,63.35,62.861515045166016
2016-08-15,63.32,62.98915100097656
2016-08-16,63.04,63.09722137451172
2016-08-17,63.29,62.9871940612793
2016-08-18,63.63,62.94786071777344
2016-08-19,63.36,63.15312576293945
2016-08-22,63.54999999999999,63.242000579833984
2016-08-23,63.58,63.28816604614258
2016-08-24,62.730000000000004,63.33256912231445
2016-08-25,62.31999999999999,62.976417541503906
2016-08-26,62.85000000000001,62.42726516723633
2016-08-29,63.00999999999999,62.3616828918457
2016-08-30,62.71000000000001,62.65437698364258
2016-08-31,62.79,62.77294158935547
2016-09-01,62.9,62.74633026123047
2016-09-02,62.98,62.74871063232422
2016-09-06,63.24000000000001,62.824642181396484
2016-09-07,62.86999999999999,63.01423645019531
2016-09-08,63.24000000000001,62.991729736328125
2016-09-09,62.49,63.032649993896484
2016-09-12,63.19,62.77888107299805
2016-09-13,61.81,62.813629150390625
2016-09-14,61.35,62.390380859375
2016-09-15,62.38,61.70539855957031
2016-09-16,62.28,61.744773864746094
2016-09-19,61.33,62.09401321411133
2016-09-20,61.93999999999999,61.90350341796875
2016-09-21,62.70000000000001,61.76968002319336
2016-09-22,63.02,62.139617919921875
2016-09-23,62.96,62.7127799987793
2016-09-26,62.15,63.018062591552734
2016-09-27,62.57,62.65937423706055
2016-09-28,63.3,62.38017654418945
2016-09-29,61.91,62.69548034667969
2016-09-30,62.41,62.50489044189453
2016-10-03,62.52,62.29551315307617
2016-10-04,62.459999999999994,62.30574035644531
2016-10-05,62.8,62.386837005615234
2016-10-06,62.66,62.580440521240234
2016-10-07,62.77,62.666290283203125
2016-10-10,63.9,62.69337463378906
2016-10-11,61.92999999999999,63.20565414428711
2016-10-12,61.660000000000004,62.82842254638672
2016-10-13,62.51,62.01435089111328
2016-10-14,62.14,61.89995193481445
2016-10-17,61.52,62.05913543701172
2016-10-18,62.09,61.8910026550293
2016-10-19,61.87,61.86101531982422
2016-10-20,61.919999999999995,61.8670768737793
2016-10-21,61.2,61.88620376586914
2016-10-24,60.75,61.58494567871094
2016-10-25,61.95,61.07398223876953
2016-10-26,60.87,61.255611419677734
2016-10-27,61.29,61.253997802734375
2016-10-28,58.84,61.237892150878906
2016-10-31,58.72,60.22383499145508
2016-11-01,59.3,59.14981460571289
2016-11-02,58.84,58.88964080810547
2016-11-03,58.42999999999999,58.938232421875
2016-11-04,58.82000000000001,58.83891296386719
2016-11-07,60.04999999999999,58.81801223754883
2016-11-08,60.51,59.339935302734375
2016-11-09,64.18,60.098846435546875
2016-11-10,64.96,62.07838821411133
2016-11-11,63.95,64.20921325683594
2016-11-14,63.529999999999994,64.8094482421875
2016-11-15,63.65,64.08427429199219
2016-11-16,62.63,63.36201477050781
2016-11-17,62.70000000000001,62.73451232910156
2016-11-18,61.87,62.4694709777832
2016-11-21,62.3,62.09951400756836
2016-11-22,61.7,61.99302673339844
2016-11-23,61.64000000000001,61.81132507324219
2016-11-25,62.21,61.61600112915039
2016-11-28,61.79999999999999,61.770389556884766
2016-11-29,62.190000000000005,61.84751892089844
2016-11-30,61.19,61.97529602050781
2016-12-01,60.76,61.65214157104492
2016-12-02,61.13,61.07374954223633
2016-12-05,60.25,60.868141174316406
2016-12-06,60.28,60.5951042175293
2016-12-07,60.06,60.368438720703125
2016-12-08,60.12,60.18584060668945
2016-12-09,61.23,60.121341705322266
2016-12-12,61.72,60.588985443115234
2016-12-13,61.78999999999999,61.307647705078125
2016-12-14,61.79999999999999,61.7924919128418
2016-12-15,62.37,61.909854888916016
2016-12-16,62.44,62.0684700012207
2016-12-19,61.14,62.25925827026367
2016-12-20,60.5,61.799156188964844
2016-12-21,59.43,60.954933166503906
2016-12-22,59.58,59.96443557739258
2016-12-23,59.56,59.46562957763672
2016-12-27,59.79,59.41756057739258
2016-12-28,59.27,59.622222900390625
2016-12-29,59.04,59.59803009033203
2016-12-30,58.87,59.34900665283203
2017-01-03,60.15,59.0611572265625
2017-01-04,60.13,59.40261459350586
2017-01-05,60.11,59.91838836669922
2017-01-06,60.27,60.20709991455078
2017-01-09,61.10000000000001,60.296688079833984
2017-01-10,59.92,60.616275787353516
2017-01-11,61.63000000000001,60.459903717041016
2017-01-12,62.21,60.7928352355957
2017-01-13,62.34,61.546630859375
2017-01-17,61.48,62.16221618652344
2017-01-18,61.17,61.9962158203125
2017-01-19,60.33,61.405452728271484
2017-01-20,62.53,60.64049530029297
2017-01-23,61.81,61.13230514526367
2017-01-24,61.21,61.725399017333984
2017-01-25,61.08,61.654808044433594
2017-01-26,61.2,61.233821868896484
2017-01-27,61.75,60.9912109375
2017-01-30,61.43,61.22698974609375
2017-01-31,61.99,61.42380905151367
2017-02-01,62.1,61.68549346923828
2017-02-02,64.18,61.922271728515625
2017-02-03,64.29,62.94386672973633
2017-02-06,64.94,63.952083587646484
2017-02-07,64.2,64.65703582763672
2017-02-08,64.32,64.53504943847656
2017-02-09,64.39,64.18067169189453
2017-02-10,64.15,64.05929565429688
2017-02-13,64.77,64.02355194091797
2017-02-14,65.66,64.2994384765625
2017-02-15,65.16,64.99845886230469
2017-02-16,65.26,65.26358795166016
2017-02-17,65.39,65.1819076538086
2017-02-21,65.48,65.12183380126953
2017-02-22,65.29,65.20230102539062
2017-02-23,65.85,65.21109771728516
2017-02-24,66.16,65.44065856933594
2017-02-27,65.85,65.82413482666016
2017-02-28,65.87,65.89811706542969
2017-03-01,66.21,65.78666687011719
2017-03-02,66.08,65.87369537353516
2017-03-03,66.58,65.97062683105469
2017-03-06,66.47,66.24236297607422
2017-03-07,65.96,66.40015411376953
2017-03-08,65.8,66.14512634277344
2017-03-09,65.89,65.78406524658203
2017-03-10,65.6,65.67725372314453
2017-03-13,64.15,65.60790252685547
2017-03-14,64.2,64.83582305908203
2017-03-15,64.7,64.182373046875
2017-03-16,64.18,64.26242065429688
2017-03-17,63.9,64.35157012939453
2017-03-20,64.11,64.15970611572266
2017-03-21,63.91,64.04297637939453
2017-03-22,63.5,63.967063903808594
2017-03-23,63.28,63.740745544433594
2017-03-24,63.18,63.44832992553711
2017-03-27,63.19,63.24440002441406
2017-03-28,63.34,63.19103240966797
2017-03-29,63.64,63.28479766845703
2017-03-30,63.45,63.514862060546875
2017-03-31,63.53999999999999,63.587684631347656
2017-04-03,63.47,63.57001876831055
2017-04-04,63.669999999999995,63.50770950317383
2017-04-05,63.57,63.55580520629883
2017-04-06,63.24000000000001,63.589088439941406
2017-04-07,63.129999999999995,63.427059173583984
2017-04-10,62.55,63.20237731933594
2017-04-11,62.580000000000005,62.81928253173828
2017-04-12,63.05,62.56596755981445
2017-04-13,62.61,62.72525405883789
2017-04-17,62.8,62.78107452392578
2017-04-18,62.27,62.785221099853516
2017-04-19,62.64,62.54335403442383
2017-04-20,62.55,62.470848083496094
