Date,Original,Predicted
2016-01-04,103.57,
2016-01-05,104.58,
2016-01-06,104.24,
2016-01-07,104.7,
2016-01-08,105.17,
2016-01-11,105.58,
2016-01-12,105.38,
2016-01-13,104.62,
2016-01-14,105.69,
2016-01-15,105.26,
2016-01-19,107.81,
2016-01-20,105.31,
2016-01-21,105.04,
2016-01-22,106.6,
2016-01-25,106.42,
2016-01-26,106.56,
2016-01-27,106.73,
2016-01-28,108.3,
2016-01-29,111.71,
2016-02-01,112.98,
2016-02-02,113.91,
2016-02-03,114.75,
2016-02-04,113.52,
2016-02-05,113.61,
2016-02-08,114.17,
2016-02-09,115.35,
2016-02-10,113.74,
2016-02-11,111.9,
2016-02-12,111.67,
2016-02-16,112.35,
2016-02-17,111.43,
2016-02-18,114.33,
2016-02-19,114.75,
2016-02-22,115.7,
2016-02-23,116.12,
2016-02-24,116.0,
2016-02-25,115.84,
2016-02-26,112.52,
2016-02-29,112.82,
2016-03-01,112.6,
2016-03-02,112.36,
2016-03-03,111.62,
2016-03-04,114.29,
2016-03-07,114.45,
2016-03-08,115.45,
2016-03-09,116.26,
2016-03-10,115.69,
2016-03-11,115.82,
2016-03-14,115.84,
2016-03-15,115.6,
2016-03-16,117.12,
2016-03-17,118.33,
2016-03-18,118.5,
2016-03-21,117.57,
2016-03-22,117.04,
2016-03-23,117.69,
2016-03-24,118.48,
2016-03-28,117.58,
2016-03-29,119.01,
2016-03-30,118.5,
2016-03-31,118.34,
2016-04-01,118.71,
2016-04-04,118.72,
2016-04-05,116.35,
2016-04-06,116.71,
2016-04-07,116.19,
2016-04-08,116.81,
2016-04-11,116.23,
2016-04-12,117.05,
2016-04-13,116.48,
2016-04-14,116.15,
2016-04-15,117.43,
2016-04-18,117.77,
2016-04-19,118.1,
2016-04-20,115.51,
2016-04-21,112.91,
2016-04-22,114.44,
2016-04-25,114.47,
2016-04-26,115.52,
2016-04-27,116.89,
2016-04-28,116.47,
2016-04-29,117.58,
2016-05-02,118.06,
2016-05-03,118.42,
2016-05-04,119.46,
2016-05-05,118.85,
2016-05-06,118.49,
2016-05-09,118.89,
2016-05-10,119.6,
2016-05-11,119.69,
2016-05-12,121.15,
2016-05-13,120.76,
2016-05-16,121.48,
2016-05-17,119.78,
2016-05-18,118.02,
2016-05-19,118.41,
2016-05-20,119.33,
2016-05-23,117.99,
2016-05-24,119.89,
2016-05-25,119.1,
