Date,Original,Predicted
2016-01-04,98.77,
2016-01-05,99.45,
2016-01-06,99.48,
2016-01-07,97.57,
2016-01-08,97.21,
2016-01-11,97.44,
2016-01-12,97.62,
2016-01-13,96.5,
2016-01-14,95.81,
2016-01-15,93.93,
2016-01-19,95.77,
2016-01-20,93.77,
2016-01-21,94.47,
2016-01-22,95.85,
2016-01-25,95.94,
2016-01-26,96.32,
2016-01-27,95.94,
2016-01-28,97.45,
2016-01-29,99.3,
2016-02-01,99.03,
2016-02-02,98.21,
2016-02-03,98.72,
2016-02-04,97.39,
2016-02-05,97.32,
2016-02-08,97.52,
2016-02-09,98.28,
2016-02-10,97.62,
2016-02-11,96.9,
2016-02-12,98.49,
2016-02-16,98.6,
2016-02-17,99.55,
2016-02-18,99.62,
2016-02-19,99.58,
2016-02-22,99.87,
2016-02-23,99.54,
2016-02-24,99.68,
2016-02-25,100.67,
2016-02-26,98.36,
2016-02-29,97.82,
2016-03-01,99.09,
2016-03-02,98.33,
2016-03-03,99.16,
2016-03-04,100.0,
2016-03-07,99.25,
2016-03-08,99.74,
2016-03-09,100.2,
2016-03-10,100.78,
2016-03-11,101.31,
2016-03-14,100.65,
2016-03-15,101.15,
2016-03-16,100.83,
2016-03-17,101.87,
2016-03-18,101.29,
2016-03-21,101.54,
2016-03-22,100.77,
2016-03-23,100.81,
2016-03-24,100.68,
2016-03-28,100.98,
2016-03-29,101.37,
2016-03-30,102.69000000000001,
2016-03-31,102.47999999999999,
2016-04-01,103.78000000000002,
2016-04-04,103.82,
2016-04-05,103.09999999999998,
2016-04-06,103.92,
2016-04-07,103.6,
2016-04-08,105.08000000000001,
2016-04-11,104.30000000000001,
2016-04-12,104.91,
2016-04-13,104.12000000000002,
2016-04-14,103.16,
2016-04-15,103.77,
2016-04-18,103.72,
2016-04-19,104.31999999999998,
2016-04-20,102.44,
2016-04-21,100.99,
2016-04-22,101.98,
2016-04-25,102.8,
2016-04-26,102.6,
2016-04-27,102.62999999999998,
2016-04-28,102.96999999999998,
2016-04-29,102.96,
2016-05-02,103.43,
2016-05-03,103.56,
2016-05-04,104.02,
2016-05-05,104.21,
2016-05-06,104.96,
2016-05-09,105.28,
2016-05-10,106.57,
2016-05-11,105.72,
2016-05-12,106.1,
2016-05-13,104.18,
2016-05-16,104.13,
2016-05-17,102.37,
2016-05-18,100.91,
2016-05-19,101.33,
2016-05-20,100.1,
2016-05-23,100.42,
2016-05-24,101.09,
2016-05-25,101.09,
2016-05-26,101.9,100.63800048828125
2016-05-27,101.96,100.99391174316406
2016-05-31,101.17,101.38079833984375
2016-06-01,101.57,101.46829223632812
2016-06-02,102.0,101.47730255126953
2016-06-03,102.52999999999999,101.59983825683594
2016-06-06,102.7,101.90876770019531
2016-06-07,102.49,102.27466583251953
2016-06-08,103.18,102.4997329711914
2016-06-09,103.66,102.76256561279297
2016-06-10,103.30999999999999,103.1221923828125
2016-06-13,103.06,103.3410415649414
2016-06-14,103.23,103.34549713134766
2016-06-15,102.86,103.2975082397461
2016-06-16,103.84999999999998,103.16268920898438
2016-06-17,103.40999999999998,103.28919982910156
2016-06-20,103.37000000000002,103.40530395507812
2016-06-21,104.08,103.43537139892578
2016-06-22,103.74,103.5987319946289
2016-06-23,104.44,103.70162200927734
2016-06-24,101.98,103.91776275634766
2016-06-27,102.13,103.46552276611328
2016-06-28,102.14,102.82849884033203
2016-06-29,103.12,102.35765075683594
2016-06-30,105.94,102.37984466552734
2016-07-01,105.63,103.38274383544922
2016-07-05,106.42,104.49662017822266
2016-07-06,105.92,105.45577239990234
2016-07-07,107.48999999999998,105.89212799072266
2016-07-08,108.26999999999998,106.41761779785156
2016-07-11,108.91,107.15145111083984
2016-07-12,108.79,107.9710464477539
2016-07-13,109.91000000000001,108.51718139648438
2016-07-14,109.96000000000001,109.10107421875
2016-07-15,109.66,109.56549072265625
2016-07-18,109.21,109.7139892578125
2016-07-19,109.53,109.5221939086914
2016-07-20,108.91999999999999,109.37528228759766
2016-07-21,108.57999999999998,109.1301498413086
2016-07-22,109.19,108.79068756103516
2016-07-25,109.01999999999998,108.71410369873047
2016-07-26,108.20000000000002,108.72428131103516
2016-07-27,107.48,108.4579086303711
2016-07-28,108.13,107.89847564697266
2016-07-29,108.91999999999999,107.62601470947266
2016-08-01,108.93000000000002,107.86471557617188
2016-08-02,108.72,108.23688507080078
2016-08-03,108.03999999999999,108.4190673828125
2016-08-04,108.42,108.21720123291016
2016-08-05,108.65999999999998,108.05729675292969
2016-08-08,108.13999999999999,108.10779571533203
2016-08-09,108.28,108.07929229736328
2016-08-10,108.82,108.04476165771484
2016-08-11,108.47999999999999,108.20259857177734
2016-08-12,108.59000000000002,108.29552459716797
2016-08-15,108.72,108.34215545654297
2016-08-16,108.0,108.40414428710938
2016-08-17,108.47,108.23216247558594
2016-08-18,108.28,108.15941619873047
2016-08-19,108.17000000000002,108.12747192382812
2016-08-22,107.96000000000001,108.07989501953125
2016-08-23,107.87999999999998,107.966796875
2016-08-24,108.11,107.83521270751953
2016-08-25,107.87999999999998,107.81847381591797
2016-08-26,107.45,107.79143524169922
2016-08-29,107.99,107.61858367919922
2016-08-30,107.21,107.60299682617188
2016-08-31,106.75,107.44176483154297
2016-09-01,107.29000000000002,107.10305786132812
2016-09-02,107.87,106.97210693359375
2016-09-06,107.92,107.18389129638672
2016-09-07,107.21,107.48566436767578
2016-09-08,106.88,107.47061920166016
2016-09-09,104.05,107.195068359375
2016-09-12,106.02,106.06842041015625
2016-09-13,104.59000000000002,105.52325439453125
2016-09-14,105.04999999999998,105.10099029541016
2016-09-15,105.48,104.9244155883789
2016-09-16,105.28,105.01492309570312
2016-09-19,105.67,105.11930084228516
2016-09-20,106.30000000000001,105.28023529052734
2016-09-21,107.13000000000001,105.60840606689453
2016-09-22,107.82,106.1714859008789
2016-09-23,107.34000000000002,106.88267517089844
2016-09-26,107.03000000000002,107.28529357910156
2016-09-27,107.48999999999998,107.30170440673828
2016-09-28,107.38,107.31122589111328
2016-09-29,107.76000000000002,107.33808135986328
2016-09-30,108.77,107.48660278320312
2016-10-03,108.25000000000001,107.95612335205078
2016-10-04,107.09999999999998,108.24705505371094
2016-10-05,106.01,107.94598388671875
2016-10-06,106.4,107.13716125488281
2016-10-07,105.99,106.54131317138672
2016-10-10,106.21999999999998,106.16650390625
2016-10-11,105.57000000000001,106.04443359375
2016-10-12,106.08,105.84382629394531
2016-10-13,105.92,105.77555084228516
2016-10-14,106.83,105.74955749511719
2016-10-17,106.85,106.00811004638672
2016-10-18,106.95000000000002,106.33441925048828
2016-10-19,106.26,106.59613037109375
2016-10-20,105.87,106.53402709960938
2016-10-21,105.62,106.23165893554688
2016-10-24,107.30999999999999,105.87982940673828
2016-10-25,107.23,106.14949798583984
2016-10-26,107.06999999999998,106.62715911865234
2016-10-27,106.62999999999998,106.93389129638672
2016-10-28,107.06999999999998,106.8949966430664
2016-10-31,107.2,106.85535430908203
2016-11-01,106.70999999999998,106.9163818359375
2016-11-02,106.70999999999998,106.86250305175781
2016-11-03,106.62999999999998,106.7558822631836
2016-11-04,105.81000000000002,106.6431884765625
2016-11-07,106.96,106.31903076171875
2016-11-08,108.72,106.33594512939453
2016-11-09,107.25,107.07342529296875
2016-11-10,103.25,107.44441223144531
2016-11-11,103.19,106.21009826660156
2016-11-14,101.39,104.64625549316406
2016-11-15,101.85,103.10946655273438
2016-11-16,101.71,102.20014190673828
2016-11-17,101.62,101.78291320800781
2016-11-18,101.31,101.60746765136719
2016-11-21,102.26,101.45445251464844
2016-11-22,102.89,101.56535339355469
2016-11-23,101.53,101.95506286621094
2016-11-25,102.17,102.02381134033203
2016-11-28,102.79,102.04287719726562
2016-11-29,102.54000000000002,102.24163055419922
2016-11-30,100.1,102.44011688232422
2016-12-01,99.03,101.94583129882812
2016-12-02,100.6,100.9652328491211
2016-12-05,100.71,100.46049499511719
2016-12-06,101.55,100.42115783691406
2016-12-07,102.81,100.78375244140625
2016-12-08,102.15,101.52263641357422
2016-12-09,103.57000000000001,102.06349182128906
2016-12-12,104.72,102.66818237304688
2016-12-13,105.63,103.48226928710938
2016-12-14,104.47,104.44347381591797
2016-12-15,105.3,104.87410736083984
2016-12-16,105.87,105.11429595947266
2016-12-19,105.40999999999998,105.41912841796875
2016-12-20,104.90000000000002,105.56634521484375
2016-12-21,104.7,105.43152618408203
2016-12-22,105.35,105.14794921875
2016-12-23,105.09,105.08505249023438
2016-12-27,105.13000000000001,105.08374786376953
2016-12-28,104.62,105.08505249023438
2016-12-29,104.99,104.91947174072266
2016-12-30,104.62999999999998,104.8150405883789
2017-01-03,104.65,104.6838607788086
2017-01-04,104.85,104.57301330566406
2017-01-05,104.70999999999998,104.56108093261719
2017-01-06,104.56000000000002,104.5586166381836
2017-01-09,103.45999999999998,104.50628662109375
2017-01-10,101.97,104.13390350341797
2017-01-11,101.81,103.30961608886719
2017-01-12,101.84,102.4986343383789
2017-01-13,101.55,101.98333740234375
2017-01-17,102.19,101.67825317382812
2017-01-18,102.74000000000001,101.685302734375
2017-01-19,102.36,101.96633911132812
2017-01-20,103.24,102.18434143066406
2017-01-23,104.01,102.50989532470703
2017-01-24,104.70999999999998,103.02571105957031
2017-01-25,104.60999999999999,103.6919937133789
2017-01-26,104.13999999999999,104.21446990966797
2017-01-27,103.48,104.37165832519531
2017-01-30,103.69,104.13607788085938
2017-01-31,103.78000000000002,103.87784576416016
2017-02-01,103.01,103.75946807861328
2017-02-02,104.03,103.53742218017578
2017-02-03,105.11,103.57635498046875
2017-02-06,104.57,104.03913116455078
2017-02-07,105.61,104.40666198730469
2017-02-08,105.69,104.85374450683594
2017-02-09,105.97,105.24604797363281
2017-02-10,106.1,105.57026672363281
2017-02-13,106.52,105.81184387207031
2017-02-14,106.91999999999999,106.07552337646484
2017-02-15,106.73,106.40338897705078
2017-02-16,108.12000000000002,106.60491943359375
2017-02-17,108.15000000000002,107.09420013427734
2017-02-21,109.35999999999999,107.60028076171875
2017-02-22,109.40999999999998,108.30008697509766
2017-02-23,109.54,108.88465881347656
2017-02-24,109.82999999999998,109.23977661132812
2017-02-27,109.27,109.4758529663086
2017-02-28,110.38,109.42219543457031
2017-03-01,109.73000000000002,109.63520812988281
2017-03-02,110.11,109.7168197631836
2017-03-03,110.56000000000002,109.79642486572266
