Date,Original,Predicted
2016-01-04,78.37,
2016-01-05,78.62,
2016-01-06,77.86,
2016-01-07,77.18,
2016-01-08,75.97,
2016-01-11,76.67,
2016-01-12,76.51,
2016-01-13,75.85,
2016-01-14,76.15,
2016-01-15,74.98,
2016-01-19,76.73,
2016-01-20,75.83,
2016-01-21,76.72,
2016-01-22,77.36,
2016-01-25,76.85,
2016-01-26,78.81,
2016-01-27,78.8,
2016-01-28,79.82,
2016-01-29,81.69,
2016-02-01,81.12,
2016-02-02,80.22,
2016-02-03,81.1,
2016-02-04,80.7,
2016-02-05,81.2,
2016-02-08,82.62,
2016-02-09,82.64,
2016-02-10,81.62,
2016-02-11,79.9,
2016-02-12,80.99,
2016-02-16,81.47,
2016-02-17,82.45,
2016-02-18,81.98,
2016-02-19,81.79,
2016-02-22,82.13,
2016-02-23,81.81,
2016-02-24,81.56,
2016-02-25,82.34,
2016-02-26,81.1,
2016-02-29,80.29,
2016-03-01,81.23,
2016-03-02,82.55,
2016-03-03,82.84,
2016-03-04,83.49,
2016-03-07,83.1,
2016-03-08,83.06,
2016-03-09,82.96,
2016-03-10,82.28,
2016-03-11,81.75,
2016-03-14,81.17,
2016-03-15,81.31,
2016-03-16,81.34,
2016-03-17,82.75,
2016-03-18,83.15,
2016-03-21,83.32,
2016-03-22,82.74,
2016-03-23,82.82,
2016-03-24,82.89,
2016-03-28,82.62,
2016-03-29,82.8,
2016-03-30,82.68,
2016-03-31,82.31,
2016-04-01,83.53,
2016-04-04,83.21,
2016-04-05,83.16,
2016-04-06,83.81,
2016-04-07,83.24,
2016-04-08,83.2,
2016-04-11,82.73,
2016-04-12,82.83,
2016-04-13,82.46,
2016-04-14,82.01,
2016-04-15,82.3,
2016-04-18,82.83,
2016-04-19,83.28,
2016-04-20,81.55,
2016-04-21,80.8,
2016-04-22,80.95,
2016-04-25,81.41,
2016-04-26,79.55,
2016-04-27,79.89,
2016-04-28,79.76,
2016-04-29,80.12,
2016-05-02,80.97,
2016-05-03,81.1,
2016-05-04,81.6,
2016-05-05,81.3,
2016-05-06,82.13,
2016-05-09,82.12,
2016-05-10,82.48,
2016-05-11,82.15,
2016-05-12,82.41,
2016-05-13,81.23,
2016-05-16,81.63,
2016-05-17,80.62,
2016-05-18,79.85,
2016-05-19,80.19,
2016-05-20,80.02,
2016-05-23,80.2,
2016-05-24,80.97,
2016-05-25,81.48,
2016-05-26,81.22,81.00108337402344
2016-05-27,81.43,81.27381134033203
2016-05-31,81.04,81.51372528076172
2016-06-01,81.79,81.61980438232422
2016-06-02,81.95,81.7577133178711
2016-06-03,82.47,81.93311309814453
2016-06-06,82.77,82.18961334228516
2016-06-07,82.32,82.49993133544922
2016-06-08,82.65,82.69854736328125
2016-06-09,83.17,82.84794616699219
2016-06-10,83.2,83.04756927490234
2016-06-13,82.57,83.25391387939453
2016-06-14,83.35,83.30767822265625
2016-06-15,82.95,83.40434265136719
2016-06-16,83.41,83.45159912109375
2016-06-17,83.13,83.54344177246094
2016-06-20,83.04,83.59806823730469
2016-06-21,83.41,83.60025024414062
2016-06-22,83.57,83.64344024658203
2016-06-23,84.21,83.73764038085938
2016-06-24,82.26,83.95989227294922
2016-06-27,81.23,83.84410095214844
2016-06-28,82.46,83.35330200195312
2016-06-29,83.91,82.99468994140625
2016-06-30,84.67,83.0821533203125
2016-07-01,84.78,83.54814910888672
2016-07-05,85.44,84.12725830078125
2016-07-06,85.03,84.748291015625
2016-07-07,84.83,85.18077850341797
2016-07-08,85.77,85.37567901611328
2016-07-11,85.75,85.59801483154297
2016-07-12,85.75,85.81282806396484
2016-07-13,85.89,85.98129272460938
2016-07-14,85.87,86.12055969238281
2016-07-15,86.01,86.21807098388672
2016-07-18,85.93,86.30604553222656
2016-07-19,86.17,86.36079406738281
2016-07-20,85.32,86.43737030029297
2016-07-21,85.26,86.3427963256836
2016-07-22,85.72,86.16101837158203
2016-07-25,85.8,86.07562255859375
2016-07-26,85.27,86.08489990234375
2016-07-27,84.46,86.02955627441406
2016-07-28,84.81,85.77884674072266
2016-07-29,85.59,85.54531860351562
2016-08-01,86.41,85.53829193115234
2016-08-02,86.76,85.82064056396484
2016-08-03,85.97,86.25772094726562
2016-08-04,86.05,86.503662109375
2016-08-05,85.78,86.59351348876953
2016-08-08,85.76,86.53962707519531
2016-08-09,85.99,86.42900848388672
2016-08-10,86.31,86.37074279785156
2016-08-11,86.73,86.42496490478516
2016-08-12,87.04,86.61284637451172
2016-08-15,87.02,86.89076232910156
2016-08-16,86.58,87.14559936523438
2016-08-17,86.96,87.236083984375
2016-08-18,87.44,87.29957580566406
2016-08-19,87.31,87.44981384277344
2016-08-22,86.85,87.59230041503906
2016-08-23,87.4,87.59793853759766
2016-08-24,87.31,87.6453628540039
2016-08-25,87.9,87.69819641113281
2016-08-26,87.58,87.86528778076172
2016-08-29,88.3,87.98995208740234
2016-08-30,87.54,88.20967102050781
2016-08-31,87.31,88.27322387695312
2016-09-01,88.31,88.18435668945312
2016-09-02,88.2,88.25996398925781
2016-09-06,88.64,88.395751953125
2016-09-07,87.95,88.61697387695312
2016-09-08,87.78,88.68012237548828
2016-09-09,86.24,88.60330963134766
2016-09-12,88.25,88.15303802490234
2016-09-13,87.05,88.04730224609375
2016-09-14,87.01,87.91850280761719
2016-09-15,88.06,87.77259826660156
2016-09-16,88.05,87.87154388427734
2016-09-19,88.37,88.07747650146484
2016-09-20,88.58,88.34416198730469
2016-09-21,87.8,88.61972045898438
2016-09-22,88.99,88.66463470458984
2016-09-23,87.76,88.83533477783203
2016-09-26,87.85,88.78504180908203
2016-09-27,88.36,88.64291381835938
2016-09-28,89.46,88.61201477050781
2016-09-29,88.23,88.89498901367188
2016-09-30,89.75,89.00420379638672
2016-10-03,88.66,89.3091812133789
2016-10-04,88.35,89.42010498046875
2016-10-05,88.85,89.32478332519531
2016-10-06,89.22,89.26947784423828
2016-10-07,90.0,89.34588623046875
2016-10-10,89.06,89.64542388916016
2016-10-11,88.54,89.77326965332031
2016-10-12,88.57,89.65177154541016
2016-10-13,88.24,89.44983673095703
2016-10-14,88.43,89.19914245605469
2016-10-17,87.83,89.02904510498047
2016-10-18,87.45,88.81069946289062
2016-10-19,85.54,88.52792358398438
2016-10-20,84.93,87.8686752319336
2016-10-21,84.33,87.04020690917969
2016-10-24,84.1,86.20703125
2016-10-25,86.97,85.51277160644531
2016-10-26,87.4,85.60716247558594
2016-10-27,86.58,86.18780517578125
2016-10-28,86.84,86.67827606201172
2016-10-31,86.8,87.02118682861328
2016-11-01,86.85,87.20539855957031
2016-11-02,86.74,87.28624725341797
2016-11-03,86.6,87.28507232666016
2016-11-04,85.08,87.22146606445312
2016-11-07,86.56,86.83491516113281
2016-11-08,87.46,86.66754913330078
2016-11-09,85.93,86.8683090209961
2016-11-10,82.96,86.89860534667969
2016-11-11,83.58,86.20001220703125
2016-11-14,83.0,85.39779663085938
2016-11-15,83.62,84.65020751953125
2016-11-16,83.19,84.21172332763672
2016-11-17,83.07,83.94249725341797
2016-11-18,82.0,83.76754760742188
2016-11-21,82.64,83.45893096923828
2016-11-22,82.76,83.23870086669922
2016-11-23,82.68,83.14058685302734
2016-11-25,83.46,83.10585021972656
2016-11-28,83.07,83.2430648803711
2016-11-29,82.89,83.37425231933594
2016-11-30,82.46,83.42548370361328
2016-12-01,81.86,83.34012603759766
2016-12-02,82.4,83.08961486816406
2016-12-05,82.99,82.90216064453125
2016-12-06,82.91,82.9114761352539
2016-12-07,84.18,83.0168685913086
2016-12-08,83.5,83.37451171875
2016-12-09,84.37,83.67987823486328
2016-12-12,85.13,84.03463745117188
2016-12-13,85.18,84.50029754638672
2016-12-14,84.37,84.94847869873047
2016-12-15,84.68,85.1329574584961
2016-12-16,84.68,85.19170379638672
2016-12-19,84.71,85.19332122802734
2016-12-20,84.57,85.18272399902344
2016-12-21,84.28,85.14765930175781
2016-12-22,84.47,85.0521469116211
2016-12-23,84.96,84.98127746582031
2016-12-27,84.6,85.03931427001953
2016-12-28,84.07,85.08688354492188
2016-12-29,84.35,85.00369262695312
2016-12-30,84.08,84.9166030883789
