Date,Original,Predicted
2016-01-04,52.91,
2016-01-05,52.89,
2016-01-06,51.88,
2016-01-07,50.4,
2016-01-08,49.56,
2016-01-11,50.09,
2016-01-12,51.36,
2016-01-13,49.73,
2016-01-14,50.64,
2016-01-15,48.82,
2016-01-19,48.21,
2016-01-20,47.87,
2016-01-21,48.010000000000005,
2016-01-22,49.02,
2016-01-25,47.66,
2016-01-26,48.26,
2016-01-27,48.56999999999999,
2016-01-28,48.92,
2016-01-29,50.23,
2016-02-01,49.940000000000005,
2016-02-02,48.82999999999999,
2016-02-03,47.599999999999994,
2016-02-04,48.25,
2016-02-05,47.86000000000001,
2016-02-08,46.5,
2016-02-09,46.449999999999996,
2016-02-10,46.17,
2016-02-11,45.16,
2016-02-12,47.31,
2016-02-16,48.24,
2016-02-17,48.13,
2016-02-18,47.73,
2016-02-19,48.09,
2016-02-22,49.19,
2016-02-23,48.1,
2016-02-24,47.61,
2016-02-25,47.74999999999999,
2016-02-26,48.07,
2016-02-29,46.92,
2016-03-01,48.71999999999999,
2016-03-02,49.56999999999999,
2016-03-03,49.77,
2016-03-04,50.11,
2016-03-07,50.07,
2016-03-08,49.050000000000004,
2016-03-09,48.790000000000006,
2016-03-10,48.51,
2016-03-11,50.07,
2016-03-14,49.88,
2016-03-15,49.980000000000004,
2016-03-16,49.54,
2016-03-17,49.73,
2016-03-18,50.53999999999999,
2016-03-21,50.67,
2016-03-22,50.37,
2016-03-23,49.75999999999999,
2016-03-24,48.900000000000006,
2016-03-28,48.7,
2016-03-29,48.050000000000004,
2016-03-30,48.65,
2016-03-31,48.36,
2016-04-01,48.45000000000001,
2016-04-04,48.5,
2016-04-05,47.51,
2016-04-06,48.08,
2016-04-07,46.93000000000001,
2016-04-08,47.07,
2016-04-11,47.03,
2016-04-12,47.77,
2016-04-13,49.03,
2016-04-14,48.790000000000006,
2016-04-15,48.25,
2016-04-18,48.84,
2016-04-19,49.88,
2016-04-20,50.45,
2016-04-21,50.05,
2016-04-22,50.62,
2016-04-25,50.51,
2016-04-26,50.92,
2016-04-27,50.93,
2016-04-28,50.41,
2016-04-29,49.980000000000004,
2016-05-02,50.59,
2016-05-03,50.0,
2016-05-04,48.940000000000005,
2016-05-05,48.96,
2016-05-06,49.02,
2016-05-09,48.88,
2016-05-10,49.4,
2016-05-11,49.08,
2016-05-12,49.2,
2016-05-13,48.24,
2016-05-16,48.27,
2016-05-17,47.62,
2016-05-18,48.65,
2016-05-19,48.379999999999995,
2016-05-20,48.75000000000001,
2016-05-23,48.7,
2016-05-24,49.2,
2016-05-25,50.49999999999999,
2016-05-26,50.55,49.689754486083984
2016-05-27,50.85,50.348236083984375
2016-05-31,50.720000000000006,50.76307678222656
2016-06-01,51.0,50.808021545410156
2016-06-02,51.11,50.80394744873047
2016-06-03,50.19,50.847900390625
2016-06-06,50.49000000000001,50.45991897583008
2016-06-07,50.27000000000001,50.22893142700195
2016-06-08,50.0,50.105918884277344
2016-06-09,49.14,49.969390869140625
2016-06-10,48.339999999999996,49.491294860839844
2016-06-13,47.970000000000006,48.726959228515625
2016-06-14,46.88,48.04916000366211
2016-06-15,46.78000000000001,47.23517608642578
2016-06-16,46.85,46.69100570678711
2016-06-17,46.599999999999994,46.54274368286133
2016-06-20,46.93000000000001,46.50299835205078
2016-06-21,47.230000000000004,46.64858627319336
